model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CEM,01,reserve,2025,558.05,28.962
CEM,01,reserve,2030,513.853,26.669
CEM,01,reserve,2035,481.015,24.964
CEM,01,reserve,2040,452.907,23.506
CEM,01,reserve,2045,428.812,22.255
CEM,01,reserve,2050,412.153,21.39
CEM,01,reserve,2055,400.432,20.782
CEM,01,reserve,2060,389.911,20.236
CEM,01,reserve,2065,381.459,19.797
CEM,01,reserve,2070,375.66,19.497
CEM,01,reserve,2075,370.345,19.221
CEM,01,reserve,2080,368.324,19.116
CEM,01,reserve,2085,364.933,18.94
CEM,01,reserve,2090,362.831,18.831
CEM,01,reserve,2095,362.152,18.795
CEM,01,reserve,2100,360.157,18.692
CEM,04,reserve,2025,135.23,8.369
CEM,04,reserve,2030,123.662,7.653
CEM,04,reserve,2035,115.288,7.135
CEM,04,reserve,2040,108.542,6.717
CEM,04,reserve,2045,102.686,6.355
CEM,04,reserve,2050,97.66,6.044
CEM,04,reserve,2055,93.266,5.772
CEM,04,reserve,2060,89.591,5.544
CEM,04,reserve,2065,86.512,5.354
CEM,04,reserve,2070,83.72,5.181
CEM,04,reserve,2075,81.365,5.035
CEM,04,reserve,2080,79.067,4.893
CEM,04,reserve,2085,77.275,4.782
CEM,04,reserve,2090,75.606,4.679
CEM,04,reserve,2095,74.049,4.583
CEM,04,reserve,2100,72.864,4.509
CEM,05,reserve,2025,464.86,15.562
CEM,05,reserve,2030,431.644,14.45
CEM,05,reserve,2035,413.527,13.843
CEM,05,reserve,2040,396.173,13.262
CEM,05,reserve,2045,380.594,12.741
CEM,05,reserve,2050,366.147,12.257
CEM,05,reserve,2055,352.677,11.806
CEM,05,reserve,2060,341.875,11.445
CEM,05,reserve,2065,332.418,11.128
CEM,05,reserve,2070,323.425,10.827
CEM,05,reserve,2075,316.164,10.584
CEM,05,reserve,2080,309.884,10.374
CEM,05,reserve,2085,303.92,10.174
CEM,05,reserve,2090,299.047,10.011
CEM,05,reserve,2095,294.247,9.85
CEM,05,reserve,2100,290.472,9.724
CEM,06,reserve,2025,1002.65,56.27
CEM,06,reserve,2030,905.118,50.796
