model,arm,dom,state,scenario,year,agc_TgC_point,pred_cv,agc_TgC_lo,agc_TgC_hi
FVS,fvs_conus_speciesdep,1,AL,reserve,2025,558.05,0.121656669047792,446.37,669.73
FVS,fvs_conus_speciesdep,1,AL,reserve,2050,768.352,0.124300432586062,611.244,925.46
FVS,fvs_conus_speciesdep,1,AL,reserve,2075,902.348,0.124171363361953,718.033,1086.663
FVS,fvs_conus_speciesdep,1,AL,reserve,2100,856.313,0.123519050043575,682.32,1030.306
FVS,fvs_conus_speciesdep,5,AR,reserve,2025,464.86,0.121656669047792,371.83,557.89
FVS,fvs_conus_speciesdep,5,AR,reserve,2050,713.929,0.124300432586062,567.949,859.909
FVS,fvs_conus_speciesdep,5,AR,reserve,2075,874.086,0.124171363361953,695.544,1052.628
FVS,fvs_conus_speciesdep,5,AR,reserve,2100,890.063,0.123519050043575,709.212,1070.914
FVS,fvs_conus_speciesdep,4,AZ,reserve,2025,135.23,0.121656669047792,108.167,162.293
FVS,fvs_conus_speciesdep,4,AZ,reserve,2050,234.298,0.124300432586062,186.39,282.206
FVS,fvs_conus_speciesdep,4,AZ,reserve,2075,328.042,0.124171363361953,261.036,395.048
FVS,fvs_conus_speciesdep,4,AZ,reserve,2100,291.04,0.123519050043575,231.904,350.176
FVS,fvs_conus_speciesdep,6,CA,reserve,2025,1002.65,0.121656669047792,801.994,1203.306
FVS,fvs_conus_speciesdep,6,CA,reserve,2050,2268.028,0.124300432586062,1804.275,2731.781
FVS,fvs_conus_speciesdep,6,CA,reserve,2075,3381.756,0.124171363361953,2690.992,4072.52
FVS,fvs_conus_speciesdep,6,CA,reserve,2100,4249.92,0.123519050043575,3386.384,5113.456
FVS,fvs_conus_speciesdep,8,CO,reserve,2025,271.63,0.121656669047792,217.27,325.99
FVS,fvs_conus_speciesdep,8,CO,reserve,2050,533.173,0.124300432586062,424.153,642.193
FVS,fvs_conus_speciesdep,8,CO,reserve,2075,779.071,0.124171363361953,619.936,938.206
FVS,fvs_conus_speciesdep,8,CO,reserve,2100,956.909,0.123519050043575,762.476,1151.342
FVS,fvs_conus_speciesdep,9,CT,reserve,2025,64.47,0.121656669047792,51.568,77.372
FVS,fvs_conus_speciesdep,9,CT,reserve,2050,117.145,0.124300432586062,93.192,141.098
FVS,fvs_conus_speciesdep,9,CT,reserve,2075,155.242,0.124171363361953,123.532,186.952
FVS,fvs_conus_speciesdep,9,CT,reserve,2100,180.425,0.123519050043575,143.765,217.085
FVS,fvs_conus_speciesdep,10,DE,reserve,2025,12.66,0.121656669047792,10.126,15.194
FVS,fvs_conus_speciesdep,10,DE,reserve,2050,17.767,0.124300432586062,14.134,21.4
FVS,fvs_conus_speciesdep,10,DE,reserve,2075,20.784,0.124171363361953,16.539,25.029
FVS,fvs_conus_speciesdep,10,DE,reserve,2100,19.817,0.123519050043575,15.79,23.844
FVS,fvs_conus_speciesdep,12,FL,reserve,2025,320.05,0.121656669047792,256,384.1
FVS,fvs_conus_speciesdep,12,FL,reserve,2050,468.129,0.124300432586062,372.409,563.849
FVS,fvs_conus_speciesdep,12,FL,reserve,2075,533.23,0.124171363361953,424.311,642.149
FVS,fvs_conus_speciesdep,12,FL,reserve,2100,527.11,0.123519050043575,420.007,634.213
FVS,fvs_conus_speciesdep,13,GA,reserve,2025,590.06,0.121656669047792,471.974,708.146
FVS,fvs_conus_speciesdep,13,GA,reserve,2050,841.353,0.124300432586062,669.318,1013.388
FVS,fvs_conus_speciesdep,13,GA,reserve,2075,954.138,0.124171363361953,759.244,1149.032
FVS,fvs_conus_speciesdep,13,GA,reserve,2100,998.493,0.123519050043575,795.61,1201.376
FVS,fvs_conus_speciesdep,19,IA,reserve,2025,72.67,0.121656669047792,58.127,87.213
FVS,fvs_conus_speciesdep,19,IA,reserve,2050,123.209,0.124300432586062,98.016,148.402
FVS,fvs_conus_speciesdep,19,IA,reserve,2075,158.52,0.124171363361953,126.14,190.9
FVS,fvs_conus_speciesdep,19,IA,reserve,2100,179.265,0.123519050043575,142.84,215.69
FVS,fvs_conus_speciesdep,16,ID,reserve,2025,417.43,0.121656669047792,333.892,500.968
FVS,fvs_conus_speciesdep,16,ID,reserve,2050,698.311,0.124300432586062,555.524,841.098
FVS,fvs_conus_speciesdep,16,ID,reserve,2075,953.329,0.124171363361953,758.6,1148.058
FVS,fvs_conus_speciesdep,16,ID,reserve,2100,1021.335,0.123519050043575,813.811,1228.859
FVS,fvs_conus_speciesdep,17,IL,reserve,2025,150.46,0.121656669047792,120.349,180.571
FVS,fvs_conus_speciesdep,17,IL,reserve,2050,218.989,0.124300432586062,174.211,263.767
FVS,fvs_conus_speciesdep,17,IL,reserve,2075,263.571,0.124171363361953,209.733,317.409
FVS,fvs_conus_speciesdep,17,IL,reserve,2100,274.159,0.123519050043575,218.453,329.865
FVS,fvs_conus_speciesdep,18,IN,reserve,2025,178.8,0.121656669047792,143.018,214.582
FVS,fvs_conus_speciesdep,18,IN,reserve,2050,271.361,0.124300432586062,215.875,326.847
FVS,fvs_conus_speciesdep,18,IN,reserve,2075,339.344,0.124171363361953,270.029,408.659
FVS,fvs_conus_speciesdep,18,IN,reserve,2100,358.838,0.123519050043575,285.926,431.75
FVS,fvs_conus_speciesdep,20,KS,reserve,2025,48.76,0.121656669047792,39.002,58.518
FVS,fvs_conus_speciesdep,20,KS,reserve,2050,70.732,0.124300432586062,56.269,85.195
FVS,fvs_conus_speciesdep,20,KS,reserve,2075,87.225,0.124171363361953,69.408,105.042
FVS,fvs_conus_speciesdep,20,KS,reserve,2100,89.765,0.123519050043575,71.526,108.004
FVS,fvs_conus_speciesdep,21,KY,reserve,2025,393.71,0.121656669047792,314.919,472.501
FVS,fvs_conus_speciesdep,21,KY,reserve,2050,729.276,0.124300432586062,580.158,878.394
FVS,fvs_conus_speciesdep,21,KY,reserve,2075,976.85,0.124171363361953,777.317,1176.383
FVS,fvs_conus_speciesdep,21,KY,reserve,2100,1120.163,0.123519050043575,892.558,1347.768
FVS,fvs_conus_speciesdep,22,LA,reserve,2025,339.71,0.121656669047792,271.725,407.695
FVS,fvs_conus_speciesdep,22,LA,reserve,2050,569.345,0.124300432586062,452.929,685.761
FVS,fvs_conus_speciesdep,22,LA,reserve,2075,698.985,0.124171363361953,556.209,841.761
FVS,fvs_conus_speciesdep,22,LA,reserve,2100,745.982,0.123519050043575,594.407,897.557
FVS,fvs_conus_speciesdep,25,MA,reserve,2025,112.19,0.121656669047792,89.738,134.642
FVS,fvs_conus_speciesdep,25,MA,reserve,2050,211.351,0.124300432586062,168.135,254.567
FVS,fvs_conus_speciesdep,25,MA,reserve,2075,280.668,0.124171363361953,223.338,337.998
FVS,fvs_conus_speciesdep,25,MA,reserve,2100,324.085,0.123519050043575,258.235,389.935
FVS,fvs_conus_speciesdep,24,MD,reserve,2025,96.25,0.121656669047792,76.988,115.512
FVS,fvs_conus_speciesdep,24,MD,reserve,2050,131.994,0.124300432586062,105.005,158.983
FVS,fvs_conus_speciesdep,24,MD,reserve,2075,154.862,0.124171363361953,123.23,186.494
FVS,fvs_conus_speciesdep,24,MD,reserve,2100,150.327,0.123519050043575,119.782,180.872
FVS,fvs_conus_speciesdep,23,ME,reserve,2025,374.02,0.121656669047792,299.169,448.871
FVS,fvs_conus_speciesdep,23,ME,reserve,2050,566.749,0.124300432586062,450.863,682.635
FVS,fvs_conus_speciesdep,23,ME,reserve,2075,705.209,0.124171363361953,561.162,849.256
FVS,fvs_conus_speciesdep,23,ME,reserve,2100,822.882,0.123519050043575,655.682,990.082
FVS,fvs_conus_speciesdep,26,MI,reserve,2025,512.45,0.121656669047792,409.896,615.004
FVS,fvs_conus_speciesdep,26,MI,reserve,2050,717.862,0.124300432586062,571.078,864.646
FVS,fvs_conus_speciesdep,26,MI,reserve,2075,864.922,0.124171363361953,688.251,1041.593
FVS,fvs_conus_speciesdep,26,MI,reserve,2100,902.329,0.123519050043575,718.986,1085.672
FVS,fvs_conus_speciesdep,27,MN,reserve,2025,308.78,0.121656669047792,246.985,370.575
FVS,fvs_conus_speciesdep,27,MN,reserve,2050,446.503,0.124300432586062,355.205,537.801
FVS,fvs_conus_speciesdep,27,MN,reserve,2075,537.177,0.124171363361953,427.452,646.902
FVS,fvs_conus_speciesdep,27,MN,reserve,2100,591.759,0.123519050043575,471.52,711.998
FVS,fvs_conus_speciesdep,29,MO,reserve,2025,401.36,0.121656669047792,321.038,481.682
FVS,fvs_conus_speciesdep,29,MO,reserve,2050,692.774,0.124300432586062,551.12,834.428
FVS,fvs_conus_speciesdep,29,MO,reserve,2075,905.914,0.124171363361953,720.87,1090.958
FVS,fvs_conus_speciesdep,29,MO,reserve,2100,1044.891,0.123519050043575,832.581,1257.201
FVS,fvs_conus_speciesdep,28,MS,reserve,2025,523.05,0.121656669047792,418.375,627.725
FVS,fvs_conus_speciesdep,28,MS,reserve,2050,1072.049,0.124300432586062,852.843,1291.255
FVS,fvs_conus_speciesdep,28,MS,reserve,2075,1439.352,0.124171363361953,1145.347,1733.357
FVS,fvs_conus_speciesdep,28,MS,reserve,2100,1651.315,0.123519050043575,1315.786,1986.844
FVS,fvs_conus_speciesdep,30,MT,reserve,2025,395.97,0.121656669047792,316.726,475.214
FVS,fvs_conus_speciesdep,30,MT,reserve,2050,697.035,0.124300432586062,554.509,839.561
FVS,fvs_conus_speciesdep,30,MT,reserve,2075,998.714,0.124171363361953,794.715,1202.713
FVS,fvs_conus_speciesdep,30,MT,reserve,2100,1262.242,0.123519050043575,1005.769,1518.715
FVS,fvs_conus_speciesdep,37,NC,reserve,2025,568.76,0.121656669047792,454.937,682.583
FVS,fvs_conus_speciesdep,37,NC,reserve,2050,830.396,0.124300432586062,660.601,1000.191
FVS,fvs_conus_speciesdep,37,NC,reserve,2075,1006.112,0.124171363361953,800.602,1211.622
FVS,fvs_conus_speciesdep,37,NC,reserve,2100,1056.952,0.123519050043575,842.191,1271.713
FVS,fvs_conus_speciesdep,38,ND,reserve,2025,10.39,0.121656669047792,8.311,12.469
FVS,fvs_conus_speciesdep,38,ND,reserve,2050,19.587,0.124300432586062,15.582,23.592
FVS,fvs_conus_speciesdep,38,ND,reserve,2075,29.594,0.124171363361953,23.549,35.639
FVS,fvs_conus_speciesdep,38,ND,reserve,2100,40.433,0.123519050043575,32.217,48.649
FVS,fvs_conus_speciesdep,31,NE,reserve,2025,22.4,0.121656669047792,17.917,26.883
FVS,fvs_conus_speciesdep,31,NE,reserve,2050,50.225,0.124300432586062,39.955,60.495
FVS,fvs_conus_speciesdep,31,NE,reserve,2075,71.503,0.124171363361953,56.898,86.108
FVS,fvs_conus_speciesdep,31,NE,reserve,2100,87.498,0.123519050043575,69.719,105.277
FVS,fvs_conus_speciesdep,33,NH,reserve,2025,153.16,0.121656669047792,122.509,183.811
