dist_mode,scenario,CBM,FVS_cal,YieldCurve,ensemble_median,ens_lo,ens_hi
disturbed,reserve,23074,30217,21113,23074,21113,30217
disturbed,conservation,19049,25505,16832,19049,16832,25505
disturbed,BAU,14888,20540,12497,14888,12497,20540
disturbed,intensive,10177,14519,7829,10177,7829,14519
nodisturb,reserve,24294,32207,22348,24294,22348,32207
nodisturb,conservation,20188,27375,17983,20188,17983,27375
nodisturb,BAU,15929,22260,13542,15929,13542,22260
nodisturb,intensive,11056,15975,8699,11056,8699,15975
