state,scenario,cycle,mean_ba_mean,mean_ba_lo,mean_ba_hi,mean_vol_mean,mean_vol_lo,mean_vol_hi,mean_carbon_mean,mean_carbon_lo,mean_carbon_hi,total_tpa_mean,total_tpa_lo,total_tpa_hi,harvest_rate_mean,harvest_rate_lo,harvest_rate_hi,plant_rate_mean,plant_rate_lo,plant_rate_hi,gr_ratio_mean,gr_ratio_lo,gr_ratio_hi,n_sims
AL,BAU,1,53.26533445120368,51.39672532768769,55.14353137707058,1197.0515671362673,1153.3139458680366,1248.3657006224862,29777.66182939241,28833.494160256876,30864.676452627165,406.81472812910516,389.3784644157537,426.4984345268132,0.45545785976834724,0.43391380753587105,0.47221976939688914,0.3434527451150503,0.32754230344579327,0.360247461928934,0.8532329499604964,0.7877362835199893,0.9387273577858561,100
AL,BAU,2,47.58467685740293,46.12967051959476,49.50458442451175,1085.0354002608747,1040.5552445479411,1130.6744267073238,27255.6475940867,26291.54650817263,28389.32906810654,394.20786141125285,371.88437737393826,415.12272604258044,0.31917539146222407,0.3043222669710896,0.33229331420226194,0.2393693339070128,0.22436565167537265,0.25469873903010704,1.8786219999104985,1.6557945551622306,2.080098978030492,100
AL,BAU,3,44.249104045834876,42.57557032806508,46.018684838272605,1000.2920275092911,955.5245500123121,1062.8003053610346,25590.63920394329,24464.219838042198,26969.17566376782,403.431754031358,379.1226230419119,427.23374658735406,0.26569343582587485,0.25069302299988994,0.2818220104024576,0.1989973626187121,0.18572656921754085,0.21424357425631338,2.3551827261285196,2.0944496765734084,2.702643745340592,100
AL,BAU,4,41.79790341583277,39.77665651671606,43.74835200552402,922.9152833928773,869.048728165348,978.78804498761,24094.649185808303,22859.162393137565,25367.141700391985,420.13561118330995,384.2028186800216,448.61146322997365,0.23839499092240868,0.2230671411013757,0.25576838678184854,0.1780817790534272,0.16523063858695652,0.19211836852286288,2.5728658712834367,2.1522574999836297,2.88272598599701,100
AL,BAU,5,40.01327867364328,38.31943990852762,42.069823287503695,859.1446475283927,807.756554629767,911.3172989223747,22796.16376304863,21617.087356504348,24155.193855849575,435.44922254043547,400.01203316038857,474.49404050622843,0.2186609730604824,0.20412688433491882,0.23589119361450267,0.1644390103725802,0.14846820862229324,0.17867415745520387,2.788452259035388,2.4292933005796504,3.2097974242284053,100
AL,BAU,6,38.80880494044028,37.023514871303135,40.877053086370054,813.78550389653185,757.7370750549866,879.0795063842463,21899.12335725356,20776.77100662919,23393.756023070036,450.3323285573432,405.31844121567514,497.26373839828887,0.2023242187590048,0.18393518857655067,0.2211102283789681,0.1522687789557117,0.13816261807168018,0.1673382157470875,2.9503648909136544,2.474474990911614,3.371788622937374,100
AL,BAU,7,38.07956860801575,36.4505370445412,40.408234497453236,785.6859837494059,746.4697975437963,834.2926792505714,21332.728834316655,20415.610487286893,22695.08550995867,463.49649686601134,415.66268852331837,515.8947422104686,0.18859661953216808,0.17586350161162967,0.20309241353064006,0.14326105884430979,0.13232868319681274,0.15857223905332968,3.0748385447248556,2.5574819516532523,3.553299519432853,100
AL,BAU,8,37.5833765422357,35.88952336924425,39.78906417836463,761.5139397375408,714.9322817295449,816.3906229230206,20888.323284979335,19870.095369508508,22249.686915654762,476.07504846660385,419.5806485006648,527.1672517725384,0.17696774087147782,0.1623429847332475,0.19053844419682867,0.13428693941027084,0.12243269361760098,0.14469173389657178,3.1788056924194494,2.651452409033066,3.6557528717419796,100
AL,BAU,9,36.90069633408407,34.945871839317505,38.66410184420664,739.2683907555978,688.6258757661153,787.68156965165565,20395.429307609957,19060.374090875375,21547.554308727646,485.4754612409394,430.77947090268935,550.722930998906,0.17021273976684073,0.15367180417044424,0.1863704150418291,0.12948435832513625,0.11463134448770564,0.14408617739299384,3.1423659236393355,2.5906304897271335,3.7800379571776657,100
AL,BAU,10,36.51838958957727,34.693180691188424,38.18118004237985,724.9056649294113,673.9717406816007,771.3375231650452,20113.619881518916,18799.992367806855,21224.90525898578,495.85093500962716,428.58760697607863,575.7639208381954,0.16082172090463312,0.14753557312252966,0.17482260971512562,0.12293521138238828,0.10969417131905675,0.13680435291587723,3.301121369965222,2.674604279465542,3.8841374915316664,100
AL,BAU,11,36.10570520909627,34.371052500266345,37.94956975390859,712.8590071374367,667.8265711616334,763.2327691049616,19853.958888961923,18851.454645392114,20970.120483165923,507.5716432663111,429.78245619801885,617.0046199590699,0.15282416103657867,0.13871660228553034,0.16582501865908217,0.11673519691980676,0.10319901948867549,0.12802280456460446,3.261957225655817,2.7301644462282377,3.8664159124440047,100
AL,BAU,12,35.901655242522025,34.16573384445904,37.58877416417825,706.7123258035067,666.1050953381941,750.5557444472655,19720.14957843817,18653.711836361654,20834.357851395725,520.8457723267744,436.7343311508672,680.2238223554843,0.1448732908858533,0.13013683038273202,0.1587537268093528,0.11097731984673041,0.09545598361978361,0.12422763903646697,3.3362196182300776,2.809697556242563,4.06094515732407,100
AL,BAU,13,35.658080000932856,33.57832808762083,37.7524597458859,698.5601041928654,656.687089318736,739.7160215191452,19556.96385295568,18478.466977233278,20793.60149852401,536.564552268738,455.83156725469576,745.1276144748085,0.1372336453748966,0.12332592302923154,0.15115821716354266,0.1049864538132153,0.09196683134773143,0.11668989853325294,3.2882496157434047,2.8478938810403838,3.895167140960956,100
AL,BAU,14,35.54947955934884,33.65067284709588,37.700914789276005,694.4166506695766,653.9701369340081,752.713917924123,19486.49039731947,18329.706824522702,20867.769358926602,560.0488754412199,466.8049948611301,862.2427249221381,0.13020010126388357,0.11680675960637302,0.14270058889712384,0.09997848534302008,0.08971817888940956,0.11195241929798277,3.3974096425944356,2.864511397218717,4.04561228661442,100
AL,BAU,15,35.336225309350844,33.31220892897458,37.228596784727614,687.8024361888971,639.3880594180432,743.2190555364407,19353.676241354573,18099.149360574535,20617.023838042074,580.4959746546502,458.89325519544866,939.8504498546451,0.12427272428317764,0.11075149625072273,0.13745272632153044,0.09574196529703774,0.08361693466891636,0.10776956497334723,3.356356623238426,2.744357091072983,4.084559601201385,100
AL,BAU,16,35.21249299363171,32.90203516081774,37.183501150641,683.7711500591834,628.0082295351424,738.4920921019061,19250.1016510187,17677.594387860983,20563.178156969356,609.7539725743204,459.2078887025622,1110.3370768338054,0.11709441565874984,0.10203871816111934,0.1305956270076383,0.09054699628587266,0.07926670872559174,0.10167880522645958,3.409344118225731,2.6208916945124656,4.2641931235544535,100
