state,year,n_models,ens_equal,ens_geom,ens_benchmark,median,between_sd,within_sd,anchor_se,lo90,hi90,crI_rel_pct
AL,2025,4,558,558,558,558,0,20.4,5.7,523.2,592.9,6.2
AL,2050,4,709.2,678.3,751.9,736,225.9,30.1,7.5,334.1,1084.3,52.9
AL,2075,4,816.1,750.6,880.5,855.8,339.8,35.9,8.7,253.9,1378.4,68.9
AL,2100,4,830.8,757.3,899,870.3,360.9,35.6,8.9,234,1427.6,71.8
AZ,2025,4,135.2,135.2,135.2,135.2,0,9.7,2.4,118.8,151.7,12.2
AZ,2050,4,166.5,158.3,166.8,167.3,58.2,14.2,3,67.8,265.2,59.3
AZ,2075,4,194.3,171.6,191.3,185.2,105,17.6,3.3,19.1,369.5,90.2
AZ,2100,4,185.5,163.2,187.9,192.5,96.3,17.5,3.4,24.5,346.6,86.8
AR,2025,4,464.9,464.9,464.9,464.9,0,14.8,4.8,439.2,490.5,5.5
AR,2050,4,581.1,563.7,612.1,624.9,150.5,22.3,6.5,330.6,831.5,43.1
AR,2075,4,642.3,600.9,689.5,695.9,236.2,26.1,7.2,251.2,1033.4,60.9
AR,2100,4,639.5,586,690.3,699.4,270.1,25.5,7.3,193.1,1085.9,69.8
CA,2025,4,1002.6,1002.6,1002.6,1002.6,0,72.8,12,881.3,1124,12.1
CA,2050,4,1305,1191.4,1255.4,1156.2,658.6,109,13.9,206.6,2403.3,84.2
CA,2075,4,1554.6,1259.6,1446.8,1231.3,1176.3,137.9,14.8,0,3503.1,125.3
CA,2100,4,1707,1271.1,1550,1236.1,1522.6,157.6,14.8,0,4225.2,147.5
CO,2025,4,271.6,271.6,271.6,271.6,0,19.4,3.6,239.1,304.1,12
CO,2050,4,344.9,322.3,341.6,335.1,141.6,29.3,4.5,106.9,582.9,69
CO,2075,4,407.2,344.2,394.2,368.2,257.2,37.1,4.9,0,834.8,105
CO,2100,4,440.2,343.1,418.4,374.6,333.8,41.8,5,0,993.7,125.7
CT,2025,4,64.5,64.5,64.5,64.5,0,4.3,2.1,56.6,72.4,12.3
CT,2050,4,78.2,74.9,82.1,72.9,27.2,6,2.4,32.2,124.3,58.9
CT,2075,4,88.2,80.3,94.2,77.3,45.5,7.3,2.6,12.3,164.1,86
CT,2100,4,94.2,82.4,101.5,79.7,57.3,8.1,2.7,0,189.6,101.2
DE,2025,4,12.7,12.7,12.7,12.7,0,0.9,0.8,10.7,14.6,15.4
DE,2050,4,14.9,14.7,15.5,15.6,2.9,1.1,1,9.6,20.3,35.9
DE,2075,4,16.7,16.2,17.5,17.6,4.2,1.3,1.1,9.2,24.1,44.6
DE,2100,4,16.9,16.4,17.8,18.6,4.2,1.3,1.2,9.4,24.3,44.4
FL,2025,4,320,320.1,320,320,0,12.7,5.5,297.2,342.9,7.1
FL,2050,4,411,401.8,430.6,452.8,91.9,18.6,7.8,256.1,565.8,37.7
FL,2075,4,464.1,446.3,492,510,133.6,21.3,8.8,241.2,687.1,48
FL,2100,4,478.6,455.5,509.1,501.3,158.3,21.7,8.7,215.4,741.8,55
GA,2025,4,590.1,590.1,590.1,590.1,0,49.4,6.3,508.2,671.9,13.9
GA,2050,4,735,711,776,803.9,196.9,67.5,8.5,392.4,1077.6,46.6
GA,2075,4,819,769.3,879.2,931.6,283.9,78.9,9.9,334,1304.1,59.2
GA,2100,4,847.2,784.7,914.9,991.1,316.3,84.1,10.5,308.6,1385.8,63.6
ID,2025,4,417.4,417.4,417.4,417.4,0,30,5.8,367.2,467.7,12
ID,2050,4,471.4,453,470.8,469.7,148.1,39.3,6.6,219,723.7,53.5
ID,2075,4,482.5,421.2,477.6,467.7,263.2,45.3,6.5,43,922,91.1
ID,2100,4,433.8,362.9,429.4,420.7,261.3,44.5,5.9,0,870,100.5
IL,2025,4,150.5,150.5,150.5,150.5,0,7.6,3.5,136.6,164.3,9.2
IL,2050,4,176.6,173.7,183.3,179.1,36.3,10.1,4.2,114.3,238.9,35.3
IL,2075,4,192.6,185.1,203.4,195.7,59.8,11.6,4.6,92.2,293.1,52.1
IL,2100,4,197.1,186.9,209.6,203.6,69.2,12.2,4.8,81.4,312.9,58.7
IN,2025,5,178.8,178.8,178.8,178.8,0,10.2,4.1,160.8,196.8,10.1
IN,2050,5,250.6,238.4,262.6,237.8,87.3,14.1,5.5,104.8,396.3,58.2
IN,2075,5,294.1,268.7,312.3,277.7,133.6,16.6,6.4,72.3,515.9,75.4
IN,2100,5,318.7,282.3,340.3,304.3,169.9,17.7,7,37.5,600,88.2
IA,2025,4,72.7,72.7,72.7,72.7,0,4,2.4,65,80.3,10.5
IA,2050,4,94.2,91.9,98.2,94.1,23.3,5.9,3.2,54.3,134,42.3
IA,2075,4,107.2,100.9,114.2,106.8,40.9,7.2,3.6,38.7,175.8,63.9
IA,2100,4,113.3,103.1,121.9,111.9,53.2,7.9,3.7,24.6,201.9,78.2
KS,2025,4,48.8,48.8,48.8,48.8,0,2.5,1.9,43.5,54,10.8
KS,2050,4,66,64.8,68.8,68.7,13.8,3.8,2.7,42,90.1,36.4
KS,2075,4,78,74.2,82.9,81.1,26.2,4.8,3.2,33.9,122.1,56.6
KS,2100,4,84.3,78.2,90.5,85.1,34.8,5.3,3.4,26.2,142.4,69
KY,2025,4,393.7,393.7,393.7,393.7,0,17.4,4.8,364.1,423.3,7.5
KY,2050,4,504,481.6,532.5,494.1,171.3,27.3,6,218.6,789.5,56.6
KY,2075,4,565.9,501.2,613.8,535.3,303.4,33.8,6.5,63.6,1068.3,88.8
KY,2100,4,588.8,488.8,645.1,532.8,387.4,36.9,6.4,0,1229.1,108.7
LA,2025,4,339.7,339.7,339.7,339.7,0,12.4,4.6,317.9,361.5,6.4
LA,2050,4,452.6,435.6,477.6,483.1,135,20.2,6.6,227.8,677.5,49.7
LA,2075,4,532.2,497.8,569.3,579.1,203.7,24.8,7.9,194.4,869.9,63.5
LA,2100,4,568.3,525.7,611,618.4,230.8,26.6,8.4,185.9,950.7,67.3
ME,2025,5,374,374,374,374,0,28.1,3.4,327.5,420.5,12.4
ME,2050,5,477.4,457.5,501.5,492.7,141.3,35.8,4.5,237.5,717.3,50.2
ME,2075,5,575.7,519.1,615.8,565,258.9,41.1,5.2,144.4,1007,74.9
ME,2100,5,656.6,562.3,708.2,600.8,359.4,45,5.5,60.6,1252.5,90.8
MD,2025,4,96.2,96.3,96.2,96.2,0,6.4,3.4,84.3,108.2,12.5
MD,2050,4,108.6,106.6,113.1,112.9,22.7,8.1,4,68.4,148.8,37
MD,2075,4,116.4,112.2,122.8,120.3,34.4,9.1,4.3,57.4,175.5,50.7
MD,2100,4,115,110,121.6,121.5,37.1,9.3,4.3,51.7,178.4,55.1
MA,2025,4,112.2,112.2,112.2,112.2,0,7.4,2.7,99.2,125.2,11.6
MA,2050,4,138.2,131.2,145.7,128.7,52,10.4,3.1,50.8,225.5,63.2
MA,2075,4,156,140.2,167.5,135.9,85.2,12.3,3.3,14.3,297.7,90.8
MA,2100,4,165.8,143.7,179.4,138,105.4,13.5,3.3,0,340.8,105.5
MI,2025,5,512.5,512.5,512.5,512.5,0,27.5,5.7,466.3,558.6,9
MI,2050,5,642.6,620.8,672.4,674.4,173.1,35.3,7.6,351.7,933.5,45.3
MI,2075,5,729.5,680.7,775.1,780.4,261.3,40.7,8.7,294.1,1164.8,59.7
MI,2100,5,773.7,707.6,827,832.2,307.8,43.1,9.3,262.2,1285.1,66.1
MN,2025,5,308.8,308.8,308.8,308.8,0,9.3,2.7,292.8,324.8,5.2
MN,2050,5,409.5,389.3,431.5,413.4,132.8,13.1,3.7,189.8,629.1,53.6
MN,2075,5,473.3,432.7,505.4,458.8,195.8,15.4,4.1,150.1,796.5,68.3
MN,2100,5,504.7,449.5,541.6,496.1,237.8,16.3,4.4,112.6,896.9,77.7
MS,2025,4,523,523,523,523,0,19.1,6,490.1,556,6.3
MS,2050,4,724.5,681.5,771.5,717.3,279.4,34.8,8.2,261.2,1187.8,63.9
MS,2075,4,853.1,765.1,922.1,807.7,437.3,44.2,9.3,129.9,1576.2,84.8
MS,2100,4,908.1,791.7,987.2,825.8,528.2,48.7,9.5,35.4,1780.8,96.1
MO,2025,4,401.4,401.4,401.4,401.4,0,20.1,4.2,367.5,435.2,8.4
MO,2050,4,505.1,486.6,531.7,506,153.4,30,5.3,247.9,762.3,50.9
MO,2075,4,579.5,530.3,623.6,574.8,262.4,37,6,143.5,1015.5,75.2
MO,2100,4,627.2,551.3,681.9,617.8,335,41.5,6.4,71.8,1182.6,88.6
MT,2025,4,396,396,396,396,0,28.3,4.6,348.7,443.2,11.9
MT,2050,4,495.3,476.8,495.7,496.6,151.8,41.5,5.7,236.3,754.2,52.3
MT,2075,4,560.9,496.1,556.4,547.4,293.7,51.9,6.3,70.1,1051.6,87.5
MT,2100,4,597.1,486.8,583,554.6,393.9,59.3,6.4,0,1252.4,109.7
NE,2025,4,22.4,22.4,22.4,22.4,0,1.3,1.3,19.4,25.4,13.3
NE,2050,4,32,30.3,33.7,28.8,12.7,2.2,1.7,10.6,53.5,67
NE,2075,4,38.2,33.8,41,31.7,22.9,2.9,1.8,0.1,76.4,99.8
NE,2100,4,42.6,35.7,46.2,33.2,30.6,3.4,1.9,0,93.3,119
NV,2025,4,54.1,54.1,54.1,54.1,0,3.9,1.2,47.4,60.8,12.4
NV,2050,4,78.5,73.7,74.3,66,34.9,6.3,1.4,20.1,136.9,74.4
NV,2075,4,100.9,86.5,92,74.3,70.7,8.5,1.6,0,218.1,116.1
NV,2100,4,146.4,102.7,124.2,79.7,156.5,12.7,1.7,0,404.8,176.4
NH,2025,5,153.2,153.2,153.2,153.2,0,8.1,2.5,139.2,167.1,9.1
NH,2050,5,185.4,176.9,195,185.7,59.4,11.2,3.1,85.9,285,53.7
NH,2075,5,210.8,190.7,225.2,199.3,96,13.3,3.3,51.3,370.2,75.6
NH,2100,5,225.2,195.7,242,210.5,121.3,14.4,3.5,24.2,426.1,89.2
NJ,2025,4,59.2,59.2,59.2,59.2,0,3.9,1.5,52.3,66.1,11.6
NJ,2050,4,76.6,73.1,80.5,71,27.9,5.8,1.8,29.7,123.6,61.2
NJ,2075,4,87.7,79.2,93.7,76.2,46.8,7.1,1.9,9.7,165.6,88.9
NJ,2100,4,92.8,80.2,99.8,77.4,58.5,7.9,1.9,0,189.9,104.7
NM,2025,4,160.7,160.7,160.7,160.7,0,11.5,2.5,141.3,180.1,12.1
NM,2050,4,214.5,192.1,209.6,199.7,112.2,18.8,3.1,27.3,401.7,87.3
NM,2075,4,272.5,212.7,255.8,222.6,212.5,25.2,3.5,0,624.5,129.2
NM,2100,4,309.4,219.4,282.1,227.4,285.1,29.5,3.5,0,780.9,152.4
NY,2025,4,592.4,592.4,592.4,592.4,0,38.7,6.2,528,656.9,10.9
NY,2050,4,732.6,696.8,776.8,728.2,256.5,54.9,7.6,300.9,1164.2,58.9
NY,2075,4,833.3,743.5,903.6,804.4,426.5,66.4,8.4,123.1,1543.5,85.2
NY,2100,4,891.6,759.1,976,834.2,536.1,73.7,8.7,1.3,1781.8,99.9
NC,2025,4,568.8,568.8,568.8,568.8,0,19.9,6.6,534.3,603.2,6.1
NC,2050,4,690,676.2,719.6,725.7,150.5,28.4,8.4,437.6,942.3,36.6
NC,2075,4,747.4,711.9,795.2,790.4,243.4,32.9,9.2,343,1151.8,54.1
NC,2100,4,754,705.3,808.9,803.6,281,33.7,9.3,288.1,1219.8,61.8
ND,2025,4,10.4,10.4,10.4,10.4,0,0.7,0.8,8.7,12,15.9
ND,2050,4,16.2,15.5,17.1,17.1,5.2,1.1,1.2,7.2,25.1,55.3
ND,2075,4,22.8,20.2,24.8,23.8,11.5,1.7,1.7,3.5,42.1,84.6
ND,2100,4,30,24.5,33.1,30.3,18.9,2.2,2.2,0,61.6,105.2
OH,2025,5,250.9,250.9,250.9,250.9,0,10.3,4.9,232.1,269.6,7.5
