VARIANT,PROJ_YEAR,param_mean,param_sd,ndraw,param_cv,pred_cv
ACD,0,54.1273409666667,0,30,0,0.12
ACD,5,91.046376496,0.0933503481368158,30,0.00102530547320482,0.120004380133866
ACD,10,114.650815718988,0.174276206791522,30,0.00152006076623718,0.120009627050221
ACD,15,135.272004012456,0.20098849279353,30,0.00148580997421331,0.120009198111143
ACD,20,153.672830810468,0.280345315504804,30,0.00182429980645418,0.120013866156306
ACD,25,170.477389740564,0.34473338522698,30,0.00202216484984667,0.120017036918431
ACD,30,186.558807464633,0.444302799206136,30,0.0023815696789891,0.120023630482234
ACD,35,201.701002783511,0.482380280223327,30,0.00239156114033342,0.120023829153581
ACD,40,215.853218072876,0.549143057234397,30,0.00254405777285654,0.120026964595259
ACD,45,228.797950624041,0.538221963988595,30,0.00235238979422939,0.120023055025874
ACD,50,240.566368965876,0.554907297549172,30,0.00230667029616216,0.120022167651877
ACD,55,250.761193793747,0.537239039458893,30,0.00214243293123248,0.12001912355481
ACD,60,259.366469536183,0.583969190083764,30,0.00225152152908607,0.120021120429681
ACD,65,266.846559559099,0.616841989072881,30,0.00231159805879479,0.120022262458202
ACD,70,273.469420648941,0.636405083554261,30,0.00232715263755661,0.120022563042948
ACD,75,279.513172508935,0.674451149977937,30,0.00241294942890886,0.120024257235554
ACD,80,285.164361635061,0.715700519712242,30,0.00250978248336712,0.120026242997579
ACD,85,290.515108549014,0.754465009597279,30,0.00259699061217669,0.120028098211376
ACD,90,295.575287531712,0.795121646422161,30,0.00269008161359516,0.120030148458993
ACD,95,300.312220405197,0.829477292852773,30,0.00276204974853703,0.120031782952739
ACD,100,304.786439319056,0.863745168400069,30,0.00283393569060953,0.12003345863341
AK,0,8.37247838841881,0,30,0,0.12
AK,5,11.5171638152717,0,30,0,0.12
AK,10,13.5067943967935,0,30,0,0.12
AK,15,15.443194349837,0,30,0,0.12
AK,20,17.4791720788587,0,30,0,0.12
AK,25,19.3180190958152,0,30,0,0.12
AK,30,21.4027672013043,0,30,0,0.12
AK,35,23.3457960074457,0,30,0,0.12
AK,40,25.4445925057065,0,30,0,0.12
AK,45,27.3260866468478,0,30,0,0.12
AK,50,29.3164116680435,0,30,0,0.12
AK,55,31.0036393561957,0,30,0,0.12
AK,60,32.9822929176087,0,30,0,0.12
AK,65,34.8363408535326,0,30,0,0.12
AK,70,36.5993891709239,0,30,0,0.12
AK,75,38.3761325696739,0,30,0,0.12
AK,80,40.2101233821739,0,30,0,0.12
AK,85,42.1545703072283,0,30,0,0.12
AK,90,43.9057144666304,0,30,0,0.12
AK,95,45.8423909772282,0,30,0,0.12
AK,100,47.8207801642391,0,30,0,0.12
BM,0,8.8340395560084,0,30,0,0.12
BM,5,23.638193090359,0.16405436958734,30,0.00694022461700979,0.120200527110885
BM,10,32.3574723935692,0.36234812388045,30,0.011198282717301,0.120521373771695
BM,15,42.0823308962026,0.646659176717635,30,0.0153665246897241,0.120979874694264
BM,20,52.3937274448205,0.880774672108435,30,0.0168106892764223,0.121171775896652
BM,25,62.8311247198051,1.16131961396937,30,0.0184831899659327,0.121415107426204
BM,30,73.2894396423667,1.38304903667024,30,0.0188710548671017,0.121474757508699
BM,35,83.3482000497538,1.4491027944597,30,0.0173861318372163,0.121252948748726
BM,40,92.5081414155051,1.49262610572676,30,0.0161350783064872,0.121079894086328
BM,45,101.180356112256,1.56942077825205,30,0.0155111213140111,0.120998325957089
BM,50,109.263957523618,1.52514790925196,30,0.0139583806391261,0.120809090676433
BM,55,116.616973385518,1.35206987712123,30,0.0115941087979663,0.120558796273101
BM,60,123.1697379847,1.16011557938946,30,0.00941883613922736,0.120369076071131
BM,65,128.876228415451,0.993545069412594,30,0.00770929659897989,0.120247383564263
BM,70,133.96646798639,0.924306679356067,30,0.00689953757271537,0.120198184756332
BM,75,138.632361564538,0.894786505696078,30,0.00645438406731261,0.120173454113995
BM,80,142.836305552069,0.849867933998762,30,0.00594994340349242,0.120147417061312
BM,85,146.537139520487,0.806198723364341,30,0.00550166821873596,0.120126051933746
BM,90,149.687408347697,0.751652379105558,30,0.0050214803462934,0.120105017650672
BM,95,152.230591706723,0.708481727262024,30,0.00465400363566172,0.120090215046192
BM,100,154.312028262762,0.693231109837343,30,0.00449239840627922,0.120084060738471
CA,0,13.6075122315417,0,30,0,0.12
CA,5,44.4905538799256,0.200162229765098,30,0.00449898264483985,0.120084307238034
CA,10,60.3735250459911,0.52564119860882,30,0.00870648513911354,0.120315430778756
CA,15,78.1570217480327,0.854201466821139,30,0.0109292990919609,0.120496678703778
CA,20,97.4465701689673,1.0728039324042,30,0.0110091502506862,0.120503947608542
CA,25,117.76281211939,1.39524522136456,30,0.0118479271703365,0.120583470584627
CA,30,138.707855923607,1.64669165747985,30,0.011871653890943,0.120585804164945
CA,35,158.826359918851,1.72951812505335,30,0.0108893644980406,0.120493063116394
CA,40,178.706214200027,1.84558302084756,30,0.0103274697475365,0.120443582773788
CA,45,197.707083500274,2.01317893775357,30,0.0101826343402147,0.120431250272122
CA,50,215.834400539512,2.17180897532078,30,0.0100623856525744,0.120421142682758
CA,55,233.321629232476,2.47218183435158,30,0.0105955964840635,0.12046686957356
CA,60,249.594785563313,2.69934236261916,30,0.0108148988630792,0.12048635622932
CA,65,265.230738936018,2.85424992146842,30,0.0107613843437542,0.120481564535799
CA,70,280.257044313649,3.03407649446532,30,0.010826049000466,0.120487357581451
CA,75,294.595372027997,3.2012533928048,30,0.0108666112803041,0.120491008962151
CA,80,308.317765847006,3.34653738555639,30,0.0108541827823733,0.120489888720478
CA,85,321.331835372804,3.5172438527184,30,0.0109458306508527,0.120498179275195
CA,90,334.531160654533,3.66500042487473,30,0.0109556324071692,0.120499070043885
CA,95,347.316186617783,3.89890097707342,30,0.011225796917332,0.120523933376028
CA,100,359.051331066866,4.22040941801483,30,0.0117543344164037,0.120574310603763
CI,0,8.41878280949999,0,30,0,0.12
CI,5,20.6627799687828,0.316983889036135,30,0.0153408152008119,0.12097661183479
CI,10,26.8156451157753,0.744970495533772,30,0.0277811886425778,0.12317383830341
CI,15,33.1393776749318,1.23396507163399,30,0.037235613889256,0.125644303260075
CI,20,39.4084476249773,1.75505990668116,30,0.0445351190532254,0.127997565715466
CI,25,45.5095902429823,2.30771416436652,30,0.0507083046022892,0.130274065552736
CI,30,51.4152046543056,2.85060167465111,30,0.0554427760001612,0.132188885351999
CI,35,57.0295792131035,3.38686631363407,30,0.0593878888879454,0.133891453597931
CI,40,62.2182609424116,3.8546217182614,30,0.0619532217692357,0.135048886287848
CI,45,67.0438262184268,4.29333166966669,30,0.0640376886557629,0.136017739903192
CI,50,71.5502318345025,4.69963157431982,30,0.0656829678091077,0.13680004481071
CI,55,75.6807231546288,5.06496743271278,30,0.0669254629394089,0.137400937368179
CI,60,79.432837252452,5.41397047270563,30,0.0681578382438871,0.138005401756887
CI,65,82.9425212885606,5.71424427667321,30,0.0688940267054712,0.138370469810918
CI,70,86.2289177959141,5.96230049504396,30,0.0691450228930796,0.138495610727866
CI,75,89.3205354244369,6.20130290998865,30,0.0694275160859824,0.138636863747956
CI,80,92.2291575909268,6.42955267348398,30,0.0697127984406149,0.138779949079187
CI,85,94.8694336624015,6.6490704599277,30,0.070086541083283,0.138968065543918
CI,90,97.3506050763763,6.82159754719844,30,0.0700724719876838,0.138960970529371
CI,95,99.7132879271187,6.98281701814963,30,0.0700289516403614,0.138939030037812
CI,100,101.91841895048,7.16956864082802,30,0.0703461524880167,0.139099177459348
CR,0,4.99640154910256,0,30,0,0.12
CR,5,12.5021460100758,0,30,0,0.12
CR,10,16.5258056069697,0,30,0,0.12
CR,15,21.0336774986364,0,30,0,0.12
CR,20,25.7830297297727,0,30,0,0.12
CR,25,30.7175565704546,0,30,0,0.12
CR,30,35.9196065305303,0,30,0,0.12
CR,35,41.572618600303,0,30,0,0.12
CR,40,47.3809957643939,0,30,0,0.12
CR,45,53.4326466279545,0,30,0,0.12
CR,50,59.7821701720454,0,30,0,0.12
CR,55,65.7899023964394,0,30,0,0.12
CR,60,71.8144422760606,0,30,0,0.12
CR,65,77.5927823584091,0,30,0,0.12
CR,70,82.852863478106,0,30,0,0.12
CR,75,87.8637813410606,0,30,0,0.12
CR,80,92.4963376056818,0,30,0,0.12
CR,85,97.2718005470455,0,30,0,0.12
CR,90,101.414536870379,0,30,0,0.12
CR,95,105.277378267879,0,30,0,0.12
CR,100,108.594146640152,0,30,0,0.12
CS,0,31.29566196025,0,30,0,0.12
CS,5,57.4596280166666,0,30,0,0.12
CS,10,73.039846069798,0,30,0,0.12
CS,15,85.4718772515152,0,30,0,0.12
CS,20,96.6265005960101,0,30,0,0.12
CS,25,107.013640583838,0,30,0,0.12
CS,30,117.007281837475,0,30,0,0.12
CS,35,126.302470508384,0,30,0,0.12
CS,40,135.356319795202,0,30,0,0.12
CS,45,143.962605751818,0,30,0,0.12
CS,50,152.042979831061,0,30,0,0.12
CS,55,159.591650974596,0,30,0,0.12
CS,60,166.768124062626,0,30,0,0.12
CS,65,173.335879366061,0,30,0,0.12
CS,70,179.177959017828,0,30,0,0.12
CS,75,184.404607106717,0,30,0,0.12
CS,80,189.406143228737,0,30,0,0.12
CS,85,194.041744469192,0,30,0,0.12
CS,90,198.207385758535,0,30,0,0.12
CS,95,201.960615385151,0,30,0,0.12
CS,100,205.455537770152,0,30,0,0.12
EC,0,15.5838396992017,0,30,0,0.12
EC,5,37.3661222864597,0.249012037072629,30,0.00666411235192212,0.120184900854638
EC,10,44.0608966050161,0.44403179931807,30,0.010077684149249,0.120422421989478
EC,15,50.4959218302312,0.562351714345473,30,0.0111365768553769,0.12051565601222
EC,20,57.5410692789704,0.748395900035519,30,0.0130062911484517,0.120702790396239
EC,25,64.5821471985591,0.89029370363254,30,0.013785446013359,0.120789231812224
EC,30,71.421725996699,0.956449691623191,30,0.0133915790787162,0.120744914552214
EC,35,77.9542820449247,1.06515740118057,30,0.0136638728911226,0.120775417293358
EC,40,84.1159294844489,1.10677278089417,30,0.01315770731748,0.120719200054724
EC,45,89.8435222777446,1.15721393352034,30,0.0128803268636653,0.120689282126106
EC,50,95.2381280719193,1.18362959538712,30,0.012428106466911,0.120641857704334
EC,55,100.20596588982,1.17648638317228,30,0.0117406820315057,0.120572980449871
EC,60,104.815686769513,1.19491941505858,30,0.0114001964008133,0.120540302297518
EC,65,109.056351094478,1.17034511211495,30,0.0107315630898107,0.120478904569848
EC,70,112.849443563258,1.14965869053138,30,0.0101875441670825,0.120431665504369
EC,75,116.259492836089,1.16248064163554,30,0.00999901696865729,0.120415864155598
EC,80,119.251719178513,1.17701753128862,30,0.0098700256851366,0.120405221676741
EC,85,121.881093533828,1.17900425181935,30,0.00967339738785749,0.12038926288097
EC,90,124.156099471056,1.18575875096753,30,0.00955054770582543,0.120379454067051
EC,95,126.147388564734,1.19643690786903,30,0.00948443659025938,0.12037422704813
EC,100,127.950672908094,1.22893167269689,30,0.00960473004764599,0.120383764849286
EM,0,13.7474190240678,0,30,0,0.12
EM,5,16.8496630733672,0.105408305154786,30,0.00625581085484111,0.120162952566303
EM,10,19.6578344891935,0.187663364618401,30,0.00954649225079016,0.120379132387197
EM,15,22.2965369945367,0.298315479065177,30,0.0133794534612381,0.120743570325386
EM,20,24.9203600261554,0.407812631402349,30,0.0163646364247678,0.121110698641015
EM,25,27.505341330846,0.511136019777207,30,0.0185831549453993,0.121430365426959
EM,30,30.2517579961257,0.637415384005139,30,0.0210703584263358,0.121835791146175
EM,35,33.0715727320946,0.76459654218056,30,0.0231194490922577,0.122206828476683
EM,40,36.0400576453121,0.888959114454608,30,0.0246658627242856,0.12250879472076
EM,45,39.0434708725113,0.986362808354879,30,0.0252631947496587,0.122630457101648
EM,50,42.0234087196836,1.09379556150986,30,0.0260282446101886,0.122790347818906
EM,55,45.0452962145269,1.21719506624695,30,0.0270215797993667,0.123004738830882
EM,60,48.1385543397189,1.32376560372556,30,0.0274990726639526,0.123110515381008
EM,65,51.2512616504181,1.45083536631349,30,0.0283082858761518,0.123293791608685
EM,70,54.5539739016582,1.58203281068085,30,0.0289994054976216,0.123454305389547
EM,75,57.9831609354901,1.70863851703408,30,0.0294678401361225,0.123565179570493
EM,80,61.5223061089534,1.85002206708558,30,0.0300707529364922,0.123710347918707
EM,85,64.9259070502288,1.96351278952582,30,0.030242362082162,0.123752173574077
EM,90,68.6275008136836,2.06088722116516,30,0.0300300491308907,0.123700460188326
EM,95,72.355145094209,2.13675335089536,30,0.0295314638387253,0.123580368005836
EM,100,76.1408937321356,2.22104261116049,30,0.0291701673344437,0.123494528876058
IE,0,18.4685331348333,0,30,0,0.12
IE,5,25.8295442999958,0.000490113443921893,30,1.89749164069446e-05,0.120000001500198
IE,10,33.776877299657,0.000992220479529629,30,2.93757315315737e-05,0.120000003595557
IE,15,41.4645372821639,0.00316924834325959,30,7.64327435199152e-05,0.120000024341515
IE,20,49.1650938270403,0.00720637440143845,30,0.000146575015737589,0.120000089517613
IE,25,56.6806628282737,0.0117209985472038,30,0.000206790075527436,0.120000178175432
IE,30,64.1353569092708,0.0107614376548706,30,0.000167792590132371,0.120000117309748
IE,35,71.4825079858153,0.0229277855889345,30,0.000320746798552231,0.120000428659688
IE,40,78.8570234008555,0.0313330160254723,30,0.000397339573245069,0.120000657826266
IE,45,86.1788545070347,0.0292205469591748,30,0.00033906863959058,0.12000047903047
IE,50,93.3611578152181,0.0355562978425797,30,0.000380846796190695,0.120000604349654
IE,55,100.662723424107,0.0446565183737268,30,0.000443625175782125,0.120000820010934
IE,60,107.89503351731,0.0548841122152337,30,0.000508680616948217,0.120001078145032
IE,65,115.111421002221,0.0595855905777465,30,0.000517634045857161,0.120001116432329
IE,70,121.909348324375,0.0743294568586681,30,0.000609710886657298,0.120001548937359
IE,75,128.587294787569,0.0846429865575272,30,0.00065825310888887,0.120001805391233
IE,80,134.988469199839,0.0898602962778947,30,0.00066568868297087,0.120001846408389
IE,85,141.239197053837,0.0935173144870996,30,0.000662120122726644,0.120001826665501
IE,90,147.058796618167,0.0988753439227292,30,0.000672352461712684,0.120001883559521
IE,95,152.512184535893,0.101667410376677,30,0.000666618281588839,0.120001851568771
IE,100,157.797298402482,0.107660340126346,30,0.000682269856431537,0.12000193953498
LS,0,34.6330678568487,0,30,0,0.12
LS,5,59.6683827187745,0,30,0,0.12
LS,10,75.4151417330392,0,30,0,0.12
LS,15,89.6609573258334,0,30,0,0.12
LS,20,102.321444876372,0,30,0,0.12
LS,25,113.701263502255,0,30,0,0.12
LS,30,124.934400224804,0,30,0,0.12
LS,35,135.653243715833,0,30,0,0.12
LS,40,145.885272382304,0,30,0,0.12
LS,45,155.41359515598,0,30,0,0.12
LS,50,164.311531011078,0,30,0,0.12
LS,55,172.584645737059,0,30,0,0.12
LS,60,180.015263670686,0,30,0,0.12
LS,65,187.176517174118,0,30,0,0.12
LS,70,193.632438453382,0,30,0,0.12
LS,75,199.422581425882,0,30,0,0.12
LS,80,204.846564680834,0,30,0,0.12
LS,85,209.922937186863,0,30,0,0.12
LS,90,214.246046845882,0,30,0,0.12
LS,95,218.132219505343,0,30,0,0.12
LS,100,221.98497215397,0,30,0,0.12
NC,0,40.7082370818333,0,30,0,0.12
NC,5,81.9617023906629,1.50814447041017,30,0.0184005996266614,0.121402562026593
NC,10,110.69727119953,3.61431083291658,30,0.032650405865939,0.12436257074864
NC,15,140.194047836301,5.88065925078053,30,0.0419465686421091,0.127120079534459
NC,20,170.689710199276,8.18758711915584,30,0.047967666648429,0.129231950552852
NC,25,199.438169335078,10.0826119042318,30,0.0505550764823354,0.130214499031923
NC,30,225.874294669157,11.5521510806108,30,0.0511441600627089,0.130444337203728
NC,35,249.892717767771,12.5665187661151,30,0.0502876549519676,0.130110907461935
NC,40,271.692314527847,13.2505773193422,30,0.0487705268453007,0.129532097523232
NC,45,291.18625847396,13.6378439929098,30,0.0468354656032966,0.128815996049705
NC,50,309.975898405956,14.1066650622567,30,0.0455089093532752,0.128339630786927
NC,55,327.452172543015,14.8257852570745,30,0.0452761853492571,0.128257292033554
NC,60,343.962293594949,15.6295239978705,30,0.0454396434984699,0.128315085634028
NC,65,359.168021298652,16.3775281104927,30,0.0455985141752768,0.12837143177122
NC,70,373.481537457688,17.0720329015671,30,0.0457105136114025,0.128411257507347
NC,75,387.044411370958,17.6201717481386,30,0.0455249352024636,0.128345314387353
NC,80,399.893032410212,18.2675585052657,30,0.0456811122593573,0.128400794457246
NC,85,412.062232602543,18.8563321755452,30,0.0457608843607204,0.128429196592812
NC,90,423.984784572689,19.4413009081947,30,0.045853770266281,0.128462322288027
NC,95,435.069238871953,20.1154541618932,30,0.0462350641338114,0.128598915840911
NC,100,445.668744172307,20.7969131117207,30,0.0466645089736875,0.128753937406805
NE,0,40.279854750125,0,30,0,0.12
NE,5,68.4801336461206,0.251937002113622,30,0.00367897941635944,0.120056382127507
NE,10,87.4739000087222,0.502502831066923,30,0.00574460303035326,0.120137423245117
NE,15,105.144419434103,0.720830514852451,30,0.00685562313941174,0.120195672004568
NE,20,121.550339491159,0.925941105873372,30,0.00761775828639889,0.120241549562994
NE,25,136.333616282879,1.07925311029884,30,0.00791626555302029,0.120260830116484
