state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
AL,reserve,360.2,0,360.2,0,0
AL,conservation,161.3,36.4,197.7,332,240
AL,BAU,31,51.2,82.3,670,524
AL,intensive,0,47.8,47.8,983,842
AR,reserve,290.5,0,290.5,0,0
AR,conservation,153.2,25.5,178.6,268,191
AR,BAU,41.8,40.7,82.4,567,429
AR,intensive,0,41.4,41.4,903,747
AZ,reserve,72.9,0,72.9,0,0
AZ,conservation,69.4,0.7,70.1,7,5
AZ,BAU,62.4,2,64.4,20,14
AZ,intensive,53.2,3.7,56.9,39,27
CA,reserve,506.4,0,506.4,0,0
CA,conservation,434.8,13.7,448.5,79,56
CA,BAU,345.1,30,375.2,184,132
CA,intensive,178,56.9,234.9,410,304
CO,reserve,128.1,0,128.1,0,0
CO,conservation,123.8,0.8,124.6,7,5
CO,BAU,117.1,2.1,119.2,18,13
CO,intensive,103.1,4.7,107.8,42,30
CT,reserve,46,0,46,0,0
CT,conservation,41.4,0.9,42.3,87,59
CT,BAU,34.9,2.2,37,215,148
CT,intensive,23.3,4.3,27.6,468,331
DE,reserve,10.7,0,10.7,0,0
DE,conservation,9.1,0.3,9.5,153,103
DE,BAU,7.1,0.7,7.8,362,248
DE,intensive,3.8,1.3,5.1,754,539
FL,reserve,273.6,0,273.6,0,0
FL,conservation,170,20.4,190.4,206,142
FL,BAU,71.7,36.2,107.9,457,333
FL,intensive,12.4,39.8,52.3,724,571
GA,reserve,379.4,0,379.4,0,0
GA,conservation,153.8,40.9,194.7,364,264
GA,BAU,21,54.7,75.8,709,555
GA,intensive,0,52.3,52.3,1045,898
IA,reserve,54.1,0,54.1,0,0
IA,conservation,47.6,1.3,48.9,69,47
IA,BAU,39.1,2.9,42,165,114
IA,intensive,23.3,5.7,29,366,259
ID,reserve,205.5,0,205.5,0,0
ID,conservation,176.4,5.5,181.9,52,37
ID,BAU,129.6,13.8,143.4,142,102
ID,intensive,70.6,23,93.6,274,203
IL,reserve,111.8,0,111.8,0,0
IL,conservation,95.7,3.2,98.9,112,76
IL,BAU,75.3,7.1,82.4,264,182
IL,intensive,40.3,13,53.2,567,408
IN,reserve,125.8,0,125.8,0,0
IN,conservation,104,4.3,108.4,154,106
IN,BAU,77.8,9.2,87,356,250
IN,intensive,35.9,15.9,51.8,747,548
KS,reserve,41.8,0,41.8,0,0
KS,conservation,39.1,0.6,39.7,15,10
KS,BAU,35,1.4,36.4,38,26
KS,intensive,27.3,2.9,30.1,85,58
KY,reserve,202.6,0,202.6,0,0
KY,conservation,144.5,10.8,155.4,172,122
KY,BAU,77.7,21.8,99.5,401,293
KY,intensive,3.1,29.7,32.8,759,591
LA,reserve,275.5,0,275.5,0,0
LA,conservation,142.5,25.6,168.1,332,233
LA,BAU,45.1,39.3,84.4,678,508
LA,intensive,2.8,38.3,41.1,1019,838
MA,reserve,73.2,0,73.2,0,0
MA,conservation,64.9,1.7,66.6,90,62
MA,BAU,54.2,3.7,57.9,213,148
MA,intensive,33.4,7.3,40.8,479,344
MD,reserve,70.5,0,70.5,0,0
MD,conservation,62.4,1.6,64.1,101,69
MD,BAU,51.7,3.7,55.4,243,168
MD,intensive,32.2,7.2,39.4,533,379
ME,reserve,195.2,0,195.2,0,0
ME,conservation,108.7,15.9,124.6,197,142
ME,BAU,39,25.9,64.9,404,305
ME,intensive,0,28.4,28.4,708,585
MI,reserve,303.7,0,303.7,0,0
MI,conservation,211.1,17.7,228.8,167,118
MI,BAU,118.7,33.1,151.8,363,265
MI,intensive,15,43.6,58.7,688,540
MN,reserve,176.3,0,176.3,0,0
MN,conservation,126.7,9.5,136.2,103,73
MN,BAU,76.1,18.1,94.3,225,164
MN,intensive,14.6,25.1,39.8,435,340
MO,reserve,250.6,0,250.6,0,0
MO,conservation,212.7,7.4,220.1,87,60
MO,BAU,162.6,16.7,179.3,211,148
MO,intensive,82.2,29.7,111.8,443,324
MS,reserve,361.3,0,361.3,0,0
MS,conservation,175.3,34.9,210.2,348,247
MS,BAU,43,51.9,94.8,712,544
MS,intensive,0,48.6,48.6,1058,888
MT,reserve,208,0,208,0,0
MT,conservation,182.1,4.9,187.1,35,25
MT,BAU,148.7,11.1,159.8,83,58
MT,intensive,82.3,22.1,104.4,190,138
NC,reserve,378.4,0,378.4,0,0
NC,conservation,220.9,29.7,250.6,319,225
NC,BAU,73.9,51.4,125.3,706,524
NC,intensive,0,55.1,55.1,1153,929
ND,reserve,8.8,0,8.8,0,0
ND,conservation,8.7,0,8.7,4,3
ND,BAU,8.6,0,8.6,11,7
ND,intensive,8.2,0.1,8.3,27,18
NE,reserve,17.8,0,17.8,0,0
NE,conservation,16.2,0.3,16.6,36,24
NE,BAU,13.9,0.8,14.7,90,62
NE,intensive,9.7,1.5,11.3,195,136
NH,reserve,75.4,0,75.4,0,0
NH,conservation,55.6,3.7,59.3,157,112
NH,BAU,34.5,7.3,41.8,347,255
NH,intensive,6.2,10.6,16.9,697,545
NJ,reserve,45,0,45,0,0
NJ,conservation,43.4,0.3,43.7,27,18
NJ,BAU,40.9,0.8,41.7,68,46
NJ,intensive,35.6,1.9,37.5,158,108
NM,reserve,72.4,0,72.4,0,0
NM,conservation,68.6,0.7,69.3,8,6
NM,BAU,63.6,1.7,65.2,18,13
NM,intensive,51.2,3.9,55.1,46,33
NV,reserve,46.7,0,46.7,0,0
NV,conservation,46.4,0.1,46.4,1,1
NV,BAU,45.9,0.2,46,2,2
NV,intensive,44.6,0.4,45,6,4
NY,reserve,311,0,311,0,0
NY,conservation,249.3,11.8,261.1,118,83
NY,BAU,176,24.8,200.7,272,196
NY,intensive,61,41.3,102.3,571,431
OH,reserve,152.8,0,152.8,0,0
OH,conservation,122.7,5.8,128.5,133,92
OH,BAU,84.4,12.7,97.1,320,228
OH,intensive,31.1,20.5,51.5,642,478
OK,reserve,115.8,0,115.8,0,0
OK,conservation,90,5,95,77,53
OK,BAU,58.4,10.6,68.9,182,130
OK,intensive,17.3,16.2,33.5,358,268
OR,reserve,514.7,0,514.7,0,0
OR,conservation,329.7,34.2,363.9,231,166
