model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CEM_dist,01,reserve,2025,558.05,8.942
CEM_dist,01,reserve,2030,513.342,9.549
CEM_dist,01,reserve,2035,480.022,9.283
CEM_dist,01,reserve,2040,451.453,12.221
CEM_dist,01,reserve,2045,426.915,10.356
CEM_dist,01,reserve,2050,409.827,10.533
CEM_dist,01,reserve,2055,397.685,10.723
CEM_dist,01,reserve,2060,386.748,10.81
CEM_dist,01,reserve,2065,377.883,10.591
CEM_dist,01,reserve,2070,371.673,10.774
CEM_dist,01,reserve,2075,365.946,9.184
CEM_dist,01,reserve,2080,363.511,10.131
CEM_dist,01,reserve,2085,359.703,9.781
CEM_dist,01,reserve,2090,357.182,11.503
CEM_dist,01,reserve,2095,356.078,12.62
CEM_dist,01,reserve,2100,353.654,10.158
CEM_dist,04,reserve,2025,135.23,1.922
CEM_dist,04,reserve,2030,123.594,2.217
CEM_dist,04,reserve,2035,115.149,2.772
CEM_dist,04,reserve,2040,108.33,2.927
CEM_dist,04,reserve,2045,102.398,2.776
CEM_dist,04,reserve,2050,97.293,2.582
CEM_dist,04,reserve,2055,92.818,2.704
CEM_dist,04,reserve,2060,89.06,2.865
CEM_dist,04,reserve,2065,85.895,2.702
CEM_dist,04,reserve,2070,83.015,3.012
CEM_dist,04,reserve,2075,80.569,2.788
CEM_dist,04,reserve,2080,78.178,2.632
CEM_dist,04,reserve,2085,76.291,2.837
CEM_dist,04,reserve,2090,74.523,2.831
CEM_dist,04,reserve,2095,72.866,2.818
CEM_dist,04,reserve,2100,71.577,2.842
CEM_dist,05,reserve,2025,464.86,3.769
CEM_dist,05,reserve,2030,431.181,5.271
CEM_dist,05,reserve,2035,412.618,4.92
CEM_dist,05,reserve,2040,394.826,5.261
CEM_dist,05,reserve,2045,378.817,6.443
CEM_dist,05,reserve,2050,363.947,6.629
CEM_dist,05,reserve,2055,350.061,5.572
CEM_dist,05,reserve,2060,338.849,6.129
CEM_dist,05,reserve,2065,328.985,6.289
CEM_dist,05,reserve,2070,319.588,5.978
CEM_dist,05,reserve,2075,311.926,6.005
CEM_dist,05,reserve,2080,305.245,5.865
CEM_dist,05,reserve,2085,298.881,5.82
CEM_dist,05,reserve,2090,293.607,5.184
CEM_dist,05,reserve,2095,288.406,5.21
CEM_dist,05,reserve,2100,284.229,4.644
CEM_dist,06,reserve,2025,1002.65,14.939
CEM_dist,06,reserve,2030,901.329,16.28
CEM_dist,06,reserve,2035,833.574,19.115
CEM_dist,06,reserve,2040,775.233,18.888
CEM_dist,06,reserve,2045,722.835,18.555
CEM_dist,06,reserve,2050,675.118,16.416
