model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
YC_dist,01,reserve,2025,558.05,5.692
YC_dist,01,reserve,2030,648.405,6.619
YC_dist,01,reserve,2035,734.178,7.501
YC_dist,01,reserve,2040,814.25,8.325
YC_dist,01,reserve,2045,887.818,9.085
YC_dist,01,reserve,2050,954.81,9.777
YC_dist,01,reserve,2055,1014.975,10.401
YC_dist,01,reserve,2060,1067.952,10.953
YC_dist,01,reserve,2065,1115.171,11.447
YC_dist,01,reserve,2070,1154.846,11.864
YC_dist,01,reserve,2075,1187.056,12.206
YC_dist,01,reserve,2080,1211.234,12.466
YC_dist,01,reserve,2085,1227.463,12.646
YC_dist,01,reserve,2090,1235.071,12.738
YC_dist,01,reserve,2095,1236.031,12.763
YC_dist,01,reserve,2100,1228.971,12.706
YC_dist,04,reserve,2025,135.23,2.421
YC_dist,04,reserve,2030,138.579,2.482
YC_dist,04,reserve,2035,141.462,2.535
YC_dist,04,reserve,2040,143.816,2.579
YC_dist,04,reserve,2045,145.762,2.615
YC_dist,04,reserve,2050,147.217,2.644
YC_dist,04,reserve,2055,148.355,2.666
YC_dist,04,reserve,2060,149.064,2.681
YC_dist,04,reserve,2065,149.555,2.693
YC_dist,04,reserve,2070,149.618,2.697
YC_dist,04,reserve,2075,149.42,2.696
YC_dist,04,reserve,2080,148.865,2.689
YC_dist,04,reserve,2085,148.09,2.679
YC_dist,04,reserve,2090,146.977,2.662
YC_dist,04,reserve,2095,145.655,2.642
YC_dist,04,reserve,2100,144.016,2.616
YC_dist,05,reserve,2025,464.86,4.835
YC_dist,05,reserve,2030,510.841,5.318
YC_dist,05,reserve,2035,550.771,5.739
YC_dist,05,reserve,2040,584.485,6.096
YC_dist,05,reserve,2045,612.416,6.393
YC_dist,05,reserve,2050,634.495,6.63
YC_dist,05,reserve,2055,650.838,6.808
YC_dist,05,reserve,2060,660.764,6.919
YC_dist,05,reserve,2065,665.944,6.981
YC_dist,05,reserve,2070,664.909,6.979
YC_dist,05,reserve,2075,659.809,6.935
YC_dist,05,reserve,2080,649.08,6.832
YC_dist,05,reserve,2085,635.803,6.703
YC_dist,05,reserve,2090,617.784,6.524
YC_dist,05,reserve,2095,599.025,6.338
YC_dist,05,reserve,2100,577.103,6.119
YC_dist,06,reserve,2025,1002.65,12.032
YC_dist,06,reserve,2030,1032.494,12.438
YC_dist,06,reserve,2035,1069.973,12.945
YC_dist,06,reserve,2040,1104.896,13.431
YC_dist,06,reserve,2045,1137.251,13.896
YC_dist,06,reserve,2050,1167.229,14.343
YC_dist,06,reserve,2055,1194.637,14.77
YC_dist,06,reserve,2060,1219.309,15.175
YC_dist,06,reserve,2065,1230.873,15.433
YC_dist,06,reserve,2070,1239.602,15.667
YC_dist,06,reserve,2075,1245.921,15.882
YC_dist,06,reserve,2080,1249.865,16.078
YC_dist,06,reserve,2085,1251.649,16.257
YC_dist,06,reserve,2090,1251.058,16.417
YC_dist,06,reserve,2095,1246.511,16.538
YC_dist,06,reserve,2100,1239.938,16.642
YC_dist,08,reserve,2025,271.63,3.64
YC_dist,08,reserve,2030,280.621,3.772
YC_dist,08,reserve,2035,288.49,3.891
YC_dist,08,reserve,2040,295.5,4.001
YC_dist,08,reserve,2045,301.568,4.1
YC_dist,08,reserve,2050,306.674,4.187
YC_dist,08,reserve,2055,310.825,4.264
YC_dist,08,reserve,2060,313.942,4.329
YC_dist,08,reserve,2065,316.251,4.385
YC_dist,08,reserve,2070,317.394,4.428
YC_dist,08,reserve,2075,317.591,4.459
YC_dist,08,reserve,2080,316.644,4.477
YC_dist,08,reserve,2085,314.841,4.485
YC_dist,08,reserve,2090,312.134,4.482
YC_dist,08,reserve,2095,308.803,4.472
YC_dist,08,reserve,2100,304.867,4.455
YC_dist,09,reserve,2025,64.47,2.147
YC_dist,09,reserve,2030,65.746,2.196
YC_dist,09,reserve,2035,66.783,2.237
YC_dist,09,reserve,2040,67.583,2.27
YC_dist,09,reserve,2045,68.106,2.295
YC_dist,09,reserve,2050,68.416,2.312
YC_dist,09,reserve,2055,68.517,2.323
YC_dist,09,reserve,2060,68.448,2.328
YC_dist,09,reserve,2065,68.184,2.327
YC_dist,09,reserve,2070,67.76,2.32
YC_dist,09,reserve,2075,67.231,2.31
YC_dist,09,reserve,2080,66.627,2.297
YC_dist,09,reserve,2085,65.981,2.284
YC_dist,09,reserve,2090,65.3,2.268
YC_dist,09,reserve,2095,64.605,2.253
YC_dist,09,reserve,2100,63.918,2.238
YC_dist,10,reserve,2025,12.66,0.786
YC_dist,10,reserve,2030,13.404,0.833
YC_dist,10,reserve,2035,14.125,0.878
YC_dist,10,reserve,2040,14.811,0.922
YC_dist,10,reserve,2045,15.46,0.963
YC_dist,10,reserve,2050,16.072,1.001
YC_dist,10,reserve,2055,16.637,1.037
YC_dist,10,reserve,2060,17.15,1.07
YC_dist,10,reserve,2065,17.583,1.098
YC_dist,10,reserve,2070,17.919,1.119
YC_dist,10,reserve,2075,18.174,1.136
YC_dist,10,reserve,2080,18.376,1.149
YC_dist,10,reserve,2085,18.551,1.161
YC_dist,10,reserve,2090,18.609,1.166
YC_dist,10,reserve,2095,18.62,1.167
YC_dist,10,reserve,2100,18.6,1.167
YC_dist,12,reserve,2025,320.05,5.537
YC_dist,12,reserve,2030,352.833,6.114
YC_dist,12,reserve,2035,380.878,6.61
YC_dist,12,reserve,2040,405.187,7.042
YC_dist,12,reserve,2045,426.119,7.418
YC_dist,12,reserve,2050,444.095,7.743
