model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CBM,04,reserve,2080,227.675,4.075
CBM,04,reserve,2081,228.663,4.093
CBM,04,reserve,2082,229.632,4.11
CBM,04,reserve,2083,230.582,4.127
CBM,04,reserve,2084,231.513,4.144
CBM,04,reserve,2085,232.427,4.16
CBM,04,reserve,2086,233.322,4.176
CBM,04,reserve,2087,234.2,4.192
CBM,04,reserve,2088,235.06,4.208
CBM,04,reserve,2089,235.902,4.223
CBM,04,reserve,2090,236.726,4.237
CBM,04,reserve,2091,237.533,4.252
CBM,04,reserve,2092,238.322,4.266
CBM,04,reserve,2093,239.093,4.28
CBM,04,reserve,2094,239.846,4.293
CBM,04,reserve,2095,240.585,4.306
CBM,04,reserve,2096,241.311,4.319
CBM,04,reserve,2097,242.022,4.332
CBM,04,reserve,2098,242.719,4.345
CBM,04,reserve,2099,243.402,4.357
CBM,04,reserve,2100,244.071,4.369
CBM,05,reserve,2025,464.86,4.835
CBM,05,reserve,2026,471.732,4.906
CBM,05,reserve,2027,478.537,4.977
CBM,05,reserve,2028,485.278,5.047
CBM,05,reserve,2029,491.954,5.116
CBM,05,reserve,2030,498.567,5.185
CBM,05,reserve,2031,505.116,5.253
CBM,05,reserve,2032,511.602,5.321
CBM,05,reserve,2033,518.027,5.387
CBM,05,reserve,2034,524.39,5.454
CBM,05,reserve,2035,530.692,5.519
CBM,05,reserve,2036,536.934,5.584
CBM,05,reserve,2037,543.117,5.648
CBM,05,reserve,2038,549.24,5.712
CBM,05,reserve,2039,555.305,5.775
CBM,05,reserve,2040,561.311,5.838
CBM,05,reserve,2041,567.26,5.9
CBM,05,reserve,2042,573.153,5.961
CBM,05,reserve,2043,578.989,6.021
CBM,05,reserve,2044,584.769,6.082
CBM,05,reserve,2045,590.494,6.141
CBM,05,reserve,2046,596.164,6.2
CBM,05,reserve,2047,601.78,6.259
CBM,05,reserve,2048,607.342,6.316
CBM,05,reserve,2049,612.851,6.374
CBM,05,reserve,2050,618.307,6.43
CBM,05,reserve,2051,623.712,6.487
CBM,05,reserve,2052,629.064,6.542
CBM,05,reserve,2053,634.365,6.597
CBM,05,reserve,2054,639.616,6.652
CBM,05,reserve,2055,644.816,6.706
CBM,05,reserve,2056,649.967,6.76
CBM,05,reserve,2057,655.069,6.813
CBM,05,reserve,2058,660.121,6.865
CBM,05,reserve,2059,665.126,6.917
CBM,05,reserve,2060,670.082,6.969
CBM,05,reserve,2061,674.991,7.02
CBM,05,reserve,2062,679.853,7.07
CBM,05,reserve,2063,684.669,7.121
CBM,05,reserve,2064,689.439,7.17
CBM,05,reserve,2065,694.163,7.219
CBM,05,reserve,2066,698.841,7.268
CBM,05,reserve,2067,703.475,7.316
CBM,05,reserve,2068,708.065,7.364
CBM,05,reserve,2069,712.611,7.411
CBM,05,reserve,2070,717.114,7.458
CBM,05,reserve,2071,721.573,7.504
CBM,05,reserve,2072,725.99,7.55
CBM,05,reserve,2073,730.364,7.596
CBM,05,reserve,2074,734.697,7.641
CBM,05,reserve,2075,738.988,7.685
CBM,05,reserve,2076,743.238,7.73
CBM,05,reserve,2077,747.448,7.773
CBM,05,reserve,2078,751.617,7.817
CBM,05,reserve,2079,755.746,7.86
CBM,05,reserve,2080,759.836,7.902
CBM,05,reserve,2081,763.887,7.944
CBM,05,reserve,2082,767.899,7.986
CBM,05,reserve,2083,771.873,8.027
CBM,05,reserve,2084,775.809,8.068
CBM,05,reserve,2085,779.707,8.109
CBM,05,reserve,2086,783.568,8.149
CBM,05,reserve,2087,787.391,8.189
