state,scenario,LANDIS_TgC,FVS_TgC,YieldCurve_TgC
WA,reserve,1371.3,2271.7,1178.1
WA,conservation,1369.6,2269.0,1176.5
WA,BAU,1367.0,2265.2,1174.1
WA,intensive,1360.3,2255.0,1167.8
MN,reserve,837.9,387.2,444.0
MN,conservation,805.9,368.4,422.2
MN,BAU,762.0,342.9,392.5
MN,intensive,662.6,286.1,326.2
IN,reserve,583.2,313.0,230.7
IN,conservation,574.5,307.4,226.0
IN,BAU,561.7,299.2,219.1
IN,intensive,531.3,279.7,202.7
OH,reserve,783.8,510.6,365.6
OH,conservation,774.7,503.7,360.1
OH,BAU,760.1,492.7,351.4
OH,intensive,728.7,468.8,332.5
WI,reserve,1236.6,624.5,581.3
WI,conservation,880.6,414.0,366.1
WI,BAU,595.1,256.1,206.1
WI,intensive,347.7,137.5,91.1
MI,reserve,1160.7,716.6,852.5
MI,conservation,943.0,562.0,678.6
MI,BAU,717.5,406.1,501.3
MI,intensive,428.5,218.6,281.7
ME,reserve,1170.8,547.2,608.0
ME,conservation,1164.2,542.9,603.5
ME,BAU,1154.8,536.8,597.0
ME,intensive,1130.6,521.0,580.4
