state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
AL,reserve,854.4,0,854.4,0,0
AL,conservation,658.8,41.4,700.2,254,162
AL,BAU,417.3,88.3,505.7,609,401
AL,intensive,161.8,128.1,289.9,1090,760
AR,reserve,885.5,0,885.5,0,0
AR,conservation,809.8,16.6,826.4,112,69
AR,BAU,697.9,40.6,738.5,283,177
AR,intensive,508.1,79,587.2,599,384
AZ,reserve,285,0,285,0,0
AZ,BAU,285,0,285,0,0
AZ,conservation,285,0,285,0,0
AZ,intensive,285,0,285,0,0
CA,reserve,4345.4,0,4345.4,0,0
CA,conservation,4344.3,0.3,4344.6,1,0
CA,BAU,4342.6,0.7,4343.3,2,1
CA,intensive,4338.3,1.7,4340,5,3
CO,reserve,960.7,0,960.7,0,0
CO,BAU,960.7,0,960.7,0,0
CO,conservation,960.7,0,960.7,0,0
CO,intensive,960.7,0,960.7,0,0
CT,reserve,180.4,0,180.4,0,0
CT,conservation,179.9,0.1,180,8,5
CT,BAU,179,0.3,179.3,21,13
CT,intensive,177,0.8,177.8,51,31
DE,reserve,19.8,0,19.8,0,0
DE,BAU,19.8,0,19.8,5,3
DE,conservation,19.8,0,19.8,2,1
DE,intensive,19.7,0,19.7,12,7
FL,reserve,528.1,0,528.1,0,0
FL,conservation,343,38.6,381.6,327,211
FL,BAU,160.1,71.1,231.2,727,493
FL,intensive,37.6,83.5,121,1151,842
GA,reserve,994,0,994,0,0
GA,conservation,411.9,116.2,528.1,799,533
GA,BAU,114.7,154.3,269,1450,1052
GA,intensive,23.4,147.1,170.6,1976,1576
IA,reserve,179.9,0,179.9,0,0
IA,conservation,106.1,15.9,122,687,432
IA,BAU,52.6,25.5,78.2,1327,883
IA,intensive,16.4,29.2,45.6,2049,1493
ID,reserve,1014.7,0,1014.7,0,0
ID,conservation,1010.3,1,1011.3,6,3
ID,BAU,1002,2.9,1004.9,17,10
ID,intensive,987.4,6.2,993.6,36,21
IL,reserve,275.5,0,275.5,0,0
IL,conservation,245.1,6.6,251.8,180,112
IL,BAU,205.6,15,220.6,425,268
IL,intensive,134.3,29,163.3,918,600
IN,reserve,359.3,0,359.3,0,0
IN,conservation,351.3,1.8,353.1,46,28
IN,BAU,339.7,4.3,344.1,113,69
IN,intensive,312.3,10.3,322.6,275,170
KS,reserve,90.5,0,90.5,0,0
KS,conservation,89.8,0.2,89.9,3,2
KS,BAU,88.6,0.4,89,9,5
KS,intensive,86.1,1,87.1,21,13
KY,reserve,1111.1,0,1111.1,0,0
KY,conservation,983.2,29,1012.2,273,164
KY,BAU,810.1,66.9,877,663,404
KY,intensive,536.7,122.5,659.2,1352,854
LA,reserve,743.8,0,743.8,0,0
LA,conservation,680.3,14.1,694.4,124,76
LA,BAU,585.4,34.6,620,316,196
LA,intensive,429.4,66.5,495.9,659,419
MA,reserve,323,0,323,0,0
MA,conservation,320.4,0.6,321,22,13
MA,BAU,316.6,1.5,318.1,54,32
MA,intensive,307,3.7,310.7,135,80
MD,reserve,150.8,0,150.8,0,0
MD,conservation,148.8,0.4,149.2,22,14
MD,BAU,145.7,1.1,146.8,56,35
MD,intensive,138.3,2.7,141,136,86
ME,reserve,819.5,0,819.5,0,0
ME,conservation,812.6,1.5,814.2,11,7
ME,BAU,802.8,3.8,806.5,27,17
ME,intensive,777.3,9.5,786.8,70,43
MI,reserve,911.8,0,911.8,0,0
MI,conservation,676.2,50.5,726.7,346,220
MI,BAU,440.4,96.6,537,742,487
MI,intensive,161,139.1,300.1,1371,964
MN,reserve,599.1,0,599.1,0,0
MN,conservation,567.5,7,574.5,51,32
MN,BAU,524.4,16.4,540.8,122,76
MN,intensive,428.2,36.8,465,289,183
MO,reserve,1045.6,0,1045.6,0,0
MO,conservation,1036.5,2.1,1038.6,16,9
MO,BAU,1022.4,5.3,1027.7,41,24
MO,intensive,990.3,12.5,1002.8,98,59
MS,reserve,1642,0,1642,0,0
MS,conservation,1485.5,35.7,1521.2,209,123
MS,BAU,1252.9,87.2,1340.1,533,320
MS,intensive,897.8,161.4,1059.2,1075,665
MT,reserve,1201.3,0,1201.3,0,0
MT,conservation,1200.3,0.2,1200.5,1,1
MT,BAU,1198.8,0.6,1199.4,2,1
MT,intensive,1195.1,1.4,1196.5,6,4
NC,reserve,1057.6,0,1057.6,0,0
NC,conservation,851.9,44.6,896.5,331,208
NC,BAU,591.9,97.2,689.1,796,514
NC,intensive,292.1,148.7,440.8,1458,992
ND,reserve,41,0,41,0,0
ND,conservation,40.7,0.1,40.7,10,6
ND,BAU,40.3,0.2,40.4,24,14
ND,intensive,39.2,0.4,39.6,60,35
NE,reserve,87.6,0,87.6,0,0
NE,conservation,86.2,0.3,86.5,23,13
NE,BAU,84.1,0.8,84.9,59,34
NE,intensive,79.6,1.9,81.4,137,80
NH,reserve,407.8,0,407.8,0,0
NH,conservation,402.4,1.2,403.6,30,18
NH,BAU,394.8,3,397.7,74,44
NH,intensive,375.4,7.3,382.7,185,111
NJ,reserve,176.6,0,176.6,0,0
NJ,conservation,175.2,0.3,175.5,18,11
NJ,BAU,173,0.8,173.8,47,28
NJ,intensive,167.9,2,169.9,114,68
NM,reserve,768.8,0,768.8,0,0
NM,BAU,768.8,0,768.8,0,0
NM,conservation,768.8,0,768.8,0,0
NM,intensive,768.8,0,768.8,0,0
NV,reserve,383.4,0,383.4,0,0
NV,conservation,383.2,0,383.3,0,0
NV,BAU,382.9,0.1,383.1,1,0
NV,intensive,382.2,0.3,382.5,2,1
NY,reserve,1628.6,0,1628.6,0,0
NY,conservation,1530.8,22.3,1553.1,138,82
NY,BAU,1397,52.2,1449.2,331,200
NY,intensive,1114.4,113.4,1227.8,764,470
OH,reserve,605.5,0,605.5,0,0
OH,conservation,595.5,2.2,597.8,34,20
OH,BAU,579.8,5.8,585.6,87,53
OH,intensive,545.9,13.3,559.2,205,124
OK,reserve,596.6,0,596.6,0,0
OK,conservation,585.9,2.5,588.4,23,14
OK,BAU,569.1,6.3,575.4,60,35
OK,intensive,533,14.5,547.6,141,83
OR,reserve,4128.4,0,4128.4,0,0
OR,conservation,4126.7,0.4,4127.1,1,1
OR,BAU,4124.2,1,4125.2,3,2
OR,intensive,4117.9,2.5,4120.4,9,5
PA,reserve,1169.3,0,1169.3,0,0
PA,conservation,1142.9,5.9,1148.8,43,26
PA,BAU,1103.7,14.6,1118.3,109,66
PA,intensive,1013.5,34.4,1047.9,261,161
RI,reserve,32.3,0,32.3,0,0
RI,conservation,32.3,0,32.3,7,4
RI,BAU,32.1,0.1,32.2,17,10
RI,intensive,31.8,0.1,31.9,41,25
SC,reserve,660.8,0,660.8,0,0
SC,conservation,498.5,35.1,533.7,361,226
SC,BAU,314.3,71.6,385.9,831,541
SC,intensive,133.6,99.8,233.4,1443,1000
SD,reserve,38.2,0,38.2,0,0
SD,conservation,37.4,0.2,37.6,11,6
SD,BAU,36.3,0.4,36.7,26,16
SD,intensive,33.5,1,34.5,64,40
TN,reserve,825,0,825,0,0
TN,conservation,506.3,66.9,573.2,690,441
TN,BAU,228.5,115.8,344.3,1446,977
TN,intensive,42.9,132.6,175.5,2281,1675
TX,reserve,921.2,0,921.2,0,0
TX,conservation,901.9,4.3,906.1,9,5
TX,BAU,869.7,11.4,881.1,24,15
TX,intensive,806.6,25.1,831.8,54,33
UT,reserve,437,0,437,0,0
UT,BAU,436.8,0,436.9,0,0
UT,conservation,436.9,0,436.9,0,0
UT,intensive,436.6,0.1,436.7,0,0
VA,reserve,858.2,0,858.2,0,0
VA,conservation,841.8,3.6,845.3,29,18
VA,BAU,814.9,9.4,824.3,77,49
VA,intensive,760,21.2,781.1,177,112
VT,reserve,392.1,0,392.1,0,0
VT,conservation,388.8,0.8,389.5,19,12
VT,BAU,383.9,1.9,385.8,47,28
VT,intensive,371.5,4.7,376.2,120,72
WA,reserve,3026.7,0,3026.7,0,0
WA,conservation,3022.5,1,3023.5,5,3
WA,BAU,3016.5,2.4,3018.9,12,7
WA,intensive,3000.8,6,3006.9,30,17
WI,reserve,881.7,0,881.7,0,0
WI,conservation,541.2,73,614.2,608,385
WI,BAU,284.8,119.8,404.6,1183,790
WI,intensive,89.4,141.4,230.8,1890,1381
WV,reserve,1130.2,0,1130.2,0,0
WV,conservation,1108.5,4.9,1113.4,48,29
WV,BAU,1075.5,12.4,1087.9,121,73
WV,intensive,1001.4,29,1030.4,289,175
WY,reserve,361.5,0,361.5,0,0
WY,conservation,361.4,0,361.4,0,0
WY,BAU,361.1,0.1,361.2,1,1
WY,intensive,360.6,0.2,360.8,2,1
