model,dom,scenario,year,forest_TgC,hwp_TgC,total_TgC,forest_TgC_se
LANDIS,18,reserve,2025,178.8,0,178.8,4.112
LANDIS,18,reserve,2050,382.614,0,382.614,8.8
LANDIS,18,reserve,2075,492.91,0,492.91,11.337
LANDIS,18,reserve,2100,583.234,0,583.234,13.414
LANDIS,18,BAU,2025,178.8,0,178.8,4.112
LANDIS,18,BAU,2050,376.32,2.051,378.371,8.655
LANDIS,18,BAU,2075,476.859,4.28,481.139,10.967
LANDIS,18,BAU,2100,555.361,6.384,561.745,12.773
LANDIS,18,conservation,2025,178.8,0,178.8,4.112
LANDIS,18,conservation,2050,380.084,0.825,380.909,8.742
LANDIS,18,conservation,2075,486.422,1.733,488.155,11.187
LANDIS,18,conservation,2100,571.903,2.603,574.506,13.153
LANDIS,18,intensive,2025,178.8,0,178.8,4.112
LANDIS,18,intensive,2050,367.005,5.079,372.084,8.441
LANDIS,18,intensive,2075,453.66,10.424,464.084,10.434
LANDIS,18,intensive,2100,516.015,15.285,531.301,11.868
LANDIS,26,reserve,2025,512.45,0,512.45,5.739
LANDIS,26,reserve,2050,849.486,0,849.486,9.514
LANDIS,26,reserve,2075,1032.825,0,1032.825,11.567
LANDIS,26,reserve,2100,1160.699,0,1160.699,13
LANDIS,26,BAU,2025,512.45,0,512.45,5.739
LANDIS,26,BAU,2050,673.118,55.827,728.945,7.539
LANDIS,26,BAU,2075,658.624,94.55,753.175,7.376
LANDIS,26,BAU,2100,599.645,117.814,717.459,6.716
LANDIS,26,conservation,2025,512.45,0,512.45,5.739
LANDIS,26,conservation,2050,772.804,24.49,797.294,8.655
LANDIS,26,conservation,2075,858.519,45.029,903.548,9.615
LANDIS,26,conservation,2100,882.145,60.863,943.007,9.88
LANDIS,26,intensive,2025,512.45,0,512.45,5.739
LANDIS,26,intensive,2050,477.306,115.21,592.516,5.346
LANDIS,26,intensive,2075,351.941,163.252,515.193,3.942
LANDIS,26,intensive,2100,254.317,174.185,428.502,2.848
LANDIS,27,reserve,2025,308.78,0,308.78,2.748
LANDIS,27,reserve,2050,583.797,0,583.797,5.196
LANDIS,27,reserve,2075,734.808,0,734.808,6.54
LANDIS,27,reserve,2100,837.874,0,837.874,7.457
LANDIS,27,BAU,2025,308.78,0,308.78,2.748
LANDIS,27,BAU,2050,559.789,7.755,567.544,4.982
LANDIS,27,BAU,2075,676.423,15.376,691.799,6.02
LANDIS,27,BAU,2100,740.04,21.972,762.013,6.586
LANDIS,27,conservation,2025,308.78,0,308.78,2.748
LANDIS,27,conservation,2050,573.926,3.194,577.119,5.108
LANDIS,27,conservation,2075,710.471,6.435,716.906,6.323
LANDIS,27,conservation,2100,796.533,9.353,805.886,7.089
LANDIS,27,intensive,2025,308.78,0,308.78,2.748
LANDIS,27,intensive,2050,524.713,19.008,543.72,4.67
LANDIS,27,intensive,2075,596.024,36.173,632.197,5.305
LANDIS,27,intensive,2100,613.039,49.553,662.592,5.456
LANDIS,39,reserve,2025,250.86,0,250.86,4.917
LANDIS,39,reserve,2050,505.046,0,505.046,9.899
LANDIS,39,reserve,2075,662.647,0,662.647,12.988
LANDIS,39,reserve,2100,783.804,0,783.804,15.363
LANDIS,39,BAU,2025,250.86,0,250.86,4.917
LANDIS,39,BAU,2050,498.105,2.254,500.36,9.763
LANDIS,39,BAU,2075,645.034,4.695,649.729,12.643
LANDIS,39,BAU,2100,753.112,7.037,760.149,14.761
LANDIS,39,conservation,2025,250.86,0,250.86,4.917
LANDIS,39,conservation,2050,502.386,0.864,503.251,9.847
LANDIS,39,conservation,2075,655.865,1.81,657.675,12.855
LANDIS,39,conservation,2100,771.93,2.729,774.659,15.13
LANDIS,39,intensive,2025,250.86,0,250.86,4.917
LANDIS,39,intensive,2050,488.564,5.347,493.911,9.576
LANDIS,39,intensive,2075,621.264,10.998,632.262,12.177
LANDIS,39,intensive,2100,712.446,16.273,728.719,13.964
LANDIS,53,reserve,2025,818.67,0,818.67,8.269
LANDIS,53,reserve,2050,1048.229,0,1048.229,10.587
LANDIS,53,reserve,2075,1226.005,0,1226.005,12.383
LANDIS,53,reserve,2100,1371.329,0,1371.329,13.851
LANDIS,53,BAU,2025,818.67,0,818.67,8.269
LANDIS,53,BAU,2050,1046.685,0.488,1047.173,10.572
LANDIS,53,BAU,2075,1222.58,0.881,1223.461,12.348
LANDIS,53,BAU,2100,1365.757,1.228,1366.985,13.794
LANDIS,53,conservation,2025,818.67,0,818.67,8.269
LANDIS,53,conservation,2050,1047.602,0.198,1047.8,10.581
LANDIS,53,conservation,2075,1224.614,0.358,1224.972,12.369
LANDIS,53,conservation,2100,1369.064,0.499,1369.564,13.828
LANDIS,53,intensive,2025,818.67,0,818.67,8.269
LANDIS,53,intensive,2050,1044.289,1.245,1045.534,10.547
LANDIS,53,intensive,2075,1217.274,2.244,1219.518,12.295
LANDIS,53,intensive,2100,1357.139,3.125,1360.264,13.707
LANDIS,55,reserve,2025,396.22,0,396.22,3.17
LANDIS,55,reserve,2050,828.029,0,828.029,6.624
LANDIS,55,reserve,2075,1063.345,0,1063.345,8.507
LANDIS,55,reserve,2100,1236.595,0,1236.595,9.893
LANDIS,55,BAU,2025,396.22,0,396.22,3.17
LANDIS,55,BAU,2050,564.435,83.833,648.268,4.516
LANDIS,55,BAU,2075,508.681,139.511,648.192,4.07
LANDIS,55,BAU,2100,428.242,166.855,595.097,3.426
LANDIS,55,conservation,2025,396.22,0,396.22,3.17
LANDIS,55,conservation,2050,706.884,39.078,745.962,5.655
LANDIS,55,conservation,2075,778.903,74.058,852.961,6.231
LANDIS,55,conservation,2100,780.714,99.922,880.637,6.246
LANDIS,55,intensive,2025,396.22,0,396.22,3.17
LANDIS,55,intensive,2050,332.237,152.468,484.705,2.658
LANDIS,55,intensive,2075,209.056,200.005,409.061,1.672
LANDIS,55,intensive,2100,145.358,202.321,347.679,1.163
