state,scenario,default_FIADB,calibrated_FIADB,default_TreeMap,calibrated_TreeMap
AL,reserve,854.4,768.0,1172.1,869.2
AL,conservation,700.2,628.7,992.1,723.1
AL,BAU,505.7,453.9,761.4,538.9
AL,intensive,289.9,262.2,496.6,334.0
AR,reserve,885.5,759.0,,
AR,conservation,826.4,706.6,,
AR,BAU,738.5,628.8,,
AR,intensive,587.2,495.8,,
AZ,reserve,285.0,233.3,,
AZ,conservation,285.0,233.3,,
AZ,BAU,285.0,233.3,,
AZ,intensive,285.0,233.3,,
CA,reserve,4345.4,3733.4,3273.8,2383.8
CA,conservation,4344.6,3732.6,3273.1,2383.2
CA,BAU,4343.3,3731.4,3272.0,2382.3
CA,intensive,4340.0,3728.5,3269.4,2380.1
CO,reserve,960.7,594.9,667.3,528.1
CO,conservation,960.7,594.9,667.3,528.1
CO,BAU,960.7,594.9,667.3,528.1
CO,intensive,960.7,594.9,667.3,528.1
CT,reserve,180.4,156.2,277.4,259.2
CT,conservation,180.0,155.8,276.8,258.7
CT,BAU,179.3,155.2,275.9,257.8
CT,intensive,177.8,153.7,273.8,255.8
DE,reserve,19.8,16.0,,
DE,conservation,19.8,16.0,,
DE,BAU,19.8,15.9,,
DE,intensive,19.7,15.9,,
FL,reserve,528.1,369.8,1101.2,676.9
FL,conservation,381.6,250.3,871.0,505.0
FL,BAU,231.2,132.1,617.9,324.4
FL,intensive,121.0,57.2,401.8,184.9
GA,reserve,994.0,834.0,1671.0,1461.6
GA,conservation,528.1,430.2,997.2,846.9
GA,BAU,269.0,213.6,582.1,478.2
GA,intensive,170.6,136.6,383.4,311.7
IA,reserve,179.9,153.8,166.3,123.3
IA,conservation,122.0,102.1,110.4,78.0
IA,BAU,78.2,63.8,68.7,45.5
IA,intensive,45.6,36.6,38.8,24.3
ID,reserve,1014.7,897.9,1251.2,850.6
ID,conservation,1011.3,894.7,1247.3,847.4
ID,BAU,1004.9,888.6,1239.7,841.3
ID,intensive,993.6,877.9,1226.6,830.8
IL,reserve,275.5,243.9,,
IL,conservation,251.8,221.5,,
IL,BAU,220.6,192.2,,
IL,intensive,163.3,138.5,,
IN,reserve,359.3,313.0,492.1,293.9
IN,conservation,353.1,307.4,484.1,288.0
IN,BAU,344.1,299.2,472.4,279.3
IN,intensive,322.6,279.7,444.5,258.8
KS,reserve,90.5,84.7,,
KS,conservation,89.9,84.2,,
KS,BAU,89.0,83.3,,
KS,intensive,87.1,81.4,,
KY,reserve,1111.1,933.8,,
KY,conservation,1012.2,845.9,,
KY,BAU,877.0,726.4,,
