state,scenario,year,lsog_frac
WA,reserve,2025,0.451
WA,reserve,2050,0.682
WA,reserve,2075,0.834
WA,reserve,2100,0.907
WA,BAU,2025,0.451
WA,BAU,2050,0.68
WA,BAU,2075,0.831
WA,BAU,2100,0.902
WA,conservation,2025,0.451
WA,conservation,2050,0.681
WA,conservation,2075,0.832
WA,conservation,2100,0.904
WA,intensive,2025,0.451
WA,intensive,2050,0.679
WA,intensive,2075,0.828
WA,intensive,2100,0.897
MN,reserve,2025,0.046
MN,reserve,2050,0.211
MN,reserve,2075,0.44
MN,reserve,2100,0.56
MN,BAU,2025,0.046
MN,BAU,2050,0.201
MN,BAU,2075,0.405
MN,BAU,2100,0.487
MN,conservation,2025,0.046
MN,conservation,2050,0.205
MN,conservation,2075,0.418
MN,conservation,2100,0.515
MN,intensive,2025,0.046
MN,intensive,2050,0.191
MN,intensive,2075,0.373
MN,intensive,2100,0.426
IN,reserve,2025,0.247
IN,reserve,2050,0.861
IN,reserve,2075,0.899
IN,reserve,2100,0.898
IN,BAU,2025,0.247
IN,BAU,2050,0.843
IN,BAU,2075,0.852
IN,BAU,2100,0.823
IN,conservation,2025,0.247
IN,conservation,2050,0.85
IN,conservation,2075,0.87
IN,conservation,2100,0.852
IN,intensive,2025,0.247
IN,intensive,2050,0.825
IN,intensive,2075,0.808
IN,intensive,2100,0.754
OH,reserve,2025,0.219
OH,reserve,2050,0.929
OH,reserve,2075,0.968
OH,reserve,2100,0.974
OH,BAU,2025,0.219
OH,BAU,2050,0.914
OH,BAU,2075,0.928
OH,BAU,2100,0.911
OH,conservation,2025,0.219
OH,conservation,2050,0.92
OH,conservation,2075,0.944
OH,conservation,2100,0.935
OH,intensive,2025,0.219
OH,intensive,2050,0.899
OH,intensive,2075,0.891
OH,intensive,2100,0.851
