model,dist_mode,state,scenario,total_2100_TgC,forest_2100_TgC,hwp_2100_TgC,npv_0.03,npv_0.05
FVS_cal,nodisturb,TX,intensive,858.3,833.7,24.5,52,33
FVS_cal,disturbed,TX,intensive,846.2,821.9,24.3,52,32
FVS_def,nodisturb,TX,intensive,831.8,806.6,25.1,54,33
FVS_def,disturbed,TX,intensive,819.4,794.5,24.9,54,33
YieldCurve,nodisturb,TX,intensive,775.4,750,25.3,56,35
YieldCurve,disturbed,TX,intensive,762.8,737.7,25.1,55,35
CBM,nodisturb,TX,reserve,1028.9,1028.9,0,0,0
CBM,disturbed,TX,reserve,1015.1,1015.1,0,0,0
CEM,nodisturb,TX,reserve,339.1,339.1,0,0,0
CEM,disturbed,TX,reserve,333,333,0,0,0
FVS_cal,nodisturb,TX,reserve,945,945,0,0,0
FVS_cal,disturbed,TX,reserve,932.3,932.3,0,0,0
FVS_def,nodisturb,TX,reserve,921.2,921.2,0,0,0
FVS_def,disturbed,TX,reserve,908.2,908.2,0,0,0
YieldCurve,nodisturb,TX,reserve,866.9,866.9,0,0,0
YieldCurve,disturbed,TX,reserve,853.6,853.6,0,0,0
CBM,nodisturb,UT,BAU,231.4,231.4,0,0,0
CBM,disturbed,UT,BAU,226,225.9,0,0,0
CEM,nodisturb,UT,BAU,92.7,92.6,0,0,0
CEM,disturbed,UT,BAU,89.8,89.8,0,0,0
FVS_cal,nodisturb,UT,BAU,337.3,337.3,0,0,0
FVS_cal,disturbed,UT,BAU,330.7,330.6,0,0,0
FVS_def,nodisturb,UT,BAU,436.9,436.8,0,0,0
FVS_def,disturbed,UT,BAU,428.9,428.8,0,0,0
YieldCurve,nodisturb,UT,BAU,167.1,167.1,0,0,0
YieldCurve,disturbed,UT,BAU,162.8,162.8,0,0,0
CBM,nodisturb,UT,conservation,231.5,231.5,0,0,0
CBM,disturbed,UT,conservation,226,226,0,0,0
CEM,nodisturb,UT,conservation,92.7,92.7,0,0,0
CEM,disturbed,UT,conservation,89.8,89.8,0,0,0
FVS_cal,nodisturb,UT,conservation,337.4,337.4,0,0,0
FVS_cal,disturbed,UT,conservation,330.7,330.7,0,0,0
FVS_def,nodisturb,UT,conservation,436.9,436.9,0,0,0
FVS_def,disturbed,UT,conservation,428.9,428.9,0,0,0
YieldCurve,nodisturb,UT,conservation,167.2,167.2,0,0,0
YieldCurve,disturbed,UT,conservation,162.8,162.8,0,0,0
CBM,nodisturb,UT,intensive,231.3,231.2,0.1,0,0
CBM,disturbed,UT,intensive,225.9,225.8,0.1,0,0
CEM,nodisturb,UT,intensive,92.6,92.6,0,0,0
CEM,disturbed,UT,intensive,89.7,89.7,0,0,0
FVS_cal,nodisturb,UT,intensive,337.2,337.1,0.1,0,0
FVS_cal,disturbed,UT,intensive,330.5,330.5,0.1,0,0
FVS_def,nodisturb,UT,intensive,436.7,436.6,0.1,0,0
FVS_def,disturbed,UT,intensive,428.7,428.6,0.1,0,0
YieldCurve,nodisturb,UT,intensive,167,167,0,0,0
YieldCurve,disturbed,UT,intensive,162.7,162.7,0,0,0
CBM,nodisturb,UT,reserve,231.5,231.5,0,0,0
CBM,disturbed,UT,reserve,226,226,0,0,0
CEM,nodisturb,UT,reserve,92.7,92.7,0,0,0
CEM,disturbed,UT,reserve,89.8,89.8,0,0,0
FVS_cal,nodisturb,UT,reserve,337.4,337.4,0,0,0
FVS_cal,disturbed,UT,reserve,330.7,330.7,0,0,0
FVS_def,nodisturb,UT,reserve,437,437,0,0,0
FVS_def,disturbed,UT,reserve,429,429,0,0,0
YieldCurve,nodisturb,UT,reserve,167.2,167.2,0,0,0
YieldCurve,disturbed,UT,reserve,162.9,162.9,0,0,0
CBM,nodisturb,VA,BAU,846.8,837.7,9,74,47
CBM,disturbed,VA,BAU,831.6,822.7,8.9,73,46
FVS_cal,nodisturb,VA,BAU,721.1,712.6,8.5,72,46
FVS_cal,disturbed,VA,BAU,706.7,698.3,8.4,72,46
FVS_def,nodisturb,VA,BAU,824.3,814.9,9.4,77,49
FVS_def,disturbed,VA,BAU,808.5,799.2,9.3,77,48
YieldCurve,nodisturb,VA,BAU,746.7,737.9,8.8,75,48
YieldCurve,disturbed,VA,BAU,731.7,723.1,8.7,74,47
CBM,nodisturb,VA,conservation,866.8,863.4,3.4,28,18
CBM,disturbed,VA,conservation,851.5,848.1,3.4,28,17
FVS_cal,nodisturb,VA,conservation,740.4,737.1,3.2,27,17
FVS_cal,disturbed,VA,conservation,725.8,722.6,3.2,27,17
FVS_def,nodisturb,VA,conservation,845.3,841.8,3.6,29,18
FVS_def,disturbed,VA,conservation,829.3,825.8,3.5,29,18
YieldCurve,nodisturb,VA,conservation,766.7,763.3,3.3,28,18
YieldCurve,disturbed,VA,conservation,751.5,748.2,3.3,28,18
CBM,nodisturb,VA,intensive,805.6,785.2,20.4,169,107
CBM,disturbed,VA,intensive,790.9,770.7,20.1,168,107
FVS_cal,nodisturb,VA,intensive,681.6,662.5,19.1,166,106
FVS_cal,disturbed,VA,intensive,667.5,648.7,18.8,165,106
FVS_def,nodisturb,VA,intensive,781.1,760,21.2,177,112
FVS_def,disturbed,VA,intensive,765.7,744.8,20.9,176,111
YieldCurve,nodisturb,VA,intensive,705.7,686,19.7,172,110
YieldCurve,disturbed,VA,intensive,691.2,671.7,19.5,171,109
CBM,nodisturb,VA,reserve,879.1,879.1,0,0,0
CBM,disturbed,VA,reserve,863.7,863.7,0,0,0
FVS_cal,nodisturb,VA,reserve,752.1,752.1,0,0,0
FVS_cal,disturbed,VA,reserve,737.4,737.4,0,0,0
FVS_def,nodisturb,VA,reserve,858.2,858.2,0,0,0
FVS_def,disturbed,VA,reserve,842.1,842.1,0,0,0
YieldCurve,nodisturb,VA,reserve,778.9,778.9,0,0,0
YieldCurve,disturbed,VA,reserve,763.6,763.6,0,0,0
CBM,nodisturb,VT,BAU,193.3,192.2,1.1,34,21
CBM,disturbed,VT,BAU,191.1,190,1.1,33,21
FVS_cal,nodisturb,VT,BAU,289,287.5,1.5,42,26
FVS_cal,disturbed,VT,BAU,286,284.5,1.5,42,26
FVS_def,nodisturb,VT,BAU,385.8,383.9,1.9,47,28
FVS_def,disturbed,VT,BAU,382.3,380.4,1.9,47,28
LANDIS,nodisturb,VT,BAU,272.2,270.8,1.4,38,23
LANDIS,disturbed,VT,BAU,269.5,268.1,1.4,38,23
YieldCurve,nodisturb,VT,BAU,176.8,175.7,1.1,34,22
YieldCurve,disturbed,VT,BAU,174.6,173.5,1.1,34,22
CBM,nodisturb,VT,conservation,195.7,195.2,0.5,14,9
CBM,disturbed,VT,conservation,193.5,193,0.5,14,9
FVS_cal,nodisturb,VT,conservation,292.2,291.6,0.6,17,10
FVS_cal,disturbed,VT,conservation,289.2,288.6,0.6,17,10
FVS_def,nodisturb,VT,conservation,389.5,388.8,0.8,19,12
FVS_def,disturbed,VT,conservation,386,385.2,0.8,19,11
LANDIS,nodisturb,VT,conservation,275.1,274.5,0.6,16,10
LANDIS,disturbed,VT,conservation,272.4,271.8,0.6,15,10
YieldCurve,nodisturb,VT,conservation,179.2,178.8,0.4,14,9
YieldCurve,disturbed,VT,conservation,177,176.6,0.4,14,9
CBM,nodisturb,VT,intensive,187.2,184.4,2.8,85,54
CBM,disturbed,VT,intensive,185,182.2,2.8,84,54
FVS_cal,nodisturb,VT,intensive,280.9,277.1,3.8,106,65
FVS_cal,disturbed,VT,intensive,278,274.1,3.8,106,65
FVS_def,nodisturb,VT,intensive,376.2,371.5,4.7,120,72
FVS_def,disturbed,VT,intensive,372.7,368.1,4.7,119,71
LANDIS,nodisturb,VT,intensive,264.9,261.4,3.5,96,59
LANDIS,disturbed,VT,intensive,262.2,258.8,3.5,96,59
YieldCurve,nodisturb,VT,intensive,170.7,168,2.7,85,55
YieldCurve,disturbed,VT,intensive,168.6,165.9,2.7,85,54
CBM,nodisturb,VT,reserve,197.4,197.4,0,0,0
CBM,disturbed,VT,reserve,195.1,195.1,0,0,0
FVS_cal,nodisturb,VT,reserve,294.4,294.4,0,0,0
FVS_cal,disturbed,VT,reserve,291.4,291.4,0,0,0
FVS_def,nodisturb,VT,reserve,392.1,392.1,0,0,0
FVS_def,disturbed,VT,reserve,388.6,388.6,0,0,0
LANDIS,nodisturb,VT,reserve,277,277,0,0,0
LANDIS,disturbed,VT,reserve,274.3,274.3,0,0,0
YieldCurve,nodisturb,VT,reserve,180.9,180.9,0,0,0
YieldCurve,disturbed,VT,reserve,178.6,178.6,0,0,0
CBM,nodisturb,WA,BAU,1019.1,1018.1,1,6,4
CBM,disturbed,WA,BAU,776.2,775.4,0.9,6,4
FVS_cal,nodisturb,WA,BAU,2265.2,2263.2,1.9,10,6
FVS_cal,disturbed,WA,BAU,1795.5,1793.9,1.7,9,6
FVS_def,nodisturb,WA,BAU,3018.9,3016.5,2.4,12,7
FVS_def,disturbed,WA,BAU,2443.7,2441.6,2.1,11,6
LANDIS,nodisturb,WA,BAU,1367,1365.8,1.2,7,5
LANDIS,disturbed,WA,BAU,1068.6,1067.5,1.1,7,4
YieldCurve,nodisturb,WA,BAU,1174.1,1172.9,1.1,7,4
YieldCurve,disturbed,WA,BAU,900.5,899.6,1,6,4
CBM,nodisturb,WA,conservation,1021.3,1020.9,0.4,3,2
CBM,disturbed,WA,conservation,778.2,777.8,0.4,2,2
FVS_cal,nodisturb,WA,conservation,2269,2268.3,0.8,4,2
FVS_cal,disturbed,WA,conservation,1799,1798.3,0.7,4,2
FVS_def,nodisturb,WA,conservation,3023.5,3022.5,1,5,3
FVS_def,disturbed,WA,conservation,2447.9,2447,0.8,4,3
LANDIS,nodisturb,WA,conservation,1369.6,1369.1,0.5,3,2
LANDIS,disturbed,WA,conservation,1070.9,1070.5,0.4,3,2
YieldCurve,nodisturb,WA,conservation,1176.5,1176,0.5,3,2
YieldCurve,disturbed,WA,conservation,902.7,902.3,0.4,3,2
CBM,nodisturb,WA,intensive,1013.4,1010.9,2.5,16,10
CBM,disturbed,WA,intensive,771.1,768.9,2.2,15,10
FVS_cal,nodisturb,WA,intensive,2255,2250.1,4.9,26,15
FVS_cal,disturbed,WA,intensive,1786.4,1782.1,4.3,24,15
FVS_def,nodisturb,WA,intensive,3006.9,3000.8,6,30,17
FVS_def,disturbed,WA,intensive,2432.9,2427.6,5.3,28,16
LANDIS,nodisturb,WA,intensive,1360.3,1357.1,3.1,18,12
LANDIS,disturbed,WA,intensive,1062.6,1059.9,2.7,17,11
YieldCurve,nodisturb,WA,intensive,1167.8,1164.9,2.9,18,11
YieldCurve,disturbed,WA,intensive,894.9,892.4,2.5,16,11
CBM,nodisturb,WA,reserve,1022.8,1022.8,0,0,0
CBM,disturbed,WA,reserve,779.5,779.5,0,0,0
FVS_cal,nodisturb,WA,reserve,2271.7,2271.7,0,0,0
FVS_cal,disturbed,WA,reserve,1801.4,1801.4,0,0,0
FVS_def,nodisturb,WA,reserve,3026.7,3026.7,0,0,0
FVS_def,disturbed,WA,reserve,2450.7,2450.7,0,0,0
LANDIS,nodisturb,WA,reserve,1371.3,1371.3,0,0,0
LANDIS,disturbed,WA,reserve,1072.5,1072.5,0,0,0
YieldCurve,nodisturb,WA,reserve,1178.1,1178.1,0,0,0
YieldCurve,disturbed,WA,reserve,904.2,904.2,0,0,0
CBM,nodisturb,WI,BAU,270.4,183.4,87,969,673
CBM,disturbed,WI,BAU,261.4,176,85.4,961,669
FVS_cal,nodisturb,WI,BAU,256.1,169.9,86.3,984,685
FVS_cal,disturbed,WI,BAU,247.1,162.5,84.6,976,681
FVS_def,nodisturb,WI,BAU,404.6,284.8,119.8,1183,790
FVS_def,disturbed,WI,BAU,392.9,275.1,117.8,1173,785
LANDIS,nodisturb,WI,BAU,595.1,428.2,166.9,1514,977
LANDIS,disturbed,WI,BAU,579.2,415,164.2,1502,971
YieldCurve,nodisturb,WI,BAU,206.1,120.7,85.4,1008,702
YieldCurve,disturbed,WI,BAU,196.9,113.2,83.7,1000,698
CBM,nodisturb,WI,conservation,427.8,373.3,54.5,500,329
CBM,disturbed,WI,conservation,416.5,362.8,53.6,496,327
FVS_cal,nodisturb,WI,conservation,414,359.5,54.5,508,334
FVS_cal,disturbed,WI,conservation,402.6,349,53.6,504,332
FVS_def,nodisturb,WI,conservation,614.2,541.2,73,608,385
FVS_def,disturbed,WI,conservation,599.5,527.6,71.9,603,383
LANDIS,nodisturb,WI,conservation,880.6,780.7,99.9,775,475
LANDIS,disturbed,WI,conservation,860.9,762.4,98.5,769,473
YieldCurve,nodisturb,WI,conservation,366.1,311.3,54.8,521,343
YieldCurve,disturbed,WI,conservation,354.4,300.6,53.9,517,341
CBM,nodisturb,WI,intensive,149.2,51.1,98,1539,1175
CBM,disturbed,WI,intensive,142.9,47.3,95.6,1525,1168
FVS_cal,nodisturb,WI,intensive,137.5,42.3,95.3,1561,1196
FVS_cal,disturbed,WI,intensive,131.3,38.5,92.8,1547,1188
FVS_def,nodisturb,WI,intensive,230.8,89.4,141.4,1890,1381
FVS_def,disturbed,WI,intensive,222.6,84.2,138.3,1873,1372
LANDIS,nodisturb,WI,intensive,347.7,145.4,202.3,2432,1711
LANDIS,disturbed,WI,intensive,336.5,138.3,198.2,2410,1700
YieldCurve,nodisturb,WI,intensive,91.1,1.2,89.9,1596,1225
YieldCurve,disturbed,WI,intensive,87.4,0,87.4,1582,1217
CBM,nodisturb,WI,reserve,636.1,636.1,0,0,0
CBM,disturbed,WI,reserve,622.3,622.3,0,0,0
FVS_cal,nodisturb,WI,reserve,624.5,624.5,0,0,0
FVS_cal,disturbed,WI,reserve,610.6,610.6,0,0,0
FVS_def,nodisturb,WI,reserve,881.7,881.7,0,0,0
FVS_def,disturbed,WI,reserve,863.9,863.9,0,0,0
LANDIS,nodisturb,WI,reserve,1236.6,1236.6,0,0,0
LANDIS,disturbed,WI,reserve,1213,1213,0,0,0
YieldCurve,nodisturb,WI,reserve,581.3,581.3,0,0,0
YieldCurve,disturbed,WI,reserve,567.1,567.1,0,0,0
CBM,nodisturb,WV,BAU,658.5,650.3,8.2,90,57
CBM,disturbed,WV,BAU,643.1,635.1,8,89,57
CEM,nodisturb,WV,BAU,236,231.6,4.4,65,45
CEM,disturbed,WV,BAU,226.9,222.6,4.3,64,44
FVS_cal,nodisturb,WV,BAU,917.8,906.8,10.9,112,68
FVS_cal,disturbed,WV,BAU,897.6,886.8,10.8,111,68
FVS_def,nodisturb,WV,BAU,1087.9,1075.5,12.4,121,73
FVS_def,disturbed,WV,BAU,1065.4,1053.1,12.2,120,72
YieldCurve,nodisturb,WV,BAU,461.6,454.8,6.8,83,54
YieldCurve,disturbed,WV,BAU,448.4,441.7,6.7,83,54
CBM,nodisturb,WV,conservation,676.1,672.9,3.3,36,22
CBM,disturbed,WV,conservation,660.6,657.4,3.2,35,22
CEM,nodisturb,WV,conservation,246.9,245.1,1.8,26,18
CEM,disturbed,WV,conservation,237.7,236,1.7,25,17
FVS_cal,nodisturb,WV,conservation,940.8,936.4,4.4,44,27
FVS_cal,disturbed,WV,conservation,920.4,916.1,4.3,44,27
FVS_def,nodisturb,WV,conservation,1113.4,1108.5,4.9,48,29
FVS_def,disturbed,WV,conservation,1090.6,1085.7,4.9,47,28
YieldCurve,nodisturb,WV,conservation,477.2,474.4,2.7,33,21
YieldCurve,disturbed,WV,conservation,463.7,461,2.7,33,21
CBM,nodisturb,WV,intensive,618.8,599.8,19,215,137
CBM,disturbed,WV,intensive,604,585.2,18.7,213,136
CEM,nodisturb,WV,intensive,211.7,201.7,10,154,107
CEM,disturbed,WV,intensive,203,193.2,9.8,153,106
FVS_cal,nodisturb,WV,intensive,866.1,840.5,25.6,267,164
FVS_cal,disturbed,WV,intensive,846.5,821.3,25.2,264,163
FVS_def,nodisturb,WV,intensive,1030.4,1001.4,29,289,175
FVS_def,disturbed,WV,intensive,1008.5,979.9,28.6,286,174
YieldCurve,nodisturb,WV,intensive,426.9,411.2,15.7,198,130
YieldCurve,disturbed,WV,intensive,414.1,398.6,15.5,197,129
CBM,nodisturb,WV,reserve,687.8,687.8,0,0,0
CBM,disturbed,WV,reserve,672.1,672.1,0,0,0
CEM,nodisturb,WV,reserve,254.1,254.1,0,0,0
CEM,disturbed,WV,reserve,244.8,244.8,0,0,0
FVS_cal,nodisturb,WV,reserve,955.9,955.9,0,0,0
FVS_cal,disturbed,WV,reserve,935.3,935.3,0,0,0
FVS_def,nodisturb,WV,reserve,1130.2,1130.2,0,0,0
FVS_def,disturbed,WV,reserve,1107.2,1107.2,0,0,0
YieldCurve,nodisturb,WV,reserve,487.4,487.4,0,0,0
YieldCurve,disturbed,WV,reserve,473.8,473.8,0,0,0
CBM,nodisturb,WY,BAU,231.8,231.8,0.1,1,0
CBM,disturbed,WY,BAU,218,217.9,0.1,1,0
CEM,nodisturb,WY,BAU,85.5,85.5,0,0,0
CEM,disturbed,WY,BAU,79,79,0,0,0
FVS_cal,nodisturb,WY,BAU,243.5,243.4,0.1,1,0
FVS_cal,disturbed,WY,BAU,228.9,228.8,0.1,1,0
FVS_def,nodisturb,WY,BAU,361.2,361.1,0.1,1,1
FVS_def,disturbed,WY,BAU,342.1,342,0.1,1,1
YieldCurve,nodisturb,WY,BAU,174.8,174.8,0.1,1,0
YieldCurve,disturbed,WY,BAU,163.6,163.5,0.1,1,0
CBM,nodisturb,WY,conservation,232,231.9,0,0,0
CBM,disturbed,WY,conservation,218.1,218.1,0,0,0
CEM,nodisturb,WY,conservation,85.6,85.6,0,0,0
CEM,disturbed,WY,conservation,79.1,79,0,0,0
FVS_cal,nodisturb,WY,conservation,243.7,243.6,0,0,0
FVS_cal,disturbed,WY,conservation,229,229,0,0,0
FVS_def,nodisturb,WY,conservation,361.4,361.4,0,0,0
FVS_def,disturbed,WY,conservation,342.3,342.2,0,0,0
YieldCurve,nodisturb,WY,conservation,174.9,174.9,0,0,0
YieldCurve,disturbed,WY,conservation,163.7,163.7,0,0,0
CBM,nodisturb,WY,intensive,231.5,231.3,0.2,2,1
CBM,disturbed,WY,intensive,217.6,217.5,0.2,2,1
CEM,nodisturb,WY,intensive,85.3,85.3,0.1,1,1
CEM,disturbed,WY,intensive,78.8,78.7,0.1,1,1
FVS_cal,nodisturb,WY,intensive,243.2,243,0.2,2,1
FVS_cal,disturbed,WY,intensive,228.6,228.4,0.2,2,1
FVS_def,nodisturb,WY,intensive,360.8,360.6,0.2,2,1
FVS_def,disturbed,WY,intensive,341.6,341.4,0.2,2,1
YieldCurve,nodisturb,WY,intensive,174.5,174.4,0.1,2,1
YieldCurve,disturbed,WY,intensive,163.3,163.2,0.1,2,1
CBM,nodisturb,WY,reserve,232.1,232.1,0,0,0
CBM,disturbed,WY,reserve,218.2,218.2,0,0,0
CEM,nodisturb,WY,reserve,85.6,85.6,0,0,0
CEM,disturbed,WY,reserve,79.1,79.1,0,0,0
FVS_cal,nodisturb,WY,reserve,243.8,243.8,0,0,0
FVS_cal,disturbed,WY,reserve,229.1,229.1,0,0,0
FVS_def,nodisturb,WY,reserve,361.5,361.5,0,0,0
FVS_def,disturbed,WY,reserve,342.4,342.4,0,0,0
YieldCurve,nodisturb,WY,reserve,175,175,0,0,0
YieldCurve,disturbed,WY,reserve,163.7,163.7,0,0,0
