state,scenario,FVS_default_TgC,FVS_calibrated_TgC,calib_over_default
AL,reserve,854.4,768.0,0.899
AL,conservation,700.2,628.7,0.898
AL,BAU,505.7,453.9,0.898
AL,intensive,289.9,262.2,0.904
AR,reserve,885.5,759.0,0.857
AR,conservation,826.4,706.6,0.855
AR,BAU,738.5,628.8,0.851
AR,intensive,587.2,495.8,0.844
AZ,reserve,285.0,233.3,0.819
AZ,conservation,285.0,233.3,0.819
AZ,BAU,285.0,233.3,0.819
AZ,intensive,285.0,233.3,0.819
CA,reserve,4345.4,3733.4,0.859
CA,conservation,4344.6,3732.6,0.859
CA,BAU,4343.3,3731.4,0.859
CA,intensive,4340.0,3728.5,0.859
CO,reserve,960.7,594.9,0.619
CO,conservation,960.7,594.9,0.619
CO,BAU,960.7,594.9,0.619
CO,intensive,960.7,594.9,0.619
CT,reserve,180.4,156.2,0.866
CT,conservation,180.0,155.8,0.866
CT,BAU,179.3,155.2,0.866
CT,intensive,177.8,153.7,0.864
DE,reserve,19.8,16.0,0.808
DE,conservation,19.8,16.0,0.808
DE,BAU,19.8,15.9,0.803
DE,intensive,19.7,15.9,0.807
FL,reserve,528.1,369.8,0.7
FL,conservation,381.6,250.3,0.656
FL,BAU,231.2,132.1,0.571
FL,intensive,121.0,57.2,0.473
GA,reserve,994.0,834.0,0.839
GA,conservation,528.1,430.2,0.815
GA,BAU,269.0,213.6,0.794
GA,intensive,170.6,136.6,0.801
IA,reserve,179.9,153.8,0.855
IA,conservation,122.0,102.1,0.837
IA,BAU,78.2,63.8,0.816
IA,intensive,45.6,36.6,0.803
ID,reserve,1014.7,897.9,0.885
ID,conservation,1011.3,894.7,0.885
ID,BAU,1004.9,888.6,0.884
ID,intensive,993.6,877.9,0.884
IL,reserve,275.5,243.9,0.885
IL,conservation,251.8,221.5,0.88
IL,BAU,220.6,192.2,0.871
IL,intensive,163.3,138.5,0.848
IN,reserve,359.3,313.0,0.871
IN,conservation,353.1,307.4,0.871
IN,BAU,344.1,299.2,0.87
IN,intensive,322.6,279.7,0.867
KS,reserve,90.5,84.7,0.936
KS,conservation,89.9,84.2,0.937
KS,BAU,89.0,83.3,0.936
KS,intensive,87.1,81.4,0.935
KY,reserve,1111.1,933.8,0.84
KY,conservation,1012.2,845.9,0.836
KY,BAU,877.0,726.4,0.828
KY,intensive,659.2,535.9,0.813
LA,reserve,743.8,569.3,0.765
LA,conservation,694.4,527.5,0.76
LA,BAU,620.0,464.9,0.75
LA,intensive,495.9,361.8,0.73
MA,reserve,323.0,279.4,0.865
MA,conservation,321.0,277.6,0.865
MA,BAU,318.1,274.9,0.864
MA,intensive,310.7,268.2,0.863
MD,reserve,150.8,120.5,0.799
MD,conservation,149.2,119.1,0.798
MD,BAU,146.8,117.0,0.797
MD,intensive,141.0,111.9,0.794
ME,reserve,819.5,547.2,0.668
ME,conservation,814.2,542.9,0.667
ME,BAU,806.5,536.8,0.666
ME,intensive,786.8,521.0,0.662
MI,reserve,911.8,716.6,0.786
MI,conservation,726.7,562.0,0.773
MI,BAU,537.0,406.1,0.756
MI,intensive,300.1,218.6,0.728
MN,reserve,599.1,387.2,0.646
MN,conservation,574.5,368.4,0.641
MN,BAU,540.8,342.9,0.634
MN,intensive,465.0,286.1,0.615
MO,reserve,1045.6,891.5,0.853
MO,conservation,1038.6,885.3,0.852
MO,BAU,1027.7,875.5,0.852
MO,intensive,1002.8,853.2,0.851
MS,reserve,1642.0,1143.9,0.697
MS,conservation,1521.2,1049.9,0.69
MS,BAU,1340.1,910.3,0.679
MS,intensive,1059.2,697.3,0.658
MT,reserve,1201.3,915.6,0.762
MT,conservation,1200.5,915.0,0.762
MT,BAU,1199.4,914.0,0.762
MT,intensive,1196.5,911.5,0.762
NC,reserve,1057.6,785.3,0.743
NC,conservation,896.5,646.6,0.721
NC,BAU,689.1,470.5,0.683
NC,intensive,440.8,266.4,0.604
ND,reserve,41.0,38.2,0.932
ND,conservation,40.7,38.0,0.934
ND,BAU,40.4,37.7,0.933
ND,intensive,39.6,36.9,0.932
NE,reserve,87.6,77.7,0.887
NE,conservation,86.5,76.8,0.888
NE,BAU,84.9,75.2,0.886
NE,intensive,81.4,72.0,0.885
NH,reserve,407.8,290.7,0.713
NH,conservation,403.6,287.2,0.712
NH,BAU,397.7,282.3,0.71
NH,intensive,382.7,269.9,0.705
NJ,reserve,176.6,148.6,0.841
NJ,conservation,175.5,147.6,0.841
NJ,BAU,173.8,146.1,0.841
NJ,intensive,169.9,142.6,0.839
NM,reserve,768.8,689.7,0.897
NM,conservation,768.8,689.7,0.897
NM,BAU,768.8,689.7,0.897
NM,intensive,768.8,689.7,0.897
NV,reserve,383.4,277.7,0.724
NV,conservation,383.3,277.6,0.724
NV,BAU,383.1,277.4,0.724
NV,intensive,382.5,277.0,0.724
NY,reserve,1628.6,1244.6,0.764
NY,conservation,1553.1,1180.1,0.76
NY,BAU,1449.2,1091.8,0.753
NY,intensive,1227.8,905.2,0.737
OH,reserve,605.5,510.6,0.843
OH,conservation,597.8,503.7,0.843
OH,BAU,585.6,492.7,0.841
OH,intensive,559.2,468.8,0.838
OK,reserve,596.6,487.9,0.818
OK,conservation,588.4,480.7,0.817
OK,BAU,575.4,469.2,0.815
OK,intensive,547.6,444.7,0.812
OR,reserve,4128.4,3300.9,0.8
OR,conservation,4127.1,3299.8,0.8
OR,BAU,4125.2,3298.1,0.8
OR,intensive,4120.4,3293.9,0.799
PA,reserve,1169.3,968.1,0.828
PA,conservation,1148.8,949.6,0.827
PA,BAU,1118.3,922.1,0.825
PA,intensive,1047.9,858.8,0.82
RI,reserve,32.3,28.8,0.892
RI,conservation,32.3,28.7,0.889
RI,BAU,32.2,28.6,0.888
RI,intensive,31.9,28.4,0.89
SC,reserve,660.8,479.9,0.726
SC,conservation,533.7,374.6,0.702
SC,BAU,385.9,254.6,0.66
SC,intensive,233.4,136.7,0.586
SD,reserve,38.2,28.0,0.733
SD,conservation,37.6,27.4,0.729
SD,BAU,36.7,26.6,0.725
SD,intensive,34.5,24.6,0.713
TN,reserve,825.0,762.5,0.924
TN,conservation,573.2,525.6,0.917
TN,BAU,344.3,312.3,0.907
TN,intensive,175.5,158.0,0.9
TX,reserve,921.2,945.0,1.026
TX,conservation,906.1,930.4,1.027
TX,BAU,881.1,906.1,1.028
TX,intensive,831.8,858.3,1.032
UT,reserve,437.0,337.4,0.772
UT,conservation,436.9,337.4,0.772
UT,BAU,436.9,337.3,0.772
UT,intensive,436.7,337.2,0.772
VA,reserve,858.2,752.1,0.876
VA,conservation,845.3,740.4,0.876
VA,BAU,824.3,721.1,0.875
VA,intensive,781.1,681.6,0.873
VT,reserve,392.1,294.4,0.751
VT,conservation,389.5,292.2,0.75
VT,BAU,385.8,289.0,0.749
VT,intensive,376.2,280.9,0.747
WA,reserve,3026.7,2271.7,0.751
WA,conservation,3023.5,2269.0,0.75
WA,BAU,3018.9,2265.2,0.75
WA,intensive,3006.9,2255.0,0.75
WI,reserve,881.7,624.5,0.708
WI,conservation,614.2,414.0,0.674
WI,BAU,404.6,256.1,0.633
WI,intensive,230.8,137.5,0.596
WV,reserve,1130.2,955.9,0.846
WV,conservation,1113.4,940.8,0.845
WV,BAU,1087.9,917.8,0.844
WV,intensive,1030.4,866.1,0.841
WY,reserve,361.5,243.8,0.674
WY,conservation,361.4,243.7,0.674
WY,BAU,361.2,243.5,0.674
WY,intensive,360.8,243.2,0.674
