state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
RI,intensive,21.9,0.1,22,34,21
SC,reserve,1393.1,0,1393.1,0,0
SC,conservation,1134.2,60.7,1194.9,505,295
SC,BAU,823.7,129.7,953.5,1173,706
SC,intensive,479.1,198.3,677.4,2066,1313
SD,reserve,51.4,0,51.4,0,0
SD,conservation,50.5,0.2,50.7,11,7
SD,BAU,49.2,0.5,49.7,28,17
SD,intensive,46.2,1.2,47.3,69,42
TN,reserve,1617.6,0,1617.6,0,0
TN,conservation,1082.3,118.2,1200.5,1054,636
TN,BAU,589.1,213.9,803,2228,1413
TN,intensive,213.5,264.5,478,3548,2429
TX,reserve,1586.3,0,1586.3,0,0
TX,conservation,1557.6,6.6,1564.3,12,7
TX,BAU,1509.9,17.6,1527.5,33,19
TX,intensive,1415.8,39.1,1454.9,74,43
UT,reserve,280.5,0,280.5,0,0
UT,BAU,280.3,0,280.4,0,0
UT,conservation,280.4,0,280.4,0,0
UT,intensive,280.2,0.1,280.2,0,0
VA,reserve,1595,0,1595,0,0
VA,conservation,1570.4,5.7,1576.1,40,24
VA,BAU,1530.1,14.9,1545,105,62
VA,intensive,1447.3,33.7,1480.9,242,144
WA,reserve,1353.1,0,1353.1,0,0
WA,conservation,1350.8,0.5,1351.3,3,2
WA,BAU,1347.3,1.3,1348.6,8,5
WA,intensive,1338.4,3.2,1341.6,19,12
WI,reserve,796,0,796,0,0
WI,conservation,477.7,67.3,545,581,372
WI,BAU,242,109.2,351.1,1128,763
WI,intensive,69.6,125.9,195.5,1799,1334
WV,reserve,1061.7,0,1061.7,0,0
WV,conservation,1040,4.9,1044.9,49,29
WV,BAU,1006.9,12.3,1019.2,123,74
WV,intensive,932.8,28.7,961.5,293,178
WY,reserve,301.7,0,301.7,0,0
WY,conservation,301.6,0,301.6,0,0
WY,BAU,301.4,0.1,301.5,1,1
WY,intensive,300.8,0.2,301,2,1
