model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CBM_dist,01,reserve,2025,558.05,5.692
CBM_dist,01,reserve,2026,564.902,5.763
CBM_dist,01,reserve,2027,571.673,5.833
CBM_dist,01,reserve,2028,578.365,5.903
CBM_dist,01,reserve,2029,584.976,5.971
CBM_dist,01,reserve,2030,591.509,6.039
CBM_dist,01,reserve,2031,597.964,6.106
CBM_dist,01,reserve,2032,604.343,6.172
CBM_dist,01,reserve,2033,610.646,6.238
CBM_dist,01,reserve,2034,616.874,6.302
CBM_dist,01,reserve,2035,623.028,6.366
CBM_dist,01,reserve,2036,629.108,6.43
CBM_dist,01,reserve,2037,635.117,6.492
CBM_dist,01,reserve,2038,641.053,6.554
CBM_dist,01,reserve,2039,646.919,6.615
CBM_dist,01,reserve,2040,652.714,6.676
CBM_dist,01,reserve,2041,658.44,6.735
CBM_dist,01,reserve,2042,664.098,6.794
CBM_dist,01,reserve,2043,669.689,6.853
CBM_dist,01,reserve,2044,675.211,6.91
CBM_dist,01,reserve,2045,680.669,6.967
CBM_dist,01,reserve,2046,686.06,7.024
CBM_dist,01,reserve,2047,691.386,7.08
CBM_dist,01,reserve,2048,696.649,7.135
CBM_dist,01,reserve,2049,701.848,7.189
CBM_dist,01,reserve,2050,706.985,7.243
CBM_dist,01,reserve,2051,712.06,7.296
CBM_dist,01,reserve,2052,717.074,7.349
CBM_dist,01,reserve,2053,722.027,7.401
CBM_dist,01,reserve,2054,726.921,7.452
CBM_dist,01,reserve,2055,731.754,7.503
CBM_dist,01,reserve,2056,736.53,7.554
CBM_dist,01,reserve,2057,741.248,7.603
CBM_dist,01,reserve,2058,745.909,7.652
CBM_dist,01,reserve,2059,750.513,7.701
CBM_dist,01,reserve,2060,755.062,7.749
CBM_dist,01,reserve,2061,759.554,7.797
CBM_dist,01,reserve,2062,763.992,7.843
CBM_dist,01,reserve,2063,768.377,7.89
CBM_dist,01,reserve,2064,772.707,7.936
CBM_dist,01,reserve,2065,776.986,7.981
CBM_dist,01,reserve,2066,781.211,8.026
CBM_dist,01,reserve,2067,785.385,8.07
CBM_dist,01,reserve,2068,789.508,8.114
CBM_dist,01,reserve,2069,793.58,8.157
CBM_dist,01,reserve,2070,797.602,8.2
CBM_dist,01,reserve,2071,801.576,8.242
CBM_dist,01,reserve,2072,805.5,8.284
CBM_dist,01,reserve,2073,809.375,8.326
CBM_dist,01,reserve,2074,813.203,8.367
CBM_dist,01,reserve,2075,816.984,8.407
CBM_dist,01,reserve,2076,820.718,8.447
CBM_dist,01,reserve,2077,824.406,8.486
CBM_dist,01,reserve,2078,828.048,8.526
CBM_dist,01,reserve,2079,831.645,8.564
CBM_dist,01,reserve,2080,835.197,8.602
CBM_dist,01,reserve,2081,838.706,8.64
CBM_dist,01,reserve,2082,842.171,8.677
CBM_dist,01,reserve,2083,845.592,8.714
CBM_dist,01,reserve,2084,848.97,8.751
CBM_dist,01,reserve,2085,852.306,8.787
CBM_dist,01,reserve,2086,855.601,8.822
CBM_dist,01,reserve,2087,858.854,8.858
CBM_dist,01,reserve,2088,862.067,8.892
CBM_dist,01,reserve,2089,865.24,8.927
CBM_dist,01,reserve,2090,868.372,8.961
CBM_dist,01,reserve,2091,871.465,8.994
CBM_dist,01,reserve,2092,874.518,9.028
CBM_dist,01,reserve,2093,877.533,9.061
CBM_dist,01,reserve,2094,880.511,9.093
CBM_dist,01,reserve,2095,883.45,9.125
CBM_dist,01,reserve,2096,886.352,9.157
CBM_dist,01,reserve,2097,889.216,9.188
CBM_dist,01,reserve,2098,892.045,9.219
CBM_dist,01,reserve,2099,894.837,9.25
CBM_dist,01,reserve,2100,897.594,9.28
CBM_dist,04,reserve,2025,135.23,2.421
CBM_dist,04,reserve,2026,137.726,2.466
CBM_dist,04,reserve,2027,140.189,2.51
CBM_dist,04,reserve,2028,142.622,2.554
CBM_dist,04,reserve,2029,145.022,2.597
CBM_dist,04,reserve,2030,147.393,2.64
CBM_dist,04,reserve,2031,149.73,2.682
CBM_dist,04,reserve,2032,152.038,2.723
CBM_dist,04,reserve,2033,154.313,2.764
CBM_dist,04,reserve,2034,156.493,2.804
CBM_dist,04,reserve,2035,158.644,2.843
CBM_dist,04,reserve,2036,160.765,2.881
CBM_dist,04,reserve,2037,162.858,2.919
CBM_dist,04,reserve,2038,164.92,2.956
CBM_dist,04,reserve,2039,166.952,2.993
CBM_dist,04,reserve,2040,168.955,3.029
CBM_dist,04,reserve,2041,170.925,3.065
CBM_dist,04,reserve,2042,172.866,3.1
CBM_dist,04,reserve,2043,174.776,3.135
CBM_dist,04,reserve,2044,176.655,3.169
CBM_dist,04,reserve,2045,178.504,3.202
CBM_dist,04,reserve,2046,180.321,3.235
CBM_dist,04,reserve,2047,182.11,3.268
CBM_dist,04,reserve,2048,183.867,3.3
CBM_dist,04,reserve,2049,185.594,3.331
CBM_dist,04,reserve,2050,187.291,3.362
CBM_dist,04,reserve,2051,188.956,3.392
CBM_dist,04,reserve,2052,190.591,3.422
CBM_dist,04,reserve,2053,192.195,3.452
CBM_dist,04,reserve,2054,193.768,3.48
CBM_dist,04,reserve,2055,195.316,3.509
CBM_dist,04,reserve,2056,196.836,3.536
CBM_dist,04,reserve,2057,198.332,3.564
CBM_dist,04,reserve,2058,199.799,3.591
CBM_dist,04,reserve,2059,201.241,3.617
CBM_dist,04,reserve,2060,202.658,3.643
CBM_dist,04,reserve,2061,204.047,3.669
CBM_dist,04,reserve,2062,205.41,3.694
CBM_dist,04,reserve,2063,206.747,3.719
CBM_dist,04,reserve,2064,208.058,3.743
CBM_dist,04,reserve,2065,209.344,3.767
CBM_dist,04,reserve,2066,210.607,3.79
CBM_dist,04,reserve,2067,211.846,3.813
CBM_dist,04,reserve,2068,213.061,3.835
CBM_dist,04,reserve,2069,214.253,3.858
CBM_dist,04,reserve,2070,215.422,3.879
CBM_dist,04,reserve,2071,216.565,3.901
CBM_dist,04,reserve,2072,217.686,3.922
CBM_dist,04,reserve,2073,218.782,3.942
CBM_dist,04,reserve,2074,219.855,3.962
CBM_dist,04,reserve,2075,220.907,3.982
CBM_dist,04,reserve,2076,221.94,4.001
CBM_dist,04,reserve,2077,222.953,4.02
CBM_dist,04,reserve,2078,223.947,4.039
CBM_dist,04,reserve,2079,224.92,4.057
CBM_dist,04,reserve,2080,225.874,4.075
CBM_dist,04,reserve,2081,226.807,4.093
CBM_dist,04,reserve,2082,227.721,4.11
CBM_dist,04,reserve,2083,228.615,4.127
CBM_dist,04,reserve,2084,229.488,4.144
CBM_dist,04,reserve,2085,230.345,4.16
CBM_dist,04,reserve,2086,231.181,4.176
CBM_dist,04,reserve,2087,231.999,4.192
CBM_dist,04,reserve,2088,232.799,4.208
CBM_dist,04,reserve,2089,233.58,4.223
CBM_dist,04,reserve,2090,234.342,4.237
CBM_dist,04,reserve,2091,235.086,4.252
CBM_dist,04,reserve,2092,235.812,4.266
CBM_dist,04,reserve,2093,236.518,4.28
CBM_dist,04,reserve,2094,237.206,4.293
CBM_dist,04,reserve,2095,237.879,4.306
CBM_dist,04,reserve,2096,238.539,4.319
CBM_dist,04,reserve,2097,239.182,4.332
CBM_dist,04,reserve,2098,239.811,4.345
CBM_dist,04,reserve,2099,240.424,4.357
CBM_dist,04,reserve,2100,241.023,4.369
CBM_dist,05,reserve,2025,464.86,4.835
CBM_dist,05,reserve,2026,471.638,4.906
CBM_dist,05,reserve,2027,478.346,4.977
CBM_dist,05,reserve,2028,484.989,5.047
CBM_dist,05,reserve,2029,491.565,5.116
CBM_dist,05,reserve,2030,498.076,5.185
CBM_dist,05,reserve,2031,504.521,5.253
CBM_dist,05,reserve,2032,510.902,5.321
CBM_dist,05,reserve,2033,517.219,5.387
CBM_dist,05,reserve,2034,523.472,5.454
CBM_dist,05,reserve,2035,529.663,5.519
CBM_dist,05,reserve,2036,535.792,5.584
CBM_dist,05,reserve,2037,541.86,5.648
CBM_dist,05,reserve,2038,547.866,5.712
CBM_dist,05,reserve,2039,553.812,5.775
CBM_dist,05,reserve,2040,559.697,5.838
CBM_dist,05,reserve,2041,565.523,5.9
CBM_dist,05,reserve,2042,571.292,5.961
CBM_dist,05,reserve,2043,577.001,6.021
CBM_dist,05,reserve,2044,582.653,6.082
CBM_dist,05,reserve,2045,588.247,6.141
CBM_dist,05,reserve,2046,593.785,6.2
CBM_dist,05,reserve,2047,599.267,6.259
CBM_dist,05,reserve,2048,604.693,6.316
CBM_dist,05,reserve,2049,610.065,6.374
CBM_dist,05,reserve,2050,615.381,6.43
CBM_dist,05,reserve,2051,620.644,6.487
CBM_dist,05,reserve,2052,625.853,6.542
CBM_dist,05,reserve,2053,631.009,6.597
CBM_dist,05,reserve,2054,636.113,6.652
CBM_dist,05,reserve,2055,641.163,6.706
CBM_dist,05,reserve,2056,646.164,6.76
CBM_dist,05,reserve,2057,651.113,6.813
CBM_dist,05,reserve,2058,656.01,6.865
CBM_dist,05,reserve,2059,660.859,6.917
CBM_dist,05,reserve,2060,665.656,6.969
CBM_dist,05,reserve,2061,670.405,7.02
CBM_dist,05,reserve,2062,675.105,7.07
CBM_dist,05,reserve,2063,679.757,7.121
CBM_dist,05,reserve,2064,684.361,7.17
CBM_dist,05,reserve,2065,688.917,7.219
CBM_dist,05,reserve,2066,693.426,7.268
CBM_dist,05,reserve,2067,697.888,7.316
CBM_dist,05,reserve,2068,702.305,7.364
CBM_dist,05,reserve,2069,706.676,7.411
CBM_dist,05,reserve,2070,711.002,7.458
CBM_dist,05,reserve,2071,715.282,7.504
CBM_dist,05,reserve,2072,719.518,7.55
CBM_dist,05,reserve,2073,723.709,7.596
CBM_dist,05,reserve,2074,727.858,7.641
CBM_dist,05,reserve,2075,731.963,7.685
CBM_dist,05,reserve,2076,736.025,7.73
CBM_dist,05,reserve,2077,740.045,7.773
CBM_dist,05,reserve,2078,744.022,7.817
CBM_dist,05,reserve,2079,747.958,7.86
CBM_dist,05,reserve,2080,751.852,7.902
CBM_dist,05,reserve,2081,755.706,7.944
CBM_dist,05,reserve,2082,759.519,7.986
CBM_dist,05,reserve,2083,763.292,8.027
CBM_dist,05,reserve,2084,767.025,8.068
CBM_dist,05,reserve,2085,770.719,8.109
CBM_dist,05,reserve,2086,774.373,8.149
CBM_dist,05,reserve,2087,777.988,8.189
CBM_dist,05,reserve,2088,781.566,8.228
CBM_dist,05,reserve,2089,785.106,8.267
CBM_dist,05,reserve,2090,788.607,8.306
CBM_dist,05,reserve,2091,792.072,8.344
CBM_dist,05,reserve,2092,795.498,8.382
CBM_dist,05,reserve,2093,798.889,8.42
CBM_dist,05,reserve,2094,802.244,8.457
CBM_dist,05,reserve,2095,805.562,8.494
CBM_dist,05,reserve,2096,808.845,8.53
CBM_dist,05,reserve,2097,812.093,8.566
CBM_dist,05,reserve,2098,815.305,8.602
CBM_dist,05,reserve,2099,818.483,8.637
CBM_dist,05,reserve,2100,821.627,8.673
CBM_dist,06,reserve,2025,1002.65,12.032
