state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
AL,reserve,909.8,0,909.8,0,0
AL,conservation,722.4,40.2,762.6,243,155
AL,BAU,489.8,86.4,576.2,581,384
AL,intensive,239.6,127.7,367.4,1043,728
AR,reserve,833.9,0,833.9,0,0
AR,conservation,766.4,14.8,781.3,101,63
AR,BAU,666.8,36.2,703,256,162
AR,intensive,498,70.6,568.5,541,351
AZ,reserve,244.1,0,244.1,0,0
AZ,BAU,244.1,0,244.1,0,0
AZ,conservation,244.1,0,244.1,0,0
AZ,intensive,244.1,0,244.1,0,0
CA,reserve,1376.6,0,1376.6,0,0
CA,conservation,1376.1,0.1,1376.2,0,0
CA,BAU,1375.4,0.3,1375.6,1,1
CA,intensive,1373.5,0.7,1374.2,3,2
CO,reserve,479.7,0,479.7,0,0
CO,BAU,479.7,0,479.7,0,0
CO,conservation,479.7,0,479.7,0,0
CO,intensive,479.7,0,479.7,0,0
CT,reserve,99.4,0,99.4,0,0
CT,conservation,99.1,0.1,99.1,6,4
CT,BAU,98.5,0.2,98.7,15,9
CT,intensive,97.2,0.5,97.7,36,23
DE,reserve,18.8,0,18.8,0,0
DE,BAU,18.8,0,18.8,4,3
DE,conservation,18.8,0,18.8,2,1
DE,intensive,18.7,0,18.7,10,6
FL,reserve,662.7,0,662.7,0,0
FL,conservation,461.2,43.6,504.8,341,216
FL,BAU,255.5,82.8,338.3,761,506
FL,intensive,104,103.5,207.5,1211,866
GA,reserve,1006.9,0,1006.9,0,0
GA,conservation,438.5,115.3,553.8,770,513
GA,BAU,138.9,156.8,295.7,1400,1013
GA,intensive,33.7,154.8,188.5,1913,1519
IA,reserve,134.5,0,134.5,0,0
IA,conservation,77.5,12,89.5,560,364
IA,BAU,37.6,18.9,56.4,1076,743
IA,intensive,11.9,21.1,33.1,1655,1254
ID,reserve,615.9,0,615.9,0,0
ID,conservation,612.9,0.7,613.6,4,3
ID,BAU,607.1,1.9,609,13,8
ID,intensive,597.1,4.1,601.2,27,17
IL,reserve,230.4,0,230.4,0,0
IL,conservation,205,5.5,210.5,155,99
IL,BAU,172.2,12.3,184.6,366,237
IL,intensive,113.5,23.7,137.2,790,529
