model,dom,scenario,year,area_ha,agc_TgC,per_ha_MgC,factor,anchor_cv,agc_TgC_anchored,agc_TgC_anchored_se
LANDIS,53,reserve,2025,204462.99,12.32681402475,60.29,66.4137544669904,1.01,818.67,8.269
LANDIS,53,reserve,2050,204462.99,19.3310183772,94.55,66.4137544669904,1.01,1283.846,12.967
LANDIS,53,reserve,2075,204462.99,25.26057433305,123.55,66.4137544669904,1.01,1677.65,16.944
LANDIS,53,reserve,2100,204462.99,29.75698011735,145.54,66.4137544669904,1.01,1976.273,19.96
