state,year,n_models,ens_equal,ens_benchmark,median,between_sd,within_sd,anchor_se,lo90,hi90,crI_rel_pct
ME,2050,4,512.6,512.6,490.6,82,20.6,4.5,373.3,651.9,27.2
ME,2075,4,621,621,542.8,197.8,22.4,5,293.5,948.5,52.7
ME,2100,4,704.5,704.5,570.6,305.7,23.7,5.2,200,1209,71.6
MD,2025,4,96.2,96.2,96.2,0,4.2,3.4,87.3,105.2,9.3
MD,2050,4,105.6,109.7,112.9,19.3,5.3,4,72.1,139.1,31.7
MD,2075,4,110.2,115.7,119.5,27,5.6,4.2,64.4,156,41.6
MD,2100,4,107.6,113.1,109.6,30.8,5.9,3.9,55.6,159.6,48.3
MA,2025,4,112.2,112.2,112.2,0,4.9,2.7,103,121.4,8.2
MA,2050,4,135.1,142,128.7,45.7,5.5,3.1,59.2,210.9,56.2
MA,2075,4,148.3,158.6,135.9,70.3,5.9,3.3,32.2,264.4,78.3
MA,2100,4,155.1,167.1,138,84.6,6.1,3.3,15.5,294.7,90
MI,2025,4,512.5,512.5,512.5,0,23.3,5.7,473.1,551.8,7.7
MI,2050,4,686.8,686.8,648.2,108.5,28.2,7.3,501.9,871.6,26.9
MI,2075,4,786.6,786.6,728,162.4,31.7,8.2,514,1059.2,34.7
MI,2100,4,847.5,847.5,778.2,200.3,34,8.7,513.1,1182,39.5
MN,2025,4,308.8,308.8,308.8,0,14.6,2.7,284.3,333.3,7.9
MN,2050,4,438.6,438.6,404.2,97.7,18.9,3.6,274.8,602.5,37.4
MN,2075,4,504.4,504.4,458.4,155.9,21.7,4.1,245.4,763.5,51.4
MN,2100,4,536.4,536.4,467.1,200.6,22.9,4.2,204.2,868.6,61.9
MS,2025,4,523,523,523,0,7.8,6,506.9,539.2,3.1
MS,2050,4,677.6,717.8,717.3,209.6,11,8.2,332.1,1023.1,51
MS,2075,4,757.6,813,807.7,285.6,12.3,9.3,287,1228.2,62.1
MS,2100,4,783.4,844.6,825.8,318.8,12.3,9.5,258.3,1308.5,67
MO,2025,4,401.4,401.4,401.4,0,11.4,4.2,381.3,421.4,5
MO,2050,4,492.3,517.1,506,133.7,14.6,5.3,270.8,713.8,45
MO,2075,4,550,589.8,574.8,217.5,16.9,6,191,908.9,65.3
MO,2100,4,589.2,638.5,617.8,278.3,18.6,6.4,130.3,1048,77.9
MT,2025,4,396,396,396,0,19.8,4.6,362.6,429.3,8.4
MT,2050,4,483.1,487.6,496.6,115.8,26,5.7,287.7,678.5,40.4
MT,2075,4,518.5,528.1,547.4,222.4,29.2,6.3,149.3,887.7,71.2
MT,2100,4,521.8,532.8,554.6,269.1,30,6.4,76.2,967.4,85.4
NE,2025,4,22.4,22.4,22.4,0,0.7,1.3,20,24.8,10.8
NE,2050,4,31.8,33.4,28.8,12.2,0.9,1.7,11.4,52.1,64.1
NE,2075,4,36.9,39.5,31.7,20.4,1,1.8,3.2,70.6,91.4
NE,2100,4,40.2,43.4,33.2,25.9,1.1,1.9,0,83,106.5
NV,2025,4,54.1,54.1,54.1,0,2.7,1.2,49.3,59,8.9
NV,2050,4,73.8,71.2,66,25.8,3.4,1.4,30.9,116.7,58.1
NV,2075,4,89.8,84.6,74.3,49,3.9,1.6,8.9,170.6,90.1
NV,2100,4,120.7,107.1,79.7,105.5,4.2,1.7,0,294.4,143.8
NH,2025,5,153.2,153.2,153.2,0,5.4,2.5,143.3,163,6.4
NH,2050,5,179.9,188.7,185.7,50.1,6.4,3.1,96.6,263.1,46.3
NH,2075,5,196.1,208.7,199.3,71.2,7,3.3,78.3,313.8,60.1
NH,2100,5,202.1,216.3,210.5,84,7.1,3.5,63.3,340.9,68.7
NJ,2025,4,59.2,59.2,59.2,0,2.6,1.5,54.3,64.1,8.3
NJ,2050,4,74.3,77.8,71,23.6,3.2,1.8,35,113.6,52.9
NJ,2075,4,82.3,87.6,76.2,37.1,3.6,1.9,20.9,143.8,74.6
NJ,2100,4,85.9,92,77.4,46.3,3.9,1.9,9.3,162.5,89.1
NM,2025,4,160.7,160.7,160.7,0,8,2.5,146.9,174.5,8.6
NM,2050,4,211.3,207.4,199.7,106.6,10.5,3.1,35,387.6,83.4
NM,2075,4,263.4,249.8,222.6,195.5,12,3.5,0,585.7,122.4
NM,2100,4,291.4,270.1,227.4,251.2,12.5,3.5,0,705.2,142
NY,2025,4,592.4,592.4,592.4,0,25.9,6.2,548.7,636.2,7.4
NY,2050,4,707.9,748.2,728.2,215.2,33.4,7.6,349.4,1066.4,50.6
NY,2075,4,772.8,833.6,804.4,323.9,36.5,8.4,236.5,1309.1,69.4
NY,2100,4,798,868.3,834.2,378.2,38.7,8.7,172.4,1423.6,78.4
NC,2025,3,568.8,568.8,568.8,0,10.1,6.6,549,588.6,3.5
NC,2050,3,731,731,741.6,44.1,13.3,8.6,653.9,808.1,10.5
NC,2075,3,805.9,805.9,809.5,32.9,14.2,9.4,745,866.8,7.6
NC,2100,3,792.5,792.5,770.1,41.2,13.9,8.9,719.5,865.4,9.2
ND,2025,4,10.4,10.4,10.4,0,0.4,0.8,9,11.8,13.3
ND,2050,4,16.1,17.1,17.1,5.1,0.6,1.2,7.4,24.9,54.3
ND,2075,4,22.5,24.4,23.2,11.3,0.8,1.7,3.7,41.3,83.5
ND,2100,4,29.4,32.4,29.2,18.6,1.1,2.1,0,60.2,104.5
OH,2025,5,250.9,250.9,250.9,0,5.8,4.9,238.3,263.4,5
OH,2050,5,347.5,363.3,319.4,111,8.2,6.3,164.1,530.9,52.8
OH,2075,5,404.1,430.3,361,179.7,9,7.1,108,700.3,73.3
OH,2100,5,437,469,402.3,227.5,9.5,7.9,62.2,811.9,85.8
OK,2025,4,177.5,177.5,177.5,0,4,2.6,169.7,185.4,4.4
OK,2050,4,263,278.5,271.8,82.4,6.1,4.1,126.9,399.1,51.8
OK,2075,4,305,330.5,327.6,133.5,7.4,4.9,84.8,525.2,72.2
OK,2100,4,322.8,353.1,352.9,165.5,8,5.3,50,595.5,84.5
OR,2025,3,1022.7,1022.7,1022.7,0,68.6,9,908.8,1136.5,11.1
OR,2050,3,1451.8,1332.3,1213.5,520.8,88.1,10.7,582.6,2320.9,59.9
OR,2075,3,1696,1499.8,1309.9,856,88.8,11.5,280.2,3111.7,83.5
OR,2100,3,1757.6,1530,1313.5,993.7,83.9,11.6,117,3398.3,93.3
PA,2025,3,551,551,551,0,32.3,6,497,605.1,9.8
PA,2050,3,702.7,702.7,658.2,78.9,40.4,7.2,556.5,849,20.8
PA,2075,3,780.9,780.9,742.2,133.1,43.4,8.1,550.3,1011.6,29.5
PA,2100,3,795.4,795.4,812.2,165,46.3,8.9,513,1077.7,35.5
RI,2025,4,12.8,12.8,12.8,0,0.6,0.7,11.3,14.2,11.3
RI,2050,4,14.9,15.5,14.4,4.3,0.6,0.8,7.6,22.2,49.1
RI,2075,4,15.6,16.4,13.7,7.1,0.7,0.7,3.8,27.3,75.6
RI,2100,4,15.6,16.5,13.2,9.3,0.6,0.7,0.2,31,98.8
SC,2025,3,325.1,325.1,325.1,0,7.1,4.6,311.2,339,4.3
SC,2050,3,436.1,436.1,436.3,19,9.6,6.2,399.6,472.5,8.4
SC,2075,3,492.2,492.2,485.2,13.5,10.9,6.9,461.5,523,6.2
SC,2100,3,508.3,508.3,515.9,31.6,11.4,7.4,451.7,564.9,11.1
SD,2025,4,22.2,22.2,22.2,0,0.8,0.8,20.3,24.1,8.4
SD,2050,4,25.2,26.6,26.5,7.6,0.9,1,12.4,37.9,50.8
SD,2075,4,27.7,29.9,29.2,12.1,1.1,1.1,7.7,47.7,72.3
SD,2100,4,25,27.1,27.1,10.2,1.1,1,8.1,42,67.5
TN,2025,4,461.1,461.1,461.1,0,10.3,5.4,441.9,480.2,4.2
TN,2050,4,548.2,572.7,582.9,119.7,13,6.8,349.8,746.6,36.2
TN,2075,4,594.6,637.6,660.7,206.8,14.8,7.7,253.3,935.8,57.4
TN,2100,4,593.7,642.7,688.8,231.5,15.5,8.1,211.8,975.5,64.3
TX,2025,4,479.1,479.1,479.1,0,9.3,5.1,461.7,496.5,3.6
TX,2050,4,619.7,656.2,692.1,172.4,14,7.4,334.9,904.5,46
TX,2075,4,723.2,776.9,827.3,253.8,16.9,8.9,304.5,1141.9,57.9
TX,2100,4,783.5,847.9,893,307.5,18,9.6,276.5,1290.5,64.7
UT,2025,4,133.1,133.1,133.1,0,6.6,2.4,121.5,144.7,8.7
UT,2050,4,160.6,162.3,165.6,37.9,8.7,3,96.4,224.8,40
UT,2075,4,180.3,181.9,185.3,65.8,9.9,3.4,70.7,289.8,60.8
UT,2100,4,202.4,199.7,194.4,102.1,10.6,3.5,33.4,371.3,83.5
VT,2025,4,142.9,142.9,142.9,0,6.2,2.6,131.8,154,7.8
VT,2050,4,192.8,192.8,186,24.3,7.6,3.4,150.6,235.1,21.9
VT,2075,4,221,221,213.7,41.2,8.2,3.9,151.6,290.4,31.4
VT,2100,4,234.9,234.9,234.7,56.3,8.3,4.2,141.1,328.7,39.9
VA,2025,3,548.8,548.8,548.8,0,7.5,5.9,533.1,564.5,2.9
VA,2050,3,683.1,683.1,673.3,17.3,9.6,7.3,648.4,717.9,5.1
VA,2075,3,762.1,762.1,761.6,14.6,10.4,8.2,729.8,794.5,4.2
VA,2100,3,788.2,788.2,763.6,66.6,10.4,8.2,676.5,900,14.2
WA,2025,5,818.7,818.7,818.7,0,33.1,8.3,762.5,874.8,6.9
WA,2050,5,968.7,953.9,942.3,328,41.1,9.5,424.7,1512.7,56.2
WA,2075,5,1018.9,995.9,967.3,496.6,42.5,9.8,198.9,1838.9,80.5
WA,2100,5,984.6,959.9,904.2,526,37.4,9.1,117.1,1852.2,88.1
WV,2025,4,438.6,438.6,438.6,0,19.2,5.7,405.7,471.5,7.5
WV,2050,4,526.9,548,517.7,129.2,22.9,6.7,310.7,743.1,41
WV,2075,4,564.2,602.2,556.5,227.7,25.5,7.2,187.2,941.3,66.8
WV,2100,4,581.5,629.6,572.9,293.4,27.3,7.4,96.5,1066.5,83.4
WI,2025,4,396.2,396.2,396.2,0,18,3.2,366.2,426.2,7.6
WI,2050,4,591.7,591.7,525.2,155.2,22.8,4.2,333.7,849.8,43.6
WI,2075,4,695.4,695.4,582.1,237,26,4.7,303.2,1087.7,56.4
WI,2100,4,753.2,753.2,616.5,307.4,27.7,4.9,245.4,1261,67.4
WY,2025,4,131.6,131.6,131.6,0,6.5,2.6,120,143.1,8.8
WY,2050,4,152.8,156.5,164,41.4,8.5,3.2,83.1,222.5,45.6
WY,2075,4,167.7,172.7,182.9,60.1,9.7,3.5,67.3,268,59.9
WY,2100,4,172.5,178.7,191,68.5,10.3,3.7,58.4,286.7,66.2
