state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
AL,reserve,1245.7,0,1245.7,0,0
AL,conservation,989.7,56,1045.7,314,194
AL,BAU,667.4,121.7,789,754,479
AL,intensive,311.4,182.8,494.2,1358,910
AR,reserve,588.3,0,588.3,0,0
AR,conservation,526.1,13,539.1,99,63
AR,BAU,435.1,31.5,466.5,250,162
AR,intensive,283.9,59.9,343.8,527,352
AZ,reserve,146.2,0,146.2,0,0
AZ,BAU,146.2,0,146.2,0,0
AZ,conservation,146.2,0,146.2,0,0
AZ,intensive,146.2,0,146.2,0,0
CA,reserve,1386.9,0,1386.9,0,0
CA,conservation,1386.4,0.1,1386.5,0,0
CA,BAU,1385.6,0.3,1385.9,1,1
CA,intensive,1383.7,0.7,1384.4,3,2
CO,reserve,332.5,0,332.5,0,0
CO,BAU,332.5,0,332.5,0,0
CO,conservation,332.5,0,332.5,0,0
CO,intensive,332.5,0,332.5,0,0
CT,reserve,67.2,0,67.2,0,0
CT,conservation,66.9,0.1,67,5,3
CT,BAU,66.4,0.2,66.6,13,9
CT,intensive,65.4,0.4,65.8,32,21
DE,reserve,18.8,0,18.8,0,0
DE,BAU,18.7,0,18.8,4,3
DE,conservation,18.8,0,18.8,2,1
DE,intensive,18.7,0,18.7,11,7
FL,reserve,504,0,504,0,0
FL,conservation,325.4,37.1,362.5,320,207
FL,BAU,149.8,68,217.8,710,485
FL,intensive,33.5,79.4,112.9,1123,829
GA,reserve,1044.8,0,1044.8,0,0
GA,conservation,422.3,124.4,546.7,848,563
GA,BAU,103.9,165,268.8,1540,1111
GA,intensive,8.8,155.6,164.5,2099,1665
IA,reserve,93.7,0,93.7,0,0
IA,conservation,45.2,9.6,54.8,515,345
IA,BAU,13.7,14.2,27.9,983,703
IA,intensive,0,13.9,13.9,1497,1184
ID,reserve,547.8,0,547.8,0,0
ID,conservation,544.9,0.6,545.5,4,3
ID,BAU,539.4,1.8,541.2,12,8
ID,intensive,529.9,3.8,533.8,26,17
IL,reserve,181.7,0,181.7,0,0
IL,conservation,158.5,4.9,163.3,148,96
IL,BAU,128.6,10.9,139.5,350,231
IL,intensive,76.2,20.4,96.6,753,515
IN,reserve,230.7,0,230.7,0,0
IN,conservation,224.7,1.3,226,37,24
IN,BAU,215.9,3.1,219.1,93,59
IN,intensive,195.3,7.4,202.7,226,146
KS,reserve,83,0,83,0,0
KS,conservation,82.3,0.1,82.5,3,2
KS,BAU,81.3,0.4,81.7,8,5
KS,intensive,78.9,0.9,79.8,20,12
KY,reserve,417.9,0,417.9,0,0
KY,conservation,344.7,14.9,359.6,184,120
KY,BAU,249,33.4,282.4,445,297
KY,intensive,109,56.6,165.6,898,625
LA,reserve,780.2,0,780.2,0,0
LA,conservation,715.7,14.4,730.1,124,76
LA,BAU,619,35.5,654.5,318,196
LA,intensive,459.8,68.5,528.3,663,419
MA,reserve,138.3,0,138.3,0,0
MA,conservation,136.8,0.3,137.1,14,9
MA,BAU,134.7,0.8,135.4,35,22
MA,intensive,129.3,1.9,131.2,88,57
MD,reserve,102.8,0,102.8,0,0
MD,conservation,101.2,0.3,101.5,19,12
MD,BAU,98.7,0.9,99.5,48,31
MD,intensive,92.9,2.1,94.9,116,76
ME,reserve,608,0,608,0,0
ME,conservation,602.3,1.3,603.5,10,6
ME,BAU,594,3.1,597,24,15
ME,intensive,572.7,7.7,580.4,61,38
MI,reserve,852.5,0,852.5,0,0
MI,conservation,631.6,47,678.6,330,211
MI,BAU,411.5,89.8,501.3,706,468
MI,intensive,153.1,128.6,281.7,1303,926
MN,reserve,444,0,444,0,0
MN,conservation,416.3,5.9,422.2,47,30
MN,BAU,378.7,13.9,392.5,112,72
MN,intensive,295.4,30.7,326.2,265,172
MO,reserve,508.2,0,508.2,0,0
MO,conservation,502.6,1.2,503.8,11,7
MO,BAU,493.7,3.1,496.8,29,18
MO,intensive,473.6,7.3,481,69,44
MS,reserve,847.1,0,847.1,0,0
MS,conservation,743.6,22.1,765.7,154,97
MS,BAU,592.7,53.1,645.9,392,251
MS,intensive,371,94.9,465.9,785,520
MT,reserve,550.1,0,550.1,0,0
MT,conservation,549.5,0.1,549.7,1,0
MT,BAU,548.7,0.3,549,2,1
MT,intensive,546.4,0.8,547.2,4,3
NC,reserve,782.7,0,782.7,0,0
NC,conservation,605.3,36.9,642.2,304,197
NC,BAU,385.8,78.8,464.6,729,486
NC,intensive,145.3,115.3,260.6,1327,936
ND,reserve,51.2,0,51.2,0,0
ND,conservation,50.9,0.1,51,11,6
ND,BAU,50.4,0.2,50.6,26,14
ND,intensive,49.2,0.5,49.7,66,37
NE,reserve,27.9,0,27.9,0,0
NE,conservation,27.3,0.1,27.4,13,8
NE,BAU,26.3,0.3,26.6,33,21
NE,intensive,24.2,0.8,25,77,50
NH,reserve,177.8,0,177.8,0,0
NH,conservation,174.5,0.7,175.2,21,14
NH,BAU,169.8,1.7,171.5,52,33
NH,intensive,157.9,4.2,162.1,130,84
NJ,reserve,57,0,57,0,0
NJ,conservation,56.3,0.1,56.4,11,7
NJ,BAU,55.2,0.4,55.5,28,19
NJ,intensive,52.7,0.9,53.5,68,45
NM,reserve,203.1,0,203.1,0,0
NM,BAU,203.1,0,203.1,0,0
NM,conservation,203.1,0,203.1,0,0
NM,intensive,203.1,0,203.1,0,0
NV,reserve,73.3,0,73.3,0,0
NV,BAU,73.1,0,73.2,0,0
NV,conservation,73.2,0,73.2,0,0
NV,intensive,72.9,0.1,73,1,1
NY,reserve,790.8,0,790.8,0,0
NY,conservation,728.9,13.1,742,98,63
NY,BAU,645.2,30.5,675.8,236,152
NY,intensive,472.9,64.5,537.5,541,358
OH,reserve,365.6,0,365.6,0,0
OH,conservation,358.6,1.5,360.1,26,16
OH,BAU,347.4,3.9,351.4,67,43
OH,intensive,323.5,9,332.5,158,100
OK,reserve,283.7,0,283.7,0,0
OK,conservation,277.1,1.4,278.6,16,10
OK,BAU,266.8,3.7,270.4,42,26
OK,intensive,244.6,8.3,253,98,61
OR,reserve,1528,0,1528,0,0
OR,conservation,1527.2,0.2,1527.4,1,0
OR,BAU,1526,0.4,1526.4,2,1
OR,intensive,1523,1.1,1524.1,5,3
PA,reserve,635.6,0,635.6,0,0
PA,conservation,617,3.9,620.9,34,22
PA,BAU,589.6,9.6,599.2,84,55
PA,intensive,526.9,22.5,549.4,203,132
RI,reserve,8.2,0,8.2,0,0
RI,BAU,8,0,8.1,11,7
RI,conservation,8.1,0,8.1,4,3
RI,intensive,7.9,0.1,7.9,26,17
SC,reserve,522.6,0,522.6,0,0
SC,conservation,381.4,29.7,411.1,330,212
SC,BAU,224.4,59.4,283.7,756,505
SC,intensive,77.7,79.8,157.4,1307,933
SD,reserve,26.4,0,26.4,0,0
SD,conservation,25.9,0.1,26,8,5
SD,BAU,25.1,0.3,25.3,19,13
SD,intensive,23.1,0.7,23.8,48,31
TN,reserve,678.4,0,678.4,0,0
TN,conservation,403.8,56.4,460.2,620,406
TN,BAU,170.2,95.9,266.1,1296,898
TN,intensive,22.6,106.7,129.4,2037,1537
TX,reserve,866.9,0,866.9,0,0
TX,conservation,847.1,4.3,851.5,9,6
TX,BAU,814.3,11.5,825.8,25,15
TX,intensive,750,25.3,775.4,56,35
UT,reserve,167.2,0,167.2,0,0
