dist_mode,scenario,CBM,FVS_cal,YieldCurve,ensemble_median,ens_lo,ens_hi
disturbed,reserve,23074,30217,21113,23074,21113,30217
disturbed,conservation,21061,28183,18976,21061,18976,28183
disturbed,BAU,19040,26120,16849,19040,16849,26120
disturbed,intensive,16714,23684,14458,16714,14458,23684
nodisturb,reserve,24294,32207,22348,24294,22348,32207
nodisturb,conservation,22261,30154,20191,22261,20191,30154
nodisturb,BAU,20218,28066,18040,20218,18040,28066
nodisturb,intensive,17860,25591,15613,17860,15613,25591
