state,evalid,n_plots,agc_TgC_design,se_TgC,cv_pct
AL,12401,5604,558.05,5.68,1.02
AR,52401,5666,464.86,4.83,1.04
AZ,42301,11896,135.23,2.42,1.79
CA,62101,16697,1002.65,12.08,1.2
CO,82301,10812,271.63,3.64,1.34
CT,92401,484,64.47,2.15,3.33
DE,102401,379,12.66,0.79,6.21
FL,122401,7031,320.05,5.55,1.73
GA,132401,6581,590.06,6.28,1.06
IA,192501,5962,72.67,2.43,3.35
ID,162301,8761,417.43,5.83,1.4
IL,172401,5924,150.46,3.52,2.34
IN,182401,3754,178.8,4.11,2.3
KS,202401,8714,48.76,1.94,3.98
KY,212201,4220,393.71,4.77,1.21
LA,222501,5378,339.71,4.64,1.36
MA,252401,794,112.19,2.72,2.42
MD,242401,967,96.25,3.42,3.55
ME,232401,3498,374.02,3.45,0.92
MI,262401,6489,512.45,5.72,1.12
MN,272401,17433,308.78,2.76,0.89
MO,292501,7253,401.36,4.17,1.04
MS,282401,5491,523.05,6.03,1.15
MT,302201,15283,395.97,4.57,1.15
NC,372401,5674,568.76,6.58,1.16
ND,382501,7585,10.39,0.75,7.25
NE,312501,8234,22.4,1.28,5.73
NH,332401,1163,153.16,2.55,1.66
NJ,342401,1517,59.18,1.48,2.5
NM,352201,12103,160.7,2.49,1.55
NV,322301,11386,54.14,1.18,2.19
NY,362401,4500,592.43,6.17,1.04
OH,392401,4063,250.86,4.92,1.96
OK,402401,7315,177.51,2.64,1.49
OR,412201,15730,1022.66,9.02,0.88
PA,422401,4424,551.02,5.99,1.09
RI,442401,240,12.75,0.68,5.32
SC,452401,3634,325.11,4.64,1.43
SD,462401,8395,22.21,0.84,3.76
TN,472301,4636,461.09,5.41,1.17
TX,482201,24115,479.11,5.12,1.07
UT,492201,8855,133.07,2.41,1.81
VA,512401,4821,548.81,5.95,1.08
VT,502401,1117,142.9,2.58,1.81
WA,532201,9520,818.67,8.26,1.01
WI,552401,11557,396.22,3.16,0.8
WV,542401,2359,438.59,5.67,1.29
WY,562301,10281,131.59,2.55,1.94
