state,scenario,LANDIS_total_2100_TgC,FVS_total_2100_TgC,ratio_L_over_F
WA,reserve,1371.3,2271.7,0.6
WA,conservation,1369.6,2269.0,0.6
WA,BAU,1367.0,2265.2,0.6
WA,intensive,1360.3,2255.0,0.6
MN,reserve,837.9,387.2,2.16
MN,conservation,805.9,368.4,2.19
MN,BAU,762.0,342.9,2.22
MN,intensive,662.6,286.1,2.32
IN,reserve,583.2,313.0,1.86
IN,conservation,574.5,307.4,1.87
IN,BAU,561.7,299.2,1.88
IN,intensive,531.3,279.7,1.9
OH,reserve,783.8,510.6,1.54
OH,conservation,774.7,503.7,1.54
OH,BAU,760.1,492.7,1.54
OH,intensive,728.7,468.8,1.55
WI,reserve,1236.6,624.5,1.98
WI,conservation,880.6,414.0,2.13
WI,BAU,595.1,256.1,2.32
WI,intensive,347.7,137.5,2.53
MI,reserve,1160.7,716.6,1.62
MI,conservation,943.0,562.0,1.68
MI,BAU,717.5,406.1,1.77
MI,intensive,428.5,218.6,1.96
