dom,n_plots,agc_MgC_ha
23001,258,49.56
23003,4093,40.07
23005,442,59.85
23007,1057,44.48
23009,952,45.02
23011,434,49.66
23013,199,45.46
23015,249,54.18
23017,1323,54.9
23019,2087,41.95
23021,2637,43.87
23023,132,60.65
23025,2488,39.98
23027,434,49.7
23029,1622,36.96
23031,568,57.64
53003,51,45.12
53007,885,62.47
53009,513,152.19
53011,89,105.38
53013,109,56.73
53015,279,79.65
53017,3,38.99
53019,834,53.23
53023,81,58.05
53027,557,100.52
53029,25,63.57
53031,433,149.66
53033,510,110.41
53035,75,102.01
53037,592,71.9
53039,256,54.11
53041,787,125.42
53043,34,25.46
53045,280,86.19
53047,1391,44.01
53049,236,88.23
53051,585,72.14
53053,351,114.77
53055,41,104.15
53057,491,120.74
53059,922,146.16
53061,496,137.03
53063,179,40.28
53065,675,51.85
53067,109,81.72
53069,52,99.72
53071,8,26.71
53073,457,115.82
53075,9,35.84
53077,605,72.98
