state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
NY,reserve,1244.6,0,1244.6,0,0
NY,conservation,1161.7,18.4,1180.1,122,75
NY,BAU,1048.9,42.9,1091.8,294,182
NY,intensive,813,92.2,905.2,675,427
OH,reserve,510.6,0,510.6,0,0
OH,conservation,501.7,2,503.7,31,19
OH,BAU,487.5,5.1,492.7,81,50
OH,intensive,457.1,11.8,468.8,190,117
OK,reserve,487.9,0,487.9,0,0
OK,conservation,478.5,2.1,480.7,21,13
OK,BAU,463.8,5.4,469.2,55,33
OK,intensive,432.2,12.5,444.7,128,77
OR,reserve,3300.9,0,3300.9,0,0
OR,conservation,3299.4,0.3,3299.8,1,1
OR,BAU,3297.3,0.8,3298.1,3,2
OR,intensive,3291.8,2.1,3293.9,8,5
PA,reserve,968.1,0,968.1,0,0
PA,conservation,944.4,5.2,949.6,40,25
PA,BAU,909.2,12.9,922.1,100,62
PA,intensive,828.6,30.2,858.8,241,151
RI,reserve,28.8,0,28.8,0,0
RI,conservation,28.7,0,28.7,6,4
RI,BAU,28.6,0,28.6,16,10
RI,intensive,28.3,0.1,28.4,39,23
SC,reserve,479.9,0,479.9,0,0
SC,conservation,346.7,27.9,374.6,314,202
SC,BAU,199.2,55.4,254.6,719,483
SC,intensive,62.9,73.8,136.7,1242,892
SD,reserve,28,0,28,0,0
SD,conservation,27.3,0.2,27.4,10,6
SD,BAU,26.2,0.4,26.6,24,15
SD,intensive,23.7,0.9,24.6,60,38
TN,reserve,762.5,0,762.5,0,0
TN,conservation,463.4,62.2,525.6,659,425
TN,BAU,205.4,106.9,312.3,1379,942
TN,intensive,37.2,120.9,158,2172,1613
TX,reserve,945,0,945,0,0
TX,conservation,926.2,4.2,930.4,9,5
TX,BAU,895,11.1,906.1,23,14
TX,intensive,833.7,24.5,858.3,52,33
UT,reserve,337.4,0,337.4,0,0
UT,conservation,337.4,0,337.4,0,0
UT,BAU,337.3,0,337.3,0,0
UT,intensive,337.1,0.1,337.2,0,0
VA,reserve,752.1,0,752.1,0,0
VA,conservation,737.1,3.2,740.4,27,17
VA,BAU,712.6,8.5,721.1,72,46
VA,intensive,662.5,19.1,681.6,166,106
VT,reserve,294.4,0,294.4,0,0
VT,conservation,291.6,0.6,292.2,17,10
VT,BAU,287.5,1.5,289,42,26
VT,intensive,277.1,3.8,280.9,106,65
WA,reserve,2271.7,0,2271.7,0,0
WA,conservation,2268.3,0.8,2269,4,2
WA,BAU,2263.2,1.9,2265.2,10,6
WA,intensive,2250.1,4.9,2255,26,15
WI,reserve,624.5,0,624.5,0,0
WI,conservation,359.5,54.5,414,508,334
WI,BAU,169.9,86.3,256.1,984,685
WI,intensive,42.3,95.3,137.5,1561,1196
WV,reserve,955.9,0,955.9,0,0
WV,conservation,936.4,4.4,940.8,44,27
WV,BAU,906.8,10.9,917.8,112,68
WV,intensive,840.5,25.6,866.1,267,164
WY,reserve,243.8,0,243.8,0,0
WY,conservation,243.6,0,243.7,0,0
WY,BAU,243.4,0.1,243.5,1,0
WY,intensive,243,0.2,243.2,2,1
