ST,year,mean,rel_lo,rel_hi,ndraw
MD,2065,108.14,0.9881,1.0117,24
MD,2070,112.668,0.9893,1.0099,24
MD,2075,116.781,0.9899,1.0086,24
MD,2080,120.452,0.9904,1.0081,24
MD,2085,123.797,0.9904,1.0082,24
MD,2090,126.963,0.9904,1.0089,24
MD,2095,129.947,0.9903,1.0097,24
MD,2100,132.855,0.9895,1.0102,24
MD,2105,135.667,0.9881,1.0103,24
MD,2110,138.39,0.9868,1.0101,24
MD,2115,140.972,0.9856,1.01,24
MD,2120,143.411,0.985,1.0102,24
MD,2125,145.775,0.9843,1.0105,24
ME,2025,58.957,1.0,1.0,30
ME,2030,86.663,0.9946,1.009,30
ME,2035,105.239,0.9905,1.0183,30
ME,2040,122.404,0.9871,1.0205,30
ME,2045,138.541,0.9854,1.0247,30
ME,2050,153.636,0.9845,1.0254,30
ME,2055,167.782,0.9816,1.0265,30
ME,2060,180.65,0.9798,1.0259,30
ME,2065,192.842,0.9785,1.0217,30
ME,2070,203.919,0.9804,1.014,30
ME,2075,213.295,0.9852,1.0088,30
ME,2080,220.862,0.9901,1.0064,30
ME,2085,227.193,0.9921,1.0066,30
ME,2090,233.136,0.9919,1.0073,30
ME,2095,238.848,0.9901,1.0083,30
ME,2100,244.361,0.9883,1.0093,30
ME,2105,249.69,0.9862,1.0106,30
ME,2110,254.815,0.9841,1.0136,30
ME,2115,259.697,0.9822,1.0166,30
ME,2120,264.483,0.9804,1.0195,30
ME,2125,269.219,0.9783,1.0221,30
MI,2025,29.768,1.0,1.0,24
MI,2030,46.911,1.0,1.0,24
MI,2035,54.286,1.0,1.0,24
MI,2040,60.569,1.0,1.0,24
MI,2045,66.811,1.0,1.0,24
MI,2050,72.586,1.0,1.0,24
MI,2055,78.284,1.0,1.0,24
MI,2060,84.104,1.0,1.0,24
MI,2065,89.823,1.0,1.0,24
MI,2070,95.147,1.0,1.0,24
MI,2075,100.264,1.0,1.0,24
MI,2080,105.273,1.0,1.0,24
MI,2085,109.897,1.0,1.0,24
MI,2090,114.249,1.0,1.0,24
MI,2095,118.192,1.0,1.0,24
MI,2100,121.804,1.0,1.0,24
MI,2105,125.21,1.0,1.0,24
MI,2110,128.599,1.0,1.0,24
MI,2115,131.762,1.0,1.0,24
MI,2120,134.617,1.0,1.0,24
MI,2125,137.351,1.0,1.0,24
MN,2025,32.552,1.0,1.0,30
MN,2030,57.022,1.0,1.0,30
MN,2035,68.069,1.0,1.0,30
MN,2040,76.184,1.0,1.0,30
MN,2045,84.244,1.0,1.0,30
MN,2050,92.479,1.0,1.0,30
MN,2055,100.187,1.0,1.0,30
MN,2060,107.78,1.0,1.0,30
MN,2065,114.413,1.0,1.0,30
MN,2070,120.594,1.0,1.0,30
MN,2075,125.907,1.0,1.0,30
MN,2080,131.165,1.0,1.0,30
MN,2085,135.751,1.0,1.0,30
MN,2090,139.629,1.0,1.0,30
MN,2095,143.181,1.0,1.0,30
MN,2100,146.428,1.0,1.0,30
MN,2105,149.414,1.0,1.0,30
MN,2110,152.094,1.0,1.0,30
MN,2115,154.868,1.0,1.0,30
MN,2120,157.086,1.0,1.0,30
MN,2125,159.358,1.0,1.0,30
NC,2025,39.132,1.0,1.0,24
NC,2030,59.194,1.0,1.0,24
NC,2035,72.909,1.0,1.0,24
NC,2040,84.013,1.0,1.0,24
NC,2045,95.313,1.0,1.0,24
NC,2050,106.143,1.0,1.0,24
NC,2055,115.994,1.0,1.0,24
NC,2060,125.488,1.0,1.0,24
NC,2065,134.362,1.0,1.0,24
NC,2070,142.591,1.0,1.0,24
NC,2075,149.731,1.0,1.0,24
NC,2080,156.037,1.0,1.0,24
NC,2085,161.596,1.0,1.0,24
NC,2090,166.588,1.0,1.0,24
NC,2095,170.617,1.0,1.0,24
NC,2100,174.39,1.0,1.0,24
NC,2105,177.859,1.0,1.0,24
NC,2110,180.913,1.0,1.0,24
NC,2115,183.842,1.0,1.0,24
NC,2120,186.576,1.0,1.0,24
NC,2125,189.017,1.0,1.0,24
NY,2025,24.742,1.0,1.0,24
NY,2030,43.898,0.9949,1.0085,24
NY,2035,53.957,0.9901,1.014,24
NY,2040,63.012,0.9894,1.0153,24
NY,2045,71.346,0.9873,1.0168,24
NY,2050,78.891,0.9866,1.0177,24
