state,year,n_models,ens_equal,ens_geom,ens_benchmark,median,between_sd,within_sd,anchor_se,lo90,hi90,crI_rel_pct
AL,2025,4,558,558,558,558,0,8.3,5.7,541.5,574.6,3
AL,2050,4,691.9,662.4,732.2,701.5,222.8,13.1,7.2,324.6,1059.2,53.1
AL,2075,4,786.9,724.8,847.1,797.4,335.8,16,8.1,233.7,1340.1,70.3
AL,2100,4,809.2,737.1,874.3,827.1,362.5,16.8,8.4,212,1406.4,73.8
AZ,2025,4,135.2,135.2,135.2,135.2,0,6.7,2.4,123.5,147,8.7
AZ,2050,4,163.5,156.3,164.8,167.3,53.7,8.9,3,73.8,253.2,54.9
AZ,2075,4,185.4,166.8,185.3,185.2,90.7,10.3,3.3,35.3,335.6,81
AZ,2100,4,171.6,154.6,178.6,186.9,79.5,11,3.3,39.4,303.7,77
AR,2025,4,464.9,464.9,464.9,464.9,0,4.8,4.8,453.7,476,2.4
AR,2050,4,564.2,549.8,592.8,624.9,134,6.5,6.5,343.2,785.2,39.2
AR,2075,4,609.1,576.4,651.5,695.9,201,6.8,7.2,278,940.2,54.4
AR,2100,4,607.5,563.3,653.6,662,238.5,5.9,6.9,214.8,1000.2,64.6
CA,2025,4,1002.6,1002.6,1002.6,1002.6,0,51,12,916.4,1088.9,8.6
CA,2050,4,1269.4,1171.9,1231.7,1156.2,592.2,69.3,13.9,288.2,2250.5,77.3
CA,2075,4,1470.8,1225.7,1390.9,1231.3,1016.9,77.6,14.8,0,3148.7,114.1
CA,2100,4,1580.6,1228,1465.8,1236.1,1279.4,80.6,14.8,0,3689.6,133.4
CO,2025,4,271.6,271.6,271.6,271.6,0,13.5,3.6,248.6,294.6,8.5
CO,2050,4,321.9,307.1,326.3,335.1,105.3,17.5,4.5,146.1,497.7,54.6
CO,2075,4,351.2,315.1,356.8,368.2,164.8,19.8,4.9,78,624.4,77.8
CO,2100,4,353.8,303.8,360.7,374.6,189.2,20.7,5,40.6,667,88.5
CT,2025,4,64.5,64.5,64.5,64.5,0,2.8,2.1,58.6,70.3,9
CT,2050,4,76.6,73.8,80.2,72.9,24.2,3.3,2.4,36.2,117,52.8
CT,2075,4,83.9,77.9,89.2,77.3,37.5,3.6,2.6,21.7,146.1,74.1
CT,2100,4,88.3,79.5,94.7,79.7,46.6,3.8,2.7,11.3,165.3,87.2
DE,2025,4,12.7,12.7,12.7,12.7,0,0.6,0.8,11.1,14.2,12.5
DE,2050,4,14.5,14.3,15,15.4,2.4,0.7,1,10.1,18.9,30.4
DE,2075,4,15.7,15.4,16.4,16.9,3.3,0.8,1,9.8,21.5,37.2
DE,2100,4,15.9,15.5,16.7,17.2,3.8,0.8,1.1,9.3,22.5,41.4
FL,2025,4,320,320.1,320,320,0,5.7,5.5,306.9,333.2,4.1
FL,2050,4,395.3,387.5,412.7,423,84.8,8.1,7.3,254.6,535.9,35.6
FL,2075,4,434.1,418.1,457.7,449.8,128.8,9.4,7.8,221.2,646.9,49
FL,2100,4,439.9,416.4,464.9,423.9,165.9,10,7.3,166.3,713.5,62.2
GA,2025,3,590.1,590.1,590.1,590.1,0,14.1,6.3,564.7,615.4,4.3
GA,2050,3,797.4,795,797.4,769.4,76.5,20,8.2,666.6,928.2,16.4
GA,2075,3,908.2,903.6,908.2,916.4,111.3,23.3,9.7,720.5,1096,20.7
GA,2100,3,951.1,946.5,951.1,996,111.4,24.3,10.6,762.8,1139.4,19.8
ID,2025,4,417.4,417.4,417.4,417.4,0,20.9,5.8,381.7,453.1,8.6
ID,2050,4,466.1,449.3,467.3,469.7,139.6,29.2,6.6,231.2,701.1,50.4
ID,2075,4,465.3,412.1,466.1,467.7,234.7,32.6,6.5,75.3,855.4,83.8
ID,2100,4,408.3,350.2,412.4,420.7,219.9,30.3,5.9,43,773.6,89.5
IL,2025,4,150.5,150.5,150.5,150.5,0,4.3,3.5,141.3,159.6,6.1
IL,2050,4,174.2,171.7,180.5,179.1,32.6,5.1,4.2,119.4,229,31.5
IL,2075,4,189,182.4,199.2,195.7,54.3,5.7,4.6,98.8,279.2,47.7
IL,2100,4,189.5,181.4,200.9,203.6,59.2,6,4.8,91.3,287.8,51.8
IN,2025,5,178.8,178.8,178.8,178.8,0,4.2,4.1,169.2,188.4,5.4
IN,2050,5,246.3,234.5,257.9,237.8,86.6,5.4,5.5,103.3,389.3,58.1
IN,2075,5,286.6,262.5,303.9,277.7,131.6,6.1,6.4,69.6,503.5,75.7
IN,2100,5,309.6,274.7,330.2,304.3,168.6,6.5,7,31.9,587.4,89.7
IA,2025,4,72.7,72.7,72.7,72.7,0,2.3,2.4,67.2,78.2,7.6
IA,2050,4,91.8,90.1,95.5,94.1,19.6,3,3.2,58.8,124.7,35.9
IA,2075,4,102.2,97.5,108.4,106.8,33.2,3.5,3.6,46.9,157.5,54.1
IA,2100,4,106.9,99.1,114.7,111.9,43.8,3.7,3.7,34.4,179.5,67.9
KS,2025,4,48.8,48.8,48.8,48.8,0,1.4,1.9,44.8,52.7,8
KS,2050,4,65.3,64.1,67.9,67.1,13.6,2.1,2.7,42.2,88.3,35.3
KS,2075,4,76.4,72.8,81.1,77.9,25.7,2.7,3.1,33.6,119.2,56
KS,2100,4,83,77,89,82.6,34.7,3.1,3.3,25.5,140.5,69.3
KY,2025,4,393.7,393.7,393.7,393.7,0,8.8,4.8,377.2,410.2,4.2
KY,2050,4,488.9,471.2,515.3,494.1,146.4,11.1,6,247.3,730.6,49.4
KY,2075,4,531,481.9,573.9,535.3,245.2,12.1,6.5,127.1,934.9,76.1
KY,2100,4,543.5,467.2,593.3,532.8,311.7,12.2,6.4,30.3,1056.8,94.4
LA,2025,4,339.7,339.7,339.7,339.7,0,5,4.6,328.5,350.9,3.3
LA,2050,4,435.3,421.6,457.7,455.5,119.1,7.5,6.2,238.7,631.8,45.2
LA,2075,4,498.7,471.6,531,512.1,178.3,9.3,7,204.8,792.5,58.9
LA,2100,4,524.8,491.2,561.3,531.4,204.4,10.1,7.2,187.9,861.7,64.2
ME,2025,4,374,374,374,374,0,9.7,3.4,357,391,4.5
ME,2050,4,512.6,508,512.6,490.6,82,13.3,4.5,375.7,649.5,26.7
ME,2075,4,621,600.8,621,542.8,197.8,14.2,5,294.8,947.3,52.5
ME,2100,4,704.5,664.2,704.5,570.6,305.7,15.1,5.2,200.9,1208.1,71.5
MD,2025,4,96.2,96.3,96.2,96.2,0,4.2,3.4,87.3,105.2,9.3
MD,2050,4,105.6,104.1,109.7,112.9,19.3,5.3,4,72.1,139.1,31.7
MD,2075,4,110.2,107.3,115.7,119.5,27,5.6,4.2,64.4,156,41.6
MD,2100,4,107.6,104.1,113.1,109.6,30.8,5.9,3.9,55.7,159.6,48.3
MA,2025,4,112.2,112.2,112.2,112.2,0,4.9,2.7,103,121.4,8.2
MA,2050,4,134.8,129.1,141.9,128.7,46,5.5,3.1,58.5,211.2,56.6
MA,2075,4,148.1,136,158.5,135.9,70.5,5.9,3.3,31.6,264.6,78.7
MA,2100,4,154.9,138.4,166.9,138,84.9,6.1,3.3,14.8,295,90.4
MI,2025,4,512.5,512.5,512.5,512.5,0,23.3,5.7,473.1,551.8,7.7
MI,2050,4,686.8,680.8,686.8,648.2,108.5,28.2,7.3,501.9,871.6,26.9
MI,2075,4,786.6,775,786.6,728,162.4,31.7,8.2,514,1059.2,34.7
MI,2100,4,847.5,831.5,847.5,778.2,200.3,34,8.7,513.1,1182,39.5
