year,total,rec_10yr,rec_15yr,err10_pct,err15_pct
2030,444.979540098914,444.98,444.98,0,0
2035,448.745396855856,448.68,448.64,-0.01,-0.02
2040,452.389596166755,452.39,452.3,0,-0.02
2045,455.956402470717,456.16,455.96,0.04,0
2050,459.935487061442,459.94,,0,
