variable,step,owner_class,owner_label,n_pixels,area_ha,mean_per_ha,total_TgC
Total_Ecosystem_C,1,0,Unknown,231657,12290.996819611608,213.58547082477955,2.625178342622613
Total_Ecosystem_C,1,3,Family,19758573,1045994.6745485778,210.11968976343874,219.78407651035621
Total_Ecosystem_C,1,6,Federal,8338733,435706.35214888654,196.74955114093183,85.7250292145462
Total_Ecosystem_C,1,7,State,12977237,678660.4417583823,198.83868859583538,134.94395224110704
Total_Ecosystem_C,1,4,Corporate,8569278,450365.8883540089,202.2628528710974,91.09228941430798
Total_Ecosystem_C,1,8,Local,639566,33721.4094308417,204.95074538604104,6.91122799831888
Total_Ecosystem_C,1,5,Tribal,11209,592.3941362806105,219.14469460575765,0.12982003208145595
Total_Ecosystem_C,2,0,Unknown,231657,12290.996819611608,214.1699118443537,2.6323617053354496
Total_Ecosystem_C,2,3,Family,19758573,1045994.6745485778,210.71001802544814,220.4015567286536
Total_Ecosystem_C,2,6,Federal,8338733,435706.35214888654,197.23061607347643,85.93463226145197
Total_Ecosystem_C,2,7,State,12977237,678660.4417583823,199.26447111945714,135.2329139966812
Total_Ecosystem_C,2,4,Corporate,8569278,450365.8883540089,202.74258790391028,91.30834570853528
Total_Ecosystem_C,2,8,Local,639566,33721.4094308417,205.47713557984576,6.928978617564549
Total_Ecosystem_C,2,5,Tribal,11209,592.3941362806105,219.64447991817576,0.13011610196993162
Total_Ecosystem_C,3,0,Unknown,231657,12290.996819611608,214.6708095724445,2.6385182377183645
Total_Ecosystem_C,3,3,Family,19758573,1045994.6745485778,211.2143888011274,220.92912587401202
Total_Ecosystem_C,3,6,Federal,8338733,435706.35214888654,197.73758970450007,86.15552389286096
Total_Ecosystem_C,3,7,State,12977237,678660.4417583823,199.66670040148196,135.5058910989083
Total_Ecosystem_C,3,4,Corporate,8569278,450365.8883540089,203.16952193457007,91.50062223252195
Total_Ecosystem_C,3,8,Local,639566,33721.4094308417,205.94217278077952,6.944660327417808
Total_Ecosystem_C,3,5,Tribal,11209,592.3941362806105,220.10431570338463,0.13038850599274135
Total_Ecosystem_C,4,0,Unknown,231657,12290.996819611608,215.22048570413455,2.6452743053047834
Total_Ecosystem_C,4,3,Family,19758573,1045994.6745485778,211.75981103269447,221.49963462361157
Total_Ecosystem_C,4,6,Federal,8338733,435706.35214888654,198.20478590961366,86.3590842471288
Total_Ecosystem_C,4,7,State,12977237,678660.4417583823,200.09394777318306,135.7958469889271
Total_Ecosystem_C,4,4,Corporate,8569278,450365.8883540089,203.6409019106794,91.71291569421471
Total_Ecosystem_C,4,8,Local,639566,33721.4094308417,206.44455563575733,6.961601385361551
Total_Ecosystem_C,4,5,Tribal,11209,592.3941362806105,220.6195588810819,0.1306937330299678
