variable,step,owner_class,owner_label,n_pixels,area_ha,mean_per_ha,total_TgC
Total_Ecosystem_C,5,0,Unknown,231657,12290.996819611608,215.83364294170332,2.652810618961663
Total_Ecosystem_C,5,3,Family,19758573,1045994.6745485778,212.38724261260288,222.15592471483936
Total_Ecosystem_C,5,6,Federal,8338733,435706.35214888654,198.83450490081825,86.63345681166541
Total_Ecosystem_C,5,7,State,12977237,678660.4417583823,200.5835807365544,136.12814151214815
Total_Ecosystem_C,5,4,Corporate,8569278,450365.8883540089,204.17180493616092,91.95201630691554
Total_Ecosystem_C,5,8,Local,639566,33721.4094308417,207.02611946871824,6.981212537482994
Total_Ecosystem_C,5,5,Tribal,11209,592.3941362806105,221.15520854714788,0.13101104875124595
Total_Biomass_C,1,0,Unknown,231657,12290.996819611608,60.28070271402502,0.7409099253420344
Total_Biomass_C,1,3,Family,19758573,1045994.6745485778,60.5060609064136,63.28901748602052
Total_Biomass_C,1,6,Federal,8338733,435706.35214888654,58.0714207333475,25.302086891830058
Total_Biomass_C,1,7,State,12977237,678660.4417583823,53.97371902133912,36.6298279943648
Total_Biomass_C,1,4,Corporate,8569278,450365.8883540089,56.19269577356779,25.30727335106942
Total_Biomass_C,1,8,Local,639566,33721.4094308417,57.718363772588766,1.9463445764537266
Total_Biomass_C,1,5,Tribal,11209,592.3941362806105,58.84315440728988,0.034858339631133085
Total_Biomass_C,2,0,Unknown,231657,12290.996819611608,61.096968425929,0.7509426446110041
Total_Biomass_C,2,3,Family,19758573,1045994.6745485778,61.28616199142744,64.10499906655456
Total_Biomass_C,2,6,Federal,8338733,435706.35214888654,58.71228371924484,25.581314965642626
Total_Biomass_C,2,7,State,12977237,678660.4417583823,54.696676432055064,37.12047059009378
Total_Biomass_C,2,4,Corporate,8569278,450365.8883540089,56.93076951523871,25.63967658740781
Total_Biomass_C,2,8,Local,639566,33721.4094308417,58.486189854348474,1.9722367541284247
Total_Biomass_C,2,5,Tribal,11209,592.3941362806105,59.70944921793186,0.035371527597247716
Total_Biomass_C,3,0,Unknown,231657,12290.996819611608,61.787673491135315,0.7594320983707447
Total_Biomass_C,3,3,Family,19758573,1045994.6745485778,61.93828074908019,64.78711181423257
Total_Biomass_C,3,6,Federal,8338733,435706.35214888654,59.34217375209011,25.855762054108585
Total_Biomass_C,3,7,State,12977237,678660.4417583823,55.34984800701298,37.56375229969874
Total_Biomass_C,3,4,Corporate,8569278,450365.8883540089,57.57244715761729,25.928666308854545
Total_Biomass_C,3,8,Local,639566,33721.4094308417,59.14249131966599,1.994368164550458
Total_Biomass_C,3,5,Tribal,11209,592.3941362806105,60.48620117290278,0.03583167090071699
Total_Biomass_C,4,0,Unknown,231657,12290.996819611608,62.52545323299309,0.7685001468314923
Total_Biomass_C,4,3,Family,19758573,1045994.6745485778,62.63717825114436,65.518154879447
Total_Biomass_C,4,6,Federal,8338733,435706.35214888654,59.94367539972983,26.117840142813233
Total_Biomass_C,4,7,State,12977237,678660.4417583823,56.03234250560624,38.02693431761171
Total_Biomass_C,4,4,Corporate,8569278,450365.8883540089,58.26301085787593,26.239672643186562
Total_Biomass_C,4,8,Local,639566,33721.4094308417,59.846843308017775,2.0181199063330957
Total_Biomass_C,4,5,Tribal,11209,592.3941362806105,61.30641138854594,0.03631755862298146
Total_Biomass_C,5,0,Unknown,231657,12290.996819611608,63.301019241165605,0.7780326261713396
Total_Biomass_C,5,3,Family,19758573,1045994.6745485778,63.392695314068405,66.30842170379613
Total_Biomass_C,5,6,Federal,8338733,435706.35214888654,60.68511242706147,26.440888965340015
Total_Biomass_C,5,7,State,12977237,678660.4417583823,56.74404420910296,38.50993811010699
Total_Biomass_C,5,4,Corporate,8569278,450365.8883540089,58.98308601714723,26.563969931973432
Total_Biomass_C,5,8,Local,639566,33721.4094308417,60.60195236096188,2.0435832478723595
Total_Biomass_C,5,5,Tribal,11209,592.3941362806105,62.11864017646865,0.03679871819426518
Dead_Organic_Matter_C,1,0,Unknown,231657,12290.996819611608,153.30476867957432,1.8842684242719412
Dead_Organic_Matter_C,1,3,Family,19758573,1045994.6745485778,149.61362870373364,156.49505886399362
Dead_Organic_Matter_C,1,6,Federal,8338733,435706.35214888654,138.6781293048532,60.422941842249195
Dead_Organic_Matter_C,1,7,State,12977237,678660.4417583823,144.86496877412847,98.31412370356428
Dead_Organic_Matter_C,1,4,Corporate,8569278,450365.8883540089,146.07015704680856,65.78501604039553
Dead_Organic_Matter_C,1,8,Local,639566,33721.4094308417,147.2323806189315,4.964883388328511
Dead_Organic_Matter_C,1,5,Tribal,11209,592.3941362806105,160.3015431140277,0.09496169417748349
Dead_Organic_Matter_C,2,0,Unknown,231657,12290.996819611608,153.07294027778477,1.8814190221228502
Dead_Organic_Matter_C,2,3,Family,19758573,1045994.6745485778,149.42385259807543,156.29655406811858
Dead_Organic_Matter_C,2,6,Federal,8338733,435706.35214888654,138.5183309335874,60.353316676825635
Dead_Organic_Matter_C,2,7,State,12977237,678660.4417583823,144.56779122483812,98.11244105668221
Dead_Organic_Matter_C,2,4,Corporate,8569278,450365.8883540089,145.8118149236835,65.66866756061505
Dead_Organic_Matter_C,2,8,Local,639566,33721.4094308417,146.9909422393923,4.956741745879751
Dead_Organic_Matter_C,2,5,Tribal,11209,592.3941362806105,159.93503165094037,0.09474457493587093
Dead_Organic_Matter_C,3,0,Unknown,231657,12290.996819611608,152.883136938457,1.8790861498828209
Dead_Organic_Matter_C,3,3,Family,19758573,1045994.6745485778,149.2761066610335,156.14201260478652
Dead_Organic_Matter_C,3,6,Federal,8338733,435706.35214888654,138.39541252573218,60.29976034572709
Dead_Organic_Matter_C,3,7,State,12977237,678660.4417583823,144.31684993340022,97.94213712897955
Dead_Organic_Matter_C,3,4,Corporate,8569278,450365.8883540089,145.59707332402544,65.5719552693185
Dead_Organic_Matter_C,3,8,Local,639566,33721.4094308417,146.7996780426237,4.950292047591056
Dead_Organic_Matter_C,3,5,Tribal,11209,592.3941362806105,159.6181153253097,0.09455683556287571
Dead_Organic_Matter_C,4,0,Unknown,231657,12290.996819611608,152.69503014742352,1.8767741299124812
Dead_Organic_Matter_C,4,3,Family,19758573,1045994.6745485778,149.12263108196052,155.9814779664029
Dead_Organic_Matter_C,4,6,Federal,8338733,435706.35214888654,138.26111078658948,60.241244224877974
Dead_Organic_Matter_C,4,7,State,12977237,678660.4417583823,144.0616029145291,97.76891107439495
Dead_Organic_Matter_C,4,4,Corporate,8569278,450365.8883540089,145.3778884095481,65.4732418605961
Dead_Organic_Matter_C,4,8,Local,639566,33721.4094308417,146.5977100862442,4.943481403442073
Dead_Organic_Matter_C,4,5,Tribal,11209,592.3941362806105,159.31314355634285,0.09437617207520863
Dead_Organic_Matter_C,5,0,Unknown,231657,12290.996819611608,152.53262189313148,1.8747779705754988
Dead_Organic_Matter_C,5,3,Family,19758573,1045994.6745485778,148.99454538073866,155.84750100503905
Dead_Organic_Matter_C,5,6,Federal,8338733,435706.35214888654,138.1493909487933,60.19256718188913
Dead_Organic_Matter_C,5,7,State,12977237,678660.4417583823,143.83953416452806,97.61820179841854
Dead_Organic_Matter_C,5,4,Corporate,8569278,450365.8883540089,145.188718283194,65.3880460885906
Dead_Organic_Matter_C,5,8,Local,639566,33721.4094308417,146.42416425378048,4.9376291933705465
Dead_Organic_Matter_C,5,5,Tribal,11209,592.3941362806105,159.03656882263016,0.09421233082471386
AG_Biomass_C,1,0,Unknown,231657,12290.996819611608,47.77053227376126,0.5871474602479533
AG_Biomass_C,1,3,Family,19758573,1045994.6745485778,47.88222689720687,50.084554340005056
AG_Biomass_C,1,6,Federal,8338733,435706.35214888654,45.63427232514703,19.8831423277587
AG_Biomass_C,1,7,State,12977237,678660.4417583823,42.393378531817845,28.77070900203382
AG_Biomass_C,1,4,Corporate,8569278,450365.8883540089,44.24657057167449,19.92714606213053
AG_Biomass_C,1,8,Local,639566,33721.4094308417,45.51922509307787,1.5349724263383222
AG_Biomass_C,1,5,Tribal,11209,592.3941362806105,46.81483950577919,0.027732836414141464
AG_Biomass_C,2,0,Unknown,231657,12290.996819611608,48.44513632031582,0.5954390164386525
AG_Biomass_C,2,3,Family,19758573,1045994.6745485778,48.52607889700741,50.75802010299387
AG_Biomass_C,2,6,Federal,8338733,435706.35214888654,46.15289208024927,20.109108249406646
AG_Biomass_C,2,7,State,12977237,678660.4417583823,42.97835712233902,29.167710830696112
AG_Biomass_C,2,4,Corporate,8569278,450365.8883540089,44.84782602178026,20.197931007045103
AG_Biomass_C,2,8,Local,639566,33721.4094308417,46.14644871830535,1.5561232910093148
AG_Biomass_C,2,5,Tribal,11209,592.3941362806105,47.52789789969473,0.028155248025522703
AG_Biomass_C,3,0,Unknown,231657,12290.996819611608,49.011958532086325,0.6024058264408091
AG_Biomass_C,3,3,Family,19758573,1045994.6745485778,49.06041248796272,51.31693019356555
AG_Biomass_C,3,6,Federal,8338733,435706.35214888654,46.662838432838846,20.331295114485076
AG_Biomass_C,3,7,State,12977237,678660.4417583823,43.504796534413494,29.5249844346536
AG_Biomass_C,3,4,Corporate,8569278,450365.8883540089,45.36732461062054,20.43189545050681
AG_Biomass_C,3,8,Local,639566,33721.4094308417,46.68014548008813,1.5741202980253064
AG_Biomass_C,3,5,Tribal,11209,592.3941362806105,48.16463690002316,0.02853244847565844
AG_Biomass_C,4,0,Unknown,231657,12290.996819611608,49.619956651712066,0.6098787293954588
AG_Biomass_C,4,3,Family,19758573,1045994.6745485778,49.63554973662273,51.91852069279844
AG_Biomass_C,4,6,Federal,8338733,435706.35214888654,47.14964197052151,20.543398508101966
AG_Biomass_C,4,7,State,12977237,678660.4417583823,44.05674373106769,29.899569162962237
AG_Biomass_C,4,4,Corporate,8569278,450365.8883540089,45.928852642534565,20.684788521435447
AG_Biomass_C,4,8,Local,639566,33721.4094308417,47.25507245509912,1.593507645942487
AG_Biomass_C,4,5,Tribal,11209,592.3941362806105,48.83963609267136,0.028932314039377384
AG_Biomass_C,5,0,Unknown,231657,12290.996819611608,50.26050907955202,0.6177517572488342
AG_Biomass_C,5,3,Family,19758573,1045994.6745485778,50.258566344138465,52.57019274641522
AG_Biomass_C,5,6,Federal,8338733,435706.35214888654,47.7504352537182,20.80516795791915
AG_Biomass_C,5,7,State,12977237,678660.4417583823,44.63363887869406,30.29108507869861
AG_Biomass_C,5,4,Corporate,8569278,450365.8883540089,46.515552820683844,20.949018268365105
AG_Biomass_C,5,8,Local,639566,33721.4094308417,47.87248508507986,1.6143276700258404
AG_Biomass_C,5,5,Tribal,11209,592.3941362806105,49.50971330283147,0.029329263849531502
Soil_C,1,0,Unknown,231657,12290.996819611608,86.23291512177693,1.0598884855075978
Soil_C,1,3,Family,19758573,1045994.6745485778,84.81608572959435,88.7171739892113
Soil_C,1,6,Federal,8338733,435706.35214888654,79.94025627112084,34.83047744973722
Soil_C,1,7,State,12977237,678660.4417583823,81.87496012213765,55.56529660543987
Soil_C,1,4,Corporate,8569278,450365.8883540089,82.71434517577553,37.25171954470828
Soil_C,1,8,Local,639566,33721.4094308417,83.39944280019702,2.8123467569695064
Soil_C,1,5,Tribal,11209,592.3941362806105,88.35097202611061,0.052338597762960175
Soil_C,2,0,Unknown,231657,12290.996819611608,86.23950798301334,1.059969518344087
Soil_C,2,3,Family,19758573,1045994.6745485778,84.82370086971075,88.72513938521901
Soil_C,2,6,Federal,8338733,435706.35214888654,79.94720534231334,34.833505204197316
Soil_C,2,7,State,12977237,678660.4417583823,81.87847839796807,55.56768432006916
Soil_C,2,4,Corporate,8569278,450365.8883540089,82.71936322536955,37.25397950307149
Soil_C,2,8,Local,639566,33721.4094308417,83.40465816528902,2.812522626431105
Soil_C,2,5,Tribal,11209,592.3941362806105,88.35332186329066,0.052339989792726846
Soil_C,3,0,Unknown,231657,12290.996819611608,86.24786818153623,1.060072273517543
Soil_C,3,3,Family,19758573,1045994.6745485778,84.83285102416758,88.73471039805216
Soil_C,3,6,Federal,8338733,435706.35214888654,79.95525734295231,34.837013512023226
Soil_C,3,7,State,12977237,678660.4417583823,81.8835475212746,55.5711245335317
Soil_C,3,4,Corporate,8569278,450365.8883540089,82.72594123977868,37.25694201637446
Soil_C,3,8,Local,639566,33721.4094308417,83.41142945439276,2.812750963843347
Soil_C,3,5,Tribal,11209,592.3941362806105,88.35807349839467,0.05234280463350022
Soil_C,4,0,Unknown,231657,12290.996819611608,86.25720453635101,1.060187026624878
Soil_C,4,3,Family,19758573,1045994.6745485778,84.84277428108682,88.74509007194385
Soil_C,4,6,Federal,8338733,435706.35214888654,79.9638144049203,34.840741878278415
Soil_C,4,7,State,12977237,678660.4417583823,81.88932093449324,55.57504272069712
Soil_C,4,4,Corporate,8569278,450365.8883540089,82.73327917326338,37.26024677130698
Soil_C,4,8,Local,639566,33721.4094308417,83.41884292417305,2.8130009564931115
Soil_C,4,5,Tribal,11209,592.3941362806105,88.36439178600205,0.052346547550030154
Soil_C,5,0,Unknown,231657,12290.996819611608,86.26768482444899,1.0603158398125592
Soil_C,5,3,Family,19758573,1045994.6745485778,84.85376868706702,88.75659016204897
Soil_C,5,6,Federal,8338733,435706.35214888654,79.97330949291613,34.84487894843241
Soil_C,5,7,State,12977237,678660.4417583823,81.89608750870744,55.57963492694252
Soil_C,5,4,Corporate,8569278,450365.8883540089,82.74164880009471,37.26401616573007
Soil_C,5,8,Local,639566,33721.4094308417,83.42729499445831,2.8132859722157386
Soil_C,5,5,Tribal,11209,592.3941362806105,88.37204272171253,0.05235107991948211
NBP,1,0,Unknown,231657,12290.996819611608,0.4624026439577797,0.005683389426265069
NBP,1,3,Family,19758573,1045994.6745485778,0.4832141929174928,0.5054394724579866
NBP,1,6,Federal,8338733,435706.35214888654,0.4820122054838081,0.21001577974258953
NBP,1,7,State,12977237,678660.4417583823,0.35788085161534333,0.24287957685413497
NBP,1,4,Corporate,8569278,450365.8883540089,0.39300285329983425,0.1769950791520401
NBP,1,8,Local,639566,33721.4094308417,0.44025913889923846,0.014846158678491025
NBP,1,5,Tribal,11209,592.3941362806105,0.40019237743626634,0.00023707161777744107
NBP,2,0,Unknown,231657,12290.996819611608,1.0468399698671567,0.012866706740279534
NBP,2,3,Family,19758573,1045994.6745485778,1.0735384607172325,1.1229155128333026
NBP,2,6,Federal,8338733,435706.35214888654,0.9630752214418431,0.41961799157940655
NBP,2,7,State,12977237,678660.4417583823,0.7836604386110713,0.5318393394563572
NBP,2,4,Corporate,8569278,450365.8883540089,0.8727348964920116,0.3930500269561688
NBP,2,8,Local,639566,33721.4094308417,0.9666468793740446,0.0325966951944176
NBP,2,5,Tribal,11209,592.3941362806105,0.899977830062745,0.0005331415893117179
NBP,3,0,Unknown,231657,12290.996819611608,1.5477411245934074,0.019023281239959663
NBP,3,3,Family,19758573,1045994.6745485778,1.577911161934625,1.6504866722943765
NBP,3,6,Federal,8338733,435706.35214888654,1.4700489560438745,0.6405096681181555
NBP,3,7,State,12977237,678660.4417583823,1.1858906956819875,0.8048171034086928
NBP,3,4,Corporate,8569278,450365.8883540089,1.2996696781812498,0.5853268891808675
NBP,3,8,Local,639566,33721.4094308417,1.4316847375469242,0.04827842721070697
NBP,3,5,Tribal,11209,592.3941362806105,1.3598099347260137,0.0008055434317878103
NBP,4,0,Unknown,231657,12290.996819611608,2.09741443794322,0.025779314186167586
NBP,4,3,Family,19758573,1045994.6745485778,2.1233330704323596,2.2209950839651285
NBP,4,6,Federal,8338733,435706.35214888654,1.9372470491899307,0.8440708450137393
NBP,4,7,State,12977237,678660.4417583823,1.613138206927528,1.0947730881307607
NBP,4,4,Corporate,8569278,450365.8883540089,1.771048431415429,0.7976198001323835
NBP,4,8,Local,639566,33721.4094308417,1.934068226612185,0.06521950653677142
NBP,4,5,Tribal,11209,592.3941362806105,1.8750531245260642,0.0011107704761838778
NBP,5,0,Unknown,231657,12290.996819611608,2.710574206007917,0.03331565894536457
NBP,5,3,Family,19758573,1045994.6745485778,2.7507659946643575,2.8772865813482396
NBP,5,6,Federal,8338733,435706.35214888654,2.5669654293381177,1.1184431433092117
NBP,5,7,State,12977237,678660.4417583823,2.1027727284846733,1.4270686688308871
NBP,5,4,Corporate,8569278,450365.8883540089,2.3019551486980205,1.0367220754944686
NBP,5,8,Local,639566,33721.4094308417,2.515632366151292,0.0848306689964648
NBP,5,5,Tribal,11209,592.3941362806105,2.4107050021482372,0.0014280875075749523
NEP,1,0,Unknown,231657,12290.996819611608,0.4624026439577797,0.005683389426265069
NEP,1,3,Family,19758573,1045994.6745485778,0.4832141929174928,0.5054394724579866
NEP,1,6,Federal,8338733,435706.35214888654,0.4820122054838081,0.21001577974258953
NEP,1,7,State,12977237,678660.4417583823,0.35788085161534333,0.24287957685413497
NEP,1,4,Corporate,8569278,450365.8883540089,0.39300285329983425,0.1769950791520401
NEP,1,8,Local,639566,33721.4094308417,0.44025913889923846,0.014846158678491025
NEP,1,5,Tribal,11209,592.3941362806105,0.40019237743626634,0.00023707161777744107
NEP,2,0,Unknown,231657,12290.996819611608,1.0468399698671567,0.012866706740279534
NEP,2,3,Family,19758573,1045994.6745485778,1.0735384607172325,1.1229155128333026
NEP,2,6,Federal,8338733,435706.35214888654,0.9630752214418431,0.41961799157940655
NEP,2,7,State,12977237,678660.4417583823,0.7836604386110713,0.5318393394563572
NEP,2,4,Corporate,8569278,450365.8883540089,0.8727348964920116,0.3930500269561688
NEP,2,8,Local,639566,33721.4094308417,0.9666468793740446,0.0325966951944176
NEP,2,5,Tribal,11209,592.3941362806105,0.899977830062745,0.0005331415893117179
NEP,3,0,Unknown,231657,12290.996819611608,1.5478159443793869,0.01902420084971118
NEP,3,3,Family,19758573,1045994.6745485778,1.5780182221456347,1.6505986567049484
NEP,3,6,Federal,8338733,435706.35214888654,1.4701901983038366,0.6405712082680127
NEP,3,7,State,12977237,678660.4417583823,1.1860260918329368,0.8049089914203086
NEP,3,4,Corporate,8569278,450365.8883540089,1.2997907771089772,0.5853814280070321
NEP,3,8,Local,639566,33721.4094308417,1.431841945069184,0.048283728469930697
NEP,3,5,Tribal,11209,592.3941362806105,1.3598339235190247,0.0008055576426081264
NEP,4,0,Unknown,231657,12290.996819611608,2.0974892607920625,0.025780233833564745
NEP,4,3,Family,19758573,1045994.6745485778,2.123440134393472,2.2211070722982877
NEP,4,6,Federal,8338733,435706.35214888654,1.9373882860938663,0.8441323828299419
NEP,4,7,State,12977237,678660.4417583823,1.6132736036716744,1.0948649765449558
NEP,4,4,Corporate,8569278,450365.8883540089,1.7711695315139262,0.7976743394858232
NEP,4,8,Local,639566,33721.4094308417,1.9342254408027661,0.06522480802086034
NEP,4,5,Tribal,11209,592.3941362806105,1.875077110596479,0.0011107846853913438
NEP,5,0,Unknown,231657,12290.996819611608,2.7106490262879066,0.033316578561187964
NEP,5,3,Family,19758573,1045994.6745485778,2.750873055453791,2.8773985663638393
NEP,5,6,Federal,8338733,435706.35214888654,2.5671066635722743,1.1185046799621745
NEP,5,7,State,12977237,678660.4417583823,2.1029081259801634,1.4271605577549895
NEP,5,4,Corporate,8569278,450365.8883540089,2.302076244157954,1.0367766127588571
NEP,5,8,Local,639566,33721.4094308417,2.515789576846671,0.08483597036269058
NEP,5,5,Tribal,11209,592.3941362806105,2.410728990941248,0.0014281017183952684
NPP,1,0,Unknown,231657,12290.996819611608,4.02021976372029,0.04941250833002581
NPP,1,3,Family,19758573,1045994.6745485778,3.9532792879616427,4.135109082211072
NPP,1,6,Federal,8338733,435706.35214888654,3.637500570865323,1.5848821046712225
NPP,1,7,State,12977237,678660.4417583823,3.597264678197841,2.4413212356275715
NPP,1,4,Corporate,8569278,450365.8883540089,3.707476074888131,1.6697207560182272
NPP,1,8,Local,639566,33721.4094308417,3.7859165700975486,0.12766644273126732
NPP,1,5,Tribal,11209,592.3941362806105,4.075504948701704,0.0024143052339934998
NPP,2,0,Unknown,231657,12290.996819611608,8.167228324484304,0.10038337736127843
NPP,2,3,Family,19758573,1045994.6745485778,8.019823072542765,8.388692224701543
NPP,2,6,Federal,8338733,435706.35214888654,7.280658631822022,3.1722292137124763
NPP,2,7,State,12977237,678660.4417583823,7.265092086598762,4.930530604906442
NPP,2,4,Corporate,8569278,450365.8883540089,7.505297533049601,3.380129990833035
NPP,2,8,Local,639566,33721.4094308417,7.662753562583273,0.2583988502515114
NPP,2,5,Tribal,11209,592.3941362806105,8.250361497613405,0.0048874657733814966
NPP,3,0,Unknown,231657,12290.996819611608,12.237675381513053,0.15041322919361622
NPP,3,3,Family,19758573,1045994.6745485778,12.008603995966567,12.5609358285438
NPP,3,6,Federal,8338733,435706.35214888654,10.957911950726931,4.77443184321992
NPP,3,7,State,12977237,678660.4417583823,10.914454733096859,7.407208670715381
NPP,3,4,Corporate,8569278,450365.8883540089,11.256200734445061,5.069408843259397
NPP,3,8,Local,639566,33721.4094308417,11.485518234146033,0.38730786289903635
NPP,3,5,Tribal,11209,592.3941362806105,12.388001662060434,0.007338579544839058
NPP,4,0,Unknown,231657,12290.996819611608,16.363727576823504,0.20112652360372846
NPP,4,3,Family,19758573,1045994.6745485778,16.04590267404442,16.783928745375245
NPP,4,6,Federal,8338733,435706.35214888654,14.602334744755543,6.36233000449438
NPP,4,7,State,12977237,678660.4417583823,14.593305145217151,9.903898916567943
NPP,4,4,Corporate,8569278,450365.8883540089,15.056843995604442,6.781088921888119
NPP,4,8,Local,639566,33721.4094308417,15.351843697716317,0.5176858068489787
NPP,4,5,Tribal,11209,592.3941362806105,16.5848202803652,0.009824750285356095
NPP,5,0,Unknown,231657,12290.996819611608,20.56132795801262,0.2527192165389243
NPP,5,3,Family,19758573,1045994.6745485778,20.17381898083911,21.101707219264725
NPP,5,6,Federal,8338733,435706.35214888654,18.417144810699206,8.024466982467546
NPP,5,7,State,12977237,678660.4417583823,18.340548164691334,12.447004519540307
NPP,5,4,Corporate,8569278,450365.8883540089,18.923724113651968,8.522599821411049
NPP,5,8,Local,639566,33721.4094308417,19.30489837547933,0.6509883821403292
NPP,5,5,Tribal,11209,592.3941362806105,20.807334786914613,0.012326143119395783
