year,gcbm_ag_TgC,libcbm_TgC,gcbm_over_libcbm_pct
2030,444.98,406.61,9.4
2035,448.75,436.614,2.8
2040,452.39,463.685,-2.4
2045,455.96,487.738,-6.5
2050,459.94,509.252,-9.7
