ageclass,mean_C,n
1,32.4205302191335,1012620
2,49.6574908146616,24912452
3,61.1098863621436,34034977
4,75.9271077388611,26936047
5,83.459967321373,23601175
6,83.2632819198664,11236793
7,87.5990681191326,1717269
8,122.529316572785,5481
