state,CBM,CEM,FVS_cal,FVS_def,LANDIS,YieldCurve
IN,306.549,126.434,313.027,359.261,583.234,230.707
NH,214.658,77.737,290.652,407.751,271.111,177.827
OH,408.998,155.804,510.64,605.48,783.804,365.616
