CBM,CEM,FVS_cal,FVS_def,LANDIS,YieldCurve,state,n_models
1,1,1,1,0,1,AL,5
1,1,1,1,0,1,AR,5
1,1,1,1,0,1,AZ,5
1,1,1,1,0,1,CA,5
1,1,1,1,0,1,CO,5
1,1,1,1,0,1,CT,5
1,0,1,1,0,1,DE,4
1,1,1,1,0,1,FL,5
1,0,1,1,0,1,GA,4
1,1,1,1,0,1,IA,5
1,1,1,1,0,1,ID,5
1,1,1,1,0,1,IL,5
1,1,1,1,1,1,IN,6
1,1,1,1,0,1,KS,5
1,1,1,1,0,1,KY,5
1,1,1,1,0,1,LA,5
1,1,1,1,0,1,MA,5
1,1,1,1,0,1,MD,5
1,0,1,1,1,1,ME,5
1,0,1,1,1,1,MI,5
1,0,1,1,1,1,MN,5
1,1,1,1,0,1,MO,5
1,1,1,1,0,1,MS,5
1,1,1,1,0,1,MT,5
1,0,1,1,0,1,NC,4
1,1,1,1,0,1,ND,5
1,1,1,1,0,1,NE,5
1,1,1,1,1,1,NH,6
1,1,1,1,0,1,NJ,5
1,1,1,1,0,1,NM,5
1,1,1,1,0,1,NV,5
1,1,1,1,0,1,NY,5
1,1,1,1,1,1,OH,6
1,1,1,1,0,1,OK,5
1,0,1,1,0,1,OR,4
1,0,1,1,0,1,PA,4
1,1,1,1,0,1,RI,5
1,0,1,1,0,1,SC,4
1,1,1,1,0,1,SD,5
1,1,1,1,0,1,TN,5
1,1,1,1,0,1,TX,5
1,1,1,1,0,1,UT,5
1,0,1,1,0,1,VA,4
1,0,1,1,1,1,VT,5
1,1,1,1,1,1,WA,6
1,0,1,1,1,1,WI,5
1,1,1,1,0,1,WV,5
1,1,1,1,0,1,WY,5
