model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CEM,13,reserve,2040,487.614,4.207
CEM,13,reserve,2045,467.385,5.304
CEM,13,reserve,2050,450.259,5.305
CEM,13,reserve,2055,436.984,4.846
CEM,13,reserve,2060,425.546,4.768
CEM,13,reserve,2065,415.857,4.526
CEM,13,reserve,2070,408.217,5.205
CEM,13,reserve,2075,401.479,4.826
CEM,13,reserve,2080,396.101,4.707
CEM,13,reserve,2085,390.859,4.672
CEM,13,reserve,2090,386.409,4.681
CEM,13,reserve,2095,382.686,4.58
CEM,13,reserve,2100,379.375,4.298
CEM,19,reserve,2025,72.67,1.763
CEM,19,reserve,2030,70.705,1.989
CEM,19,reserve,2035,68.923,2.321
CEM,19,reserve,2040,68.245,2.336
CEM,19,reserve,2045,67.232,2.848
CEM,19,reserve,2050,66.249,2.631
CEM,19,reserve,2055,65.021,2.934
CEM,19,reserve,2060,63.686,2.637
CEM,19,reserve,2065,62.219,2.534
CEM,19,reserve,2070,60.657,2.501
CEM,19,reserve,2075,59.411,2.479
CEM,19,reserve,2080,58.092,2.433
CEM,19,reserve,2085,57.034,2.499
CEM,19,reserve,2090,55.872,2.404
CEM,19,reserve,2095,54.923,2.56
CEM,19,reserve,2100,54.106,2.409
CEM,16,reserve,2025,417.43,6.558
CEM,16,reserve,2030,391.805,7.735
CEM,16,reserve,2035,374.31,9.319
CEM,16,reserve,2040,355.993,11.429
CEM,16,reserve,2045,337.746,12.595
CEM,16,reserve,2050,319.42,13.107
CEM,16,reserve,2055,280.879,13.737
CEM,16,reserve,2060,261.79,12.581
CEM,16,reserve,2065,248.21,15.281
CEM,16,reserve,2070,236.751,15.79
CEM,16,reserve,2075,229.284,16.004
CEM,16,reserve,2080,222.026,14.861
CEM,16,reserve,2085,215.958,14.523
CEM,16,reserve,2090,211.907,15.898
CEM,16,reserve,2095,208.737,15.991
CEM,16,reserve,2100,205.518,15.752
CEM,17,reserve,2025,150.46,3.191
CEM,17,reserve,2030,142.707,2.962
CEM,17,reserve,2035,139.183,3.569
CEM,17,reserve,2040,136.249,3.84
CEM,17,reserve,2045,133.418,4.098
CEM,17,reserve,2050,130.464,4.017
CEM,17,reserve,2055,127.581,4.207
CEM,17,reserve,2060,124.534,4.138
CEM,17,reserve,2065,122.336,4.239
CEM,17,reserve,2070,120.283,3.936
CEM,17,reserve,2075,118.501,3.791
CEM,17,reserve,2080,116.837,3.84
CEM,17,reserve,2085,115.396,3.98
CEM,17,reserve,2090,114.078,3.923
CEM,17,reserve,2095,112.866,3.892
CEM,17,reserve,2100,111.761,3.745
CEM,18,reserve,2025,178.8,4.318
CEM,18,reserve,2030,162.361,4.318
CEM,18,reserve,2035,155.081,4.306
CEM,18,reserve,2040,150.089,4.971
CEM,18,reserve,2045,145.938,4.726
CEM,18,reserve,2050,142.539,4.868
CEM,18,reserve,2055,139.488,4.817
CEM,18,reserve,2060,136.722,4.69
CEM,18,reserve,2065,134.385,4.616
CEM,18,reserve,2070,132.241,4.472
CEM,18,reserve,2075,130.962,4.758
CEM,18,reserve,2080,129.458,4.635
CEM,18,reserve,2085,128.266,4.815
CEM,18,reserve,2090,127.338,4.837
CEM,18,reserve,2095,126.434,4.652
CEM,18,reserve,2100,125.834,4.609
CEM,20,reserve,2025,48.76,1.242
CEM,20,reserve,2030,48.482,1.658
CEM,20,reserve,2035,48.214,1.872
CEM,20,reserve,2040,47.986,2.038
CEM,20,reserve,2045,47.571,2.129
CEM,20,reserve,2050,47.293,2.375
CEM,20,reserve,2055,46.652,2.058
CEM,20,reserve,2060,46.208,1.924
CEM,20,reserve,2065,45.547,2.021
