PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_1999_Mgha,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha
20002,64732237010661,1999,46.578709,-95.077572,159,6,32.915,,,,,34.915,,,,,39.4,,,,,23.51,,,,,31.624,,,,,9.964
20011,65002538010661,1999,45.311461,-93.227435,3,6,18.705,,,,,21.074,,,,,20.397,,,,,25.163,,,,,24.217,,,,,26.671
20011,64920325010661,1999,44.823629,-93.809245,19,6,195.257,,,,,183.778,,,,,218.989,,,,,229.959,,,,,228.835,,,,,221.892
20011,64750278010661,1999,45.995819,-93.690339,95,6,139.622,,,,,154.827,,,,,170.741,,,,,174.494,,,,,94.368,,,,,103.139
20011,64902159010661,1999,48.46739,-95.01599,77,6,66.59,,,,,69.462,,,,,81.684,,,,,89.276,,,,,95.745,,,,,110.087
20015,64946295010661,1999,47.241266,-95.383424,29,6,34.142,,,,,54.567,,,,,11.847,,,,,21.741,,,,,33.029,,,,,26.062
20029,65023650010661,1999,47.613532,-94.736555,7,6,62.391,,,,,70.419,,,,,77.417,,,,,76.278,,,,,73.196,,,,,77.442
20036,64824622010661,1999,47.473484,-93.72711,61,6,139.253,,,,,157.079,,,,,170.157,,,,,185.464,,,,,182.315,,,,,162.511
20036,65119744010661,1999,44.201641,-92.413009,157,6,20.698,,,,,18.329,,,,,10.966,,,,,14.126,,,,,23.787,,,,,31.278
20037,64756188010661,1999,46.087461,-93.970952,97,6,98.713,,,,,93.592,,,,,110.398,,,,,106.184,,,,,121.172,,,,,132.906
20041,65004450010661,1999,47.07464,-95.649264,5,6,145.21,,,,,134.166,,,,,124.067,,,,,134.386,,,,,161.885,,,,,139.35
20041,64747273010661,1999,46.147939,-93.443474,95,6,125.895,,,,,128.428,,,,,112.414,,,,,123.539,,,,,115.655,,,,,121.392
20042,64826100010661,1999,46.113621,-93.125467,65,6,150.679,,,,,185.886,,,,,196.488,,,,,214.87,,,,,242.152,,,,,261.248
