PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha
98838,26490,2001,47.291909,-121.084648,37,4,83.292,112.307,,,,,,,,,,141.754,,,,,,,,,,118.596
50709,24170347010900,2002,48.678786,-120.440782,47,3,,102.797,,,,,,,,,,102.819,,,,,,,,,,90.592
51117,22398376010497,2002,46.092285,-121.508036,77,3,,302.385,,,,,,,,,,194.021,,,,,,,,,,124.714
51129,24150101010900,2002,47.376374,-121.783681,33,3,,213.272,,,,,,,,,,246.141,,,,,,,,,,266.016
51138,22398267010497,2002,47.448326,-123.320915,45,3,,12.227,,,,,,,,,,24.89,,,,,,,,,,40.074
51153,24183298010900,2002,47.07776,-121.946422,53,3,,1.449,,,,,,,,,,70.043,,,,,,,,,,160.878
51237,24142021010900,2002,47.086285,-123.747473,27,3,,44.664,,,,,,,,,,121.52,,,,,,,,,,183.068
51253,24152479010900,2002,47.499584,-122.766283,35,3,,0.385,,,,,,,,,,1.46,,,,,,,,,,4.717
51567,24180244010900,2002,48.769319,-117.37381,51,3,,295.12,,,,,,,,,,345.168,,,,,,,,,,393.383
51728,24204972010900,2002,48.897025,-121.908967,73,3,,373.985,,,,,,,,,,385.478,,,,,,,,,,379.613
51780,24156401010900,2002,47.485525,-120.965955,37,3,,8.823,,,,,,,,,,13.118,,,,,,,,,,14.845
52030,24180847010900,2002,48.861347,-117.214594,51,3,,153.763,,,,,,,,,,144.884,,,,,,,,,,122.075
52551,24183014010900,2002,47.048554,-121.740165,53,3,,407.651,,,,,,,,,,420.523,,,,,,,,,,400.897
52832,22398192010497,2002,47.871931,-120.649582,7,3,,132.875,,,,,,,,,,175.311,,,,,,,,,,229.461
52922,24167614010900,2002,48.375168,-119.666721,47,3,,9.036,,,,,,,,,,11.607,,,,,,,,,,28.406
52940,22398194010497,2002,47.975229,-120.756324,7,3,,84.341,,,,,,,,,,135.558,,,,,,,,,,80.556
52988,22398221010497,2002,48.786508,-118.340052,19,3,,100.64,,,,,,,,,,117.18,,,,,,,,,,95.542
53050,24185085010900,2002,48.408105,-121.845518,57,3,,76.63,,,,,,,,,,142.385,,,,,,,,,,232.129
