PLOT,FIA_PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha,BIOM_2025_Mgha
1,10492,54793640010661,2002,46.494837,-88.305697,13,5,,,59.191,,,,,64.283,,,,,67.321,,,,,,77.573,,,,,,,71.637
2,20001,54927534010661,2002,44.574226,-84.456955,39,5,,,98.317,,,,,109.209,,,,,118.497,,,,,,126.865,,,,,,,138.452
3,20001,55151721010661,2000,45.066165,-84.189712,119,5,103.729,,,,,105.826,,,,,102.536,,,,,99.621,,,,,,,98.816,,,
4,20001,55144084010661,2001,46.092501,-84.886867,97,5,,116.705,,,,,117.599,,,,,132.02,,,,,,120.251,,,,,,,40.729,
5,20001,55619674010661,2002,42.732422,-83.349848,125,5,,,5.64,,,,,17.406,,,,,13.743,,,,,,10.782,,,,,,,10.824
6,20001,54673633010661,2001,41.772459,-85.208369,23,5,,266.165,,,,,290.248,,,,,317.824,,,,,,375.712,,,,,,,426.136,
7,20002,54937460010661,2000,42.706609,-82.770931,99,5,11.577,,,,,18.847,,,,,15.719,,,,,20.26,,,,,,,13.226,,,
8,20002,55081889010661,2001,42.551615,-84.082986,93,5,,118.512,,,,,147.191,,,,,169.787,,,,,,234.011,,,,,,,28.143,
9,20003,54741244010661,2002,46.35943,-86.731521,3,5,,,131.1,,,,,141.217,,,,,133.032,,,,,,153.535,,,,,,,167.52
10,20003,54741986010661,2000,44.367314,-83.664834,69,5,36.032,,,,,51.2,,,,,61.961,,,,,74.259,,,,,,,76.95,,,
11,20003,55389498010661,2001,42.765016,-83.216567,125,5,,49.532,,,,,31.502,,,,,45.943,,,,,,58.587,,,,,,,68.261,
12,20004,55332955010661,2000,42.966195,-86.036177,139,5,106.413,,,,,49.778,,,,,55.991,,,,,,78.009,,,,,,,100.742,,
13,20004,55223669010661,2000,43.650243,-86.096963,127,5,118.183,,,,,109.302,,,,,121.117,,,,,,158.129,,,,,,,173.449,,
