PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha
1,26490,2001,47.291909,-121.084648,37,4,83.292,112.307,,,,,,,,,,141.754,,,,,,,,,,118.596
2,13229216010497,2002,47.966031,-123.1849,9,3,,313.71,,,,,,,,,,373.693,,,,,,,,,,430.751
3,13229700010497,2002,47.988292,-124.102919,9,3,,239.931,,,,,,,,,,325.122,,,,,,,,,,360.879
4,13230130010497,2002,46.388136,-122.169526,41,3,,778.188,,,,,,,,,,757.642,,,,,,,,,,781.002
5,13384702010497,2002,47.428243,-123.257907,45,3,,21.996,,,,,,,,,,45.048,,,,,,,,,,60.66
6,22398184010497,2002,47.771242,-120.482857,7,3,,34.859,,,,,,,,,,82.946,,,,,,,,,,93.207
7,22398186010497,2002,47.88475,-121.058265,7,3,,111.826,,,,,,,,,,140.418,,,,,,,,,,144.426
8,22398189010497,2002,47.719476,-120.265152,7,3,,24.327,,,,,,,,,,24.416,,,,,,,,,,12.215
9,22398190010497,2002,47.873846,-120.504291,7,3,,73.959,,,,,,,,,,39.314,,,,,,,,,,32.454
10,22398191010497,2002,47.901023,-120.435578,7,2,,11.937,,,,,,,,,,,,,,,,,,,,26.499
11,22398192010497,2002,47.871931,-120.649582,7,3,,132.875,,,,,,,,,,175.311,,,,,,,,,,229.461
12,22398194010497,2002,47.975229,-120.756324,7,3,,84.341,,,,,,,,,,135.558,,,,,,,,,,80.556
13,22398195010497,2002,47.68175,-120.74593,7,3,,90.187,,,,,,,,,,124.925,,,,,,,,,,8.502
14,22398196010497,2002,47.909907,-120.24508,7,3,,123.741,,,,,,,,,,45.768,,,,,,,,,,27.693
15,22398197010497,2002,47.869583,-120.554193,7,3,,259.137,,,,,,,,,,240.514,,,,,,,,,,13.864
