PLOT,FIA_PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha,BIOM_2025_Mgha
1089,20423,64331261010661,2002,45.364462,-90.830911,119,5,,,29.963,,,,,33.725,,,,,42.835,,,,,,52.446,,,,,,,57.798
1090,20425,63681219010661,2000,43.026819,-90.75775,43,5,107.789,,,,,121.956,,,,,101.584,,,,,,92.041,,,,,,,101.102,,
1091,20425,64256602010661,2002,45.898892,-92.673118,13,5,,,49.154,,,,,75.74,,,,,77.967,,,,,,79.614,,,,,,,79.118
1092,20425,64331482010661,2002,45.137757,-90.174633,119,5,,,106.179,,,,,103.184,,,,,108.459,,,,,,138.887,,,,,,,149.949
1093,20426,63614735010661,2000,44.237935,-91.104519,53,5,78.335,,,,,77.329,,,,,91.328,,,,,,113.223,,,,,,,127.323,,
1094,20426,64332034010661,2002,45.346104,-90.615534,119,5,,,30.77,,,,,33.517,,,,,39.225,,,,,,45.174,,,,,,,52.63
1095,20427,64035095010661,2002,45.383593,-90.938418,107,5,,,33.634,,,,,38.502,,,,,30.136,,,,,,29.064,,,,,,,45.121
1096,20428,63841973010661,2000,44.443699,-90.555587,19,5,34.132,,,,,47.723,,,,,62.59,,,,,,77.212,,,,,,,90.266,,
1097,20428,64274825010661,2001,42.90032,-90.772086,43,5,,47.12,,,,,45.819,,,,,51.997,,,,,65.903,,,,,,,72.05,,
1098,20428,64474290010661,2002,45.360409,-88.35513,83,5,,,150.56,,,,,156.021,,,,,159.401,,,,,,166.692,,,,,,,173.549
1099,20431,63653037010661,2000,45.235058,-87.051015,29,5,212.562,,,,,203.012,,,,,224.922,,,,,,217.508,,,,,,,247.022,,
1100,20431,64211851010661,2001,46.32834,-92.078503,31,5,,8.114,,,,,8.032,,,,,9.332,,,,,,10.958,,,,,,,7.673,
1101,20432,64462807010661,2002,43.909117,-90.793048,81,5,,,22.846,,,,,38.812,,,,,55.985,,,,,,77.331,,,,,,,101.566
1102,20433,64108341010661,2001,44.353654,-90.679916,53,5,,1.607,,,,,2.506,,,,,3.317,,,,,,4.701,,,,,,,4.262,
1103,20433,64489815010661,2002,45.67945,-88.076452,75,5,,,83.46,,,,,96.528,,,,,109.78,,,,,,117.158,,,,,,,130.357
1104,20434,63681318010661,2000,43.021485,-90.91834,43,5,124.74,,,,,139.453,,,,,151.205,,,,,172.738,,,,,,,208.084,,,
1105,20435,63653287010661,2000,45.101572,-87.134685,29,5,15.107,,,,,17.897,,,,,22.625,,,,,,20.394,,,,,,,27.285,,
1106,20436,63801122010661,2001,46.145112,-89.458897,125,5,,72.758,,,,,78.629,,,,,73.623,,,,,,94.567,,,,,,,122.896,
1107,20437,63801425010661,2001,46.067934,-89.378005,125,5,,133.051,,,,,152.427,,,,,164.872,,,,,,150.959,,,,,,,178.909,
1108,20439,63801696010661,2001,46.013857,-88.970237,125,5,,101.309,,,,,118.226,,,,,130.986,,,,,,152.936,,,,,,,181.818,
1109,20439,63975553010661,2002,45.680173,-92.328217,95,5,,,73.684,,,,,94.93,,,,,118.574,,,,,,144.466,,,,,,,188.263
1110,20440,64202295010661,2001,46.423912,-91.770841,31,5,,59.839,,,,,83.853,,,,,106.797,,,,,,,151.338,,,,,,,185.865
1111,20441,64371070010661,2002,46.210254,-89.742449,125,5,,,209.246,,,,,213.203,,,,,252.176,,,,,,268.163,,,,,,,261.368
1112,20441,64109720010661,2001,44.18679,-91.054903,53,5,,23.68,,,,,23.72,,,,,19.279,,,,,,38.464,,,,,,,50.042,
1113,20441,64534712010661,2001,45.087836,-91.587478,17,5,,93.849,,,,,99.896,,,,,103.718,,,,,,127.395,,,,,,,152.432,
1114,20442,63785075010661,2000,45.784657,-89.704529,85,5,74.713,,,,,116.429,,,,,129.729,,,,,148.881,,,,,,,83.18,,,
1115,20442,64201381010661,2001,46.549108,-91.992245,31,5,,0.732,,,,,13.678,,,,,18.51,,,,,,18.419,,,,,,,25.567,
1116,20442,64552241010661,2001,44.456686,-90.493377,19,5,,83.063,,,,,95.031,,,,,113.329,,,,,,,132.949,,,,,,,154.932
1117,20442,64371577010661,2002,46.111571,-89.089611,125,5,,,238.784,,,,,265.199,,,,,292.232,,,,,,282.25,,,,,,,215.907
1118,20444,63657143010661,2000,46.46422,-91.554176,31,5,8.494,,,,,14.261,,,,,23.903,,,,,35.781,,,,,,,41.266,,,
1119,20444,64485482010661,2001,46.369583,-91.195221,7,5,,77.959,,,,,83.244,,,,,116.915,,,,,,158.15,,,,,,,155.3,
1120,20445,64305225010661,2001,46.245377,-90.716398,3,5,,53.134,,,,,61.37,,,,,62.856,,,,,59.633,,,,,,,75.408,,
1121,20445,64373129010661,2002,46.081098,-89.797791,125,5,,,96.42,,,,,94.793,,,,,113.84,,,,,,136.607,,,,,,,171.177
1122,20446,64536099010661,2001,44.888327,-90.978754,17,5,,134.863,,,,,163.193,,,,,179.894,,,,,,,190.781,,,,,,,166.11
1123,20447,64373855010661,2002,46.019735,-89.487547,125,5,,,237.716,,,,,211.325,,,,,227.502,,,,,,243.354,,,,,,,280.567
1124,20448,63860454010661,2000,46.401506,-91.240153,7,5,11.126,,,,,14.598,,,,,23.622,,,,,,30.995,,,,,,,62.291,,
1125,20448,63681666010661,2000,42.708322,-90.824035,43,5,12.204,,,,,26.828,,,,,35.896,,,,,47.092,,,,,,,66.327,,,
1126,20448,63977138010661,2002,45.210386,-92.400454,95,5,,,218.498,,,,,251.88,,,,,233.799,,,,,,290.648,,,,,,,311.772
1127,20448,63998615010661,2002,45.673316,-90.384595,99,5,,,67.352,,,,,87.955,,,,,114.788,,,,,,148.308,,,,,,,162.104
1128,20450,63977874010661,2002,45.55127,-92.262634,95,5,,,116.596,,,,,133.887,,,,,145.98,,,,,,151.8,,,,,,,57.353
1129,20450,64374262010661,2002,45.908384,-89.854836,125,5,,,80.956,,,,,94.059,,,,,106.357,,,,,,128.899,,,,,,,106.755
1130,20450,64387950010661,2001,45.595569,-89.645976,85,5,,50.59,,,,,69.851,,,,,87.781,,,,,,121.257,,,,,,,175.116,
1131,20451,63653619010661,2000,44.778076,-87.408614,29,5,39.849,,,,,67.755,,,,,104.376,,,,,117.991,,,,,,,95.491,,,
1132,20451,64051212010661,2002,45.990698,-91.460776,113,5,,,55.915,,,,,58.288,,,,,70.698,,,,,,85.759,,,,,,,82.883
1133,20452,63681871010661,2000,43.00302,-91.033127,43,5,62.917,,,,,76.388,,,,,88.399,,,,,102.303,,,,,,,50.993,,,
1134,20453,64440859010661,2001,46.920407,-90.818549,7,5,,18.332,,,,,23.744,,,,,36.708,,,,,,56.296,,,,,,,81.909,
1135,20457,63999445010661,2002,45.579923,-90.590695,99,5,,,72.309,,,,,86.51,,,,,108.686,,,,,,116.437,,,,,,,145.584
1136,20458,64197786010661,2001,45.208655,-87.050672,29,5,,85.32,,,,,86.375,,,,,74.175,,,,,,,79.161,,,,,,,92.821
1137,20459,64198402010661,2001,45.195253,-87.359476,29,5,,169.173,,,,,187.144,,,,,204.623,,,,,,208.471,,,,,,,233.963,
1138,20460,63828385010661,2000,45.612295,-90.068313,99,5,72.924,,,,,86.826,,,,,80.995,,,,,,108.699,,,,,,,143.202,,
1139,20460,64198718010661,2001,45.137626,-87.229365,29,5,,44.724,,,,,51.497,,,,,57.322,,,,,,60.326,,,,,,,64.355,
1140,20461,64275721010661,2001,43.04512,-90.834494,43,5,,141.479,,,,,147.627,,,,,159.487,,,,,128.96,,,,,,,154.667,,
1141,20461,64122589010661,2002,44.271463,-90.335256,53,5,,,10.166,,,,,21.98,,,,,38.472,,,,,,64.449,,,,,,,86.958
1142,20462,63644478010661,2000,45.63016,-88.008626,75,5,127.54,,,,,141.836,,,,,74.513,,,,,,70.321,,,,,,,156.842,,
1143,20462,64558004010661,2001,44.458783,-90.79817,19,5,,96.604,,,,,114.299,,,,,134.873,,,,,,112.24,,,,,,,146.672,
1144,20462,64122705010661,2002,44.29389,-91.155896,53,5,,,15.708,,,,,20.781,,,,,26.714,,,,,,26.317,,,,,,,11.824
1145,20463,63641147010661,2000,44.770394,-89.755326,73,5,27.074,,,,,31.825,,,,,34.089,,,,,,39.54,,,,,,,33.99,,
1146,20463,64276131010661,2001,42.947364,-91.017176,43,5,,108.749,,,,,82.876,,,,,70.009,,,,,78.328,,,,,,,80.414,,
1147,20463,64547815010661,2001,44.922291,-90.352089,19,5,,40.935,,,,,45.016,,,,,53.171,,,,,,58.587,,,,,,,72.907,
1148,20464,63719255010661,2000,45.902687,-90.304794,99,5,32.72,,,,,58.491,,,,,95.358,,,,,,126.072,,,,,,,148.243,,
1149,20464,64123073010661,2002,44.177145,-90.345462,53,5,,,33.163,,,,,30.981,,,,,33.181,,,,,,30.571,,,,,,,43.858
1150,20465,63719458010661,2000,45.745077,-90.17655,99,5,33.325,,,,,31.564,,,,,28.158,,,,,37.581,,,,,,,41.668,,,
1151,20465,64387519010661,2001,45.612613,-89.564429,85,5,,161.233,,,,,167.506,,,,,182.934,,,,,,200.66,,,,,,,231.435,
1152,20465,64276324010661,2001,42.884457,-90.866562,43,5,,108.262,,,,,115.486,,,,,143.864,,,,,,132.377,,,,,,,129.528,
1153,20465,64199359010661,2001,44.739124,-87.436045,29,5,,108.368,,,,,94.829,,,,,73.21,,,,,,46.92,,,,,,,27.825,
1154,20466,64594707010661,2002,43.225725,-89.594258,25,5,,,50.949,,,,,52.929,,,,,57.588,,,,,,64.765,,,,,,,73.34
1155,20467,64199660010661,2001,44.961872,-87.295616,29,5,,86.749,,,,,95.013,,,,,129.402,,,,,,,140.805,,,,,,,116.667
1156,20469,63738625010661,2000,45.787134,-91.461695,113,5,116.391,,,,,123.737,,,,,141.984,,,,,,168.442,,,,,,,197.986,,
1157,20471,64125444010661,2002,44.477363,-90.977151,53,5,,,163.677,,,,,184.537,,,,,205.089,,,,,,244.231,,,,,,,255.583
1158,20473,64264793010661,2002,45.215646,-91.203061,17,5,,,176.294,,,,,183.672,,,,,203.076,,,,,,189.67,,,,,,,195.034
1159,20474,63873522010661,2000,42.936352,-89.02056,25,5,116.488,,,,,132.759,,,,,134.671,,,,,146.582,,,,,,,158.362,,,
1160,20474,64397810010661,2001,45.836867,-89.29069,85,5,,56.988,,,,,47.018,,,,,54.791,,,,,,,73.657,,,,,,,63.6
1161,20474,63868418010661,2001,45.684851,-90.950682,113,5,,36.845,,,,,51.947,,,,,61.745,,,,,,95.064,,,,,,,135.887,
1162,20475,64265786010661,2002,45.140778,-91.02536,17,5,,,26.578,,,,,41.246,,,,,59.296,,,,,,88.326,,,,,,,108.715
1163,20476,64398454010661,2001,45.697272,-89.176439,85,5,,0.49,,,,,1.411,,,,,1.781,,,,,3.058,,,,,,,4.515,,
1164,20477,64607868010661,2002,45.389055,-86.884988,29,5,,,22.53,,,,,26.472,,,,,29.012,,,,,,40.102,,,,,,,66.096
1165,20477,64566819010661,2002,45.717737,-89.300753,85,5,,,14.096,,,,,17.538,,,,,22.555,,,,,,36.715,,,,,,,45.47
1166,20479,64055043010661,2001,45.973867,-90.730857,113,5,,219.803,,,,,215.856,,,,,228.203,,,,,242.178,,,,,,,278.612,,
1167,20479,64266989010661,2002,44.98264,-91.101788,17,5,,,189.158,,,,,188.764,,,,,201.095,,,,,,236.533,,,,,,,271.442
1168,20482,63720789010661,2000,45.972046,-90.59364,99,5,7.015,,,,,11.576,,,,,16.549,,,,,,25.249,,,,,,,35.052,,
1169,20482,64053794010661,2001,45.986201,-91.07823,113,5,,56.192,,,,,61.831,,,,,67.49,,,,,,77.358,,,,,,,115.181,
1170,20484,63873942010661,2000,43.046643,-89.811662,25,5,13.326,,,,,18.66,,,,,30.226,,,,,,41.229,,,,,,,63.178,,
1171,20485,63845436010661,2000,44.702797,-90.706388,19,5,23.61,,,,,37.664,,,,,51.707,,,,,64.375,,,,,,,105.791,,,
1172,20485,64499699010661,2002,45.445429,-88.385245,75,5,,,46.202,,,,,58.934,,,,,78.258,,,,,,89.506,,,,,,,10.001
1173,20486,63836528010661,2001,45.926668,-90.237842,99,5,,63.304,,,,,67.933,,,,,80.447,,,,,99.252,,,,,,,84.655,,
1174,20487,64610308010661,2002,44.768234,-87.42865,29,5,,,17.902,,,,,28.449,,,,,32.072,,,,,,35.993,,,,,,,25.987
1175,20490,63837527010661,2001,45.762154,-90.483426,99,5,,38.174,,,,,50.027,,,,,66.761,,,,,,99.567,,,,,,,142.695,
1176,20491,63837735010661,2001,45.725655,-90.153087,99,5,,18.724,,,,,5.575,,,,,4.078,,,,,,5.761,,,,,,,6.869,
1177,20491,64189449010661,2001,43.232713,-89.73923,25,5,,65.874,,,,,95.361,,,,,107.748,,,,,,33.247,,,,,,,19.388,
1178,20492,64699017010661,2000,46.246444,-91.463786,7,5,148.093,,,,,155.447,,,,,151.022,,,,,149.61,,,,,,,148.508,,,
1179,20492,63793729010661,2000,45.734741,-89.149111,85,5,34.633,,,,,34.463,,,,,37.572,,,,,,44.658,,,,,,,49.492,,
1180,20492,64275873010661,2002,44.705199,-90.917777,19,5,,,38.687,,,,,66.329,,,,,61.936,,,,,,76.629,,,,,,,104.42
1181,20493,63845594010661,2000,44.50764,-90.332288,19,5,21.495,,,,,35.955,,,,,47.904,,,,,74.117,,,,,,,123.618,,,
1182,20493,63639081010661,2000,45.005102,-89.625333,73,5,130.838,,,,,147.82,,,,,143.883,,,,,,114.825,,,,,,,109.79,,
1183,20495,63813058010661,2000,45.800748,-89.453644,85,5,0.765,,,,,1.581,,,,,3.031,,,,,4.908,,,,,,,6.41,,,
1184,20495,63845835010661,2000,44.827145,-90.383148,19,5,21.646,,,,,39.354,,,,,54.474,,,,,,77.544,,,,,,,98.862,,
1185,20495,63837949010661,2001,45.488971,-90.054528,99,5,,66.447,,,,,69.093,,,,,75.927,,,,,,116.891,,,,,,,152.135,
1186,20497,63743442010661,2000,46.114716,-91.171926,113,5,27.246,,,,,28.853,,,,,35.128,,,,,37.01,,,,,,,36.69,,,
1187,20497,63794040010661,2000,45.557718,-89.400148,85,5,67.361,,,,,84.085,,,,,106.134,,,,,128.973,,,,,,,172.51,,,
1188,20497,63651861010661,2000,45.381461,-88.262886,75,5,124.944,,,,,125.588,,,,,130.174,,,,,,120.443,,,,,,,102.091,,
1189,20498,63743551010661,2000,46.030975,-91.196434,113,5,11.12,,,,,8.04,,,,,11.512,,,,,,18.104,,,,,,,24.267,,
1190,20499,63794473010661,2000,45.475624,-89.4185,85,5,35.258,,,,,60.86,,,,,96.509,,,,,,141.919,,,,,,,180.301,,
1191,20499,63838709010661,2001,45.395228,-90.436461,99,5,,38.818,,,,,49.425,,,,,61.683,,,,,,82.419,,,,,,,96.027,
1192,20499,64277339010661,2001,42.984344,-90.505951,43,5,,46.857,,,,,47.72,,,,,61.016,,,,,,79.785,,,,,,,95.756,
1193,20499,63871647010661,2001,45.83869,-91.049324,113,5,,42.535,,,,,27.553,,,,,13.255,,,,,,32.157,,,,,,,53.322,
1194,20501,64190162010661,2001,42.952497,-89.345753,25,5,,26.969,,,,,43.089,,,,,51.518,,,,,,49.623,,,,,,,70.011,
1195,20502,63795298010661,2000,45.692775,-89.669824,85,5,85.23,,,,,94.747,,,,,100.03,,,,,113.49,,,,,,,132.998,,,
1196,20502,64190282010661,2001,42.865455,-89.649188,25,5,,141.05,,,,,169.925,,,,,160.436,,,,,,,193.495,,,,,,,219.771
1197,20503,63871843010661,2001,45.901897,-91.197099,113,5,,138.423,,,,,154.009,,,,,145.701,,,,,151.884,,,,,,,159.124,,
1198,20503,63839062010661,2001,45.636132,-90.376315,99,5,,76.984,,,,,86.972,,,,,101.475,,,,,,130.361,,,,,,,141.93,
1199,20504,63839349010661,2001,45.48246,-90.552619,99,5,,27.755,,,,,44.139,,,,,66.195,,,,,,95.972,,,,,,,98.689,
1200,20507,63872607010661,2001,45.89128,-91.376048,113,5,,104.085,,,,,109.064,,,,,122.897,,,,,,127.45,,,,,,,135.368,
1201,20507,64190737010661,2001,43.021167,-89.836753,25,5,,14.141,,,,,38.364,,,,,50.95,,,,,,64.158,,,,,,,89.978,
1202,20508,63796936010661,2000,45.683786,-90.004001,85,5,2.69,,,,,3.344,,,,,5.362,,,,,6.617,,,,,,,8.609,,,
1203,20508,64182381010661,2001,44.808145,-90.035854,73,5,,74.059,,,,,80.59,,,,,33.594,,,,,,81.194,,,,,,,65.861,
1204,20511,64398653010661,2001,45.844461,-89.234619,85,5,,30.565,,,,,33.762,,,,,32.563,,,,,34.918,,,,,,,33.592,,
1205,20512,63743622010661,2000,45.946005,-90.786283,113,5,213.963,,,,,215.532,,,,,238.209,,,,,,201.952,,,,,,,204.897,,
1206,20512,64559803010661,2001,44.754838,-90.876912,19,5,,34.51,,,,,45.336,,,,,58.169,,,,,,74.865,,,,,,,95.594,
1207,20512,64398911010661,2001,45.759344,-89.275338,85,5,,10.23,,,,,9.364,,,,,16.362,,,,,,20.184,,,,,,,18.603,
1208,20515,64399200010661,2001,45.73987,-89.79016,85,5,,43.622,,,,,56.042,,,,,77.577,,,,,,90.841,,,,,,,128.138,
1209,20517,64400449010661,2001,45.673932,-89.49215,85,5,,35.449,,,,,38.358,,,,,50.482,,,,,,55.779,,,,,,,69.855,
1210,20518,64400792010661,2001,45.653146,-89.676347,85,5,,48.76,,,,,48.844,,,,,57.217,,,,,,78.573,,,,,,,85.499,
1211,20519,63743841010661,2000,46.026932,-90.929696,113,5,163.465,,,,,177.331,,,,,178.467,,,,,,197.112,,,,,,,213.893,,
1212,20519,64461488010661,2001,46.195064,-91.171255,7,5,,25.957,,,,,26.234,,,,,28.981,,,,,,30.936,,,,,,,32.184,
1213,20521,64401756010661,2001,45.596125,-89.487326,85,5,,179.816,,,,,182.953,,,,,185.861,,,,,170.926,,,,,,,167.638,,
1214,20524,64403266010661,2001,45.579042,-89.87219,85,5,,59.869,,,,,60.079,,,,,70.538,,,,,,65.009,,,,,,,77.132,
1215,20526,63744160010661,2000,45.916473,-91.314797,113,5,227.526,,,,,243.462,,,,,265.557,,,,,278.889,,,,,,,318.201,,,
1216,20527,63744377010661,2000,46.060184,-91.456962,113,5,39.016,,,,,54.432,,,,,70.875,,,,,80.707,,,,,,,91.692,,,
1217,20527,63637971010661,2000,44.88386,-89.300842,73,5,67.715,,,,,69.268,,,,,64.493,,,,,,77.677,,,,,,,69.304,,
1218,20527,63648648010661,2000,45.354592,-88.037465,75,5,31.822,,,,,44.548,,,,,46.253,,,,,,61.969,,,,,,,85.859,,
1219,20527,64404667010661,2001,45.80833,-89.412663,85,5,,30.613,,,,,35.825,,,,,40.732,,,,,,47.271,,,,,,,44.733,
1220,20527,64000916010661,2002,45.908817,-90.239933,99,5,,,88.408,,,,,93.393,,,,,97.251,,,,,,109.176,,,,,,,119.133
1221,20528,64685188010661,2000,46.214031,-90.69912,3,5,193.668,,,,,220.632,,,,,241.952,,,,,255.876,,,,,,,277.29,,,
1222,20528,64405075010661,2001,45.735995,-89.985949,85,5,,69.554,,,,,68.316,,,,,69.598,,,,,,81.256,,,,,,,87.596,
1223,20529,63744512010661,2000,45.993978,-91.070123,113,5,106.466,,,,,119.799,,,,,107.52,,,,,116.609,,,,,,,119.799,,,
1224,20529,63649815010661,2000,45.212297,-87.91431,75,5,202.341,,,,,221.086,,,,,259.633,,,,,267.423,,,,,,,312.061,,,
1225,20530,64685864010661,2000,46.135402,-90.734448,3,5,45.928,,,,,45.23,,,,,58.232,,,,,,86.526,,,,,,,108.702,,
1226,20530,63638192010661,2000,44.821934,-89.819323,73,5,64.696,,,,,69.825,,,,,86.324,,,,,118.173,,,,,,,156.31,,,
1227,20531,63873217010661,2001,46.071016,-91.07094,113,5,,23.684,,,,,30.02,,,,,37.792,,,,,,,42.739,,,,,,,49.066
1228,20532,63647519010661,2000,45.47573,-88.22472,75,5,21.542,,,,,39.955,,,,,52.836,,,,,75.614,,,,,,,102.124,,,
1229,20532,64686368010661,2000,46.041973,-90.751611,3,5,130.749,,,,,122.287,,,,,81.101,,,,,72.556,,,,,,,91.483,,,
1230,20532,64002770010661,2002,45.577855,-90.334924,99,5,,,51.762,,,,,71.165,,,,,86.641,,,,,,109.898,,,,,,,142.414
1231,20533,63873752010661,2001,46.027818,-91.25087,113,5,,79.192,,,,,87.678,,,,,100.347,,,,,127.842,,,,,,,162.433,,
1232,20533,64595735010661,2002,43.078877,-89.096975,25,5,,,88.422,,,,,89.793,,,,,98.848,,,,,,99.417,,,,,,,32.972
1233,20536,63874476010661,2001,45.917858,-90.790397,113,5,,29.304,,,,,33.435,,,,,34.912,,,,,,79.201,,,,,,,97.348,
1234,20539,64686568010661,2000,46.832709,-90.666558,3,5,42.794,,,,,40.25,,,,,23.024,,,,,,31.819,,,,,,,47.927,,
1235,20539,64506148010661,2002,45.307878,-87.736138,75,5,,,17.197,,,,,25.175,,,,,39.006,,,,,,52.431,,,,,,,71.021
1236,20540,63875147010661,2001,45.809565,-91.147344,113,5,,80.322,,,,,95.717,,,,,110.692,,,,,,135.764,,,,,,,159.584,
1237,20540,64005811010661,2002,45.864298,-90.589746,99,5,,,7.256,,,,,7.045,,,,,10.221,,,,,,15.927,,,,,,,27.77
1238,20540,64596336010661,2002,42.974446,-89.810983,25,5,,,218.076,,,,,219.975,,,,,215.255,,,,,,188.608,,,,,,,212.3
1239,20542,64006103010661,2002,45.493082,-90.21287,99,5,,,36.954,,,,,38.49,,,,,43.988,,,,,,45.646,,,,,,,64.016
1240,20542,63649397010661,2000,45.312478,-87.795889,75,5,34.586,,,,,45.382,,,,,69.675,,,,,,14.979,,,,,,,126.041,,
1241,20542,64461922010661,2001,46.622024,-90.938972,7,5,,33.653,,,,,44.887,,,,,62.549,,,,,,87.201,,,,,,,111.4,
1242,20544,64686953010661,2000,46.333028,-90.823202,3,5,70.507,,,,,100.75,,,,,108.929,,,,,,122.199,,,,,,,140.905,,
1243,20546,64051231010661,2001,45.644459,-91.421374,113,5,,38.551,,,,,45.152,,,,,50.655,,,,,,72.006,,,,,,,84.277,
1244,20547,64212652010661,2001,46.412516,-91.90196,31,5,,4.151,,,,,4.359,,,,,7.755,,,,,,8.441,,,,,,,9.457,
1245,20550,64687597010661,2000,46.469783,-90.874133,3,5,16.119,,,,,17.754,,,,,30.032,,,,,,27.252,,,,,,,59.294,,
1246,20551,64052769010661,2001,45.733198,-91.384687,113,5,,108.36,,,,,114.618,,,,,122.89,,,,,,134.273,,,,,,,163.122,
1247,20551,64305624010661,2001,46.943783,-90.57472,3,5,,276.573,,,,,259.393,,,,,266.768,,,,,,286.413,,,,,,,311.153,
1248,20551,64622744010661,2002,46.357079,-92.061297,31,5,,,163.409,,,,,171.931,,,,,172.379,,,,,,182.688,,,,,,,192.11
1249,20552,64623366010661,2002,46.204525,-91.930495,31,5,,,33.436,,,,,42.509,,,,,38.149,,,,,,38.014,,,,,,,35.215
1250,20553,64212726010661,2001,46.16722,-91.976927,31,5,,35.661,,,,,47.661,,,,,57.153,,,,,,55.044,,,,,,,60.481,
1251,20553,64568219010661,2002,45.75401,-89.750955,85,5,,,25.834,,,,,22.96,,,,,46.162,,,,,,74.496,,,,,,,103.156
1252,20555,63652833010661,2000,45.014723,-87.745105,75,5,24.922,,,,,36.591,,,,,37.739,,,,,,62.034,,,,,,,89.705,,
1253,20555,64569238010661,2002,45.664221,-89.944283,85,5,,,9.445,,,,,9.732,,,,,11.095,,,,,,11.983,,,,,,,9.681
1254,20556,64569405010661,2002,45.608567,-89.276058,85,5,,,47.23,,,,,47.799,,,,,4.371,,,,,,8.057,,,,,,,15.788
1255,20557,64177523010661,2001,45.06107,-89.5941,73,5,,127.536,,,,,139.193,,,,,152.457,,,,,,173.1,,,,,,,193.599,
1256,20557,64307116010661,2001,46.38393,-90.790833,3,5,,10.096,,,,,16.286,,,,,31.218,,,,,37.828,,,,,,,44.682,,
1257,20558,64307311010661,2001,46.29372,-90.813771,3,5,,176.396,,,,,181.108,,,,,182.148,,,,,,190.082,,,,,,,188.575,
1258,20559,64307768010661,2001,46.221936,-90.65617,3,5,,3.642,,,,,4.397,,,,,5.789,,,,,,6.076,,,,,,,12.184,
1259,20559,64570616010661,2002,45.593089,-89.974932,85,5,,,63.146,,,,,81.416,,,,,106.655,,,,,,156.891,,,,,,,193.837
1260,20560,64307863010661,2001,46.062174,-90.521388,3,5,,52.256,,,,,92.64,,,,,103.663,,,,,133.804,,,,,,,157.574,,
1261,20561,64308200010661,2001,46.071182,-90.913577,3,5,,161.534,,,,,168.082,,,,,111.077,,,,,,116.717,,,,,,,116.805,
1262,20562,64324504010661,2001,45.282334,-87.768697,75,5,,64.051,,,,,65.914,,,,,77.032,,,,,,,78.664,,,,,,,77.962
1263,20562,63661578010661,2000,46.679027,-91.562407,31,5,61.523,,,,,72.542,,,,,77.793,,,,,,99.527,,,,,,,120.285,,
1264,20564,63652954010661,2000,45.241743,-87.997921,75,5,10.506,,,,,14.942,,,,,22.453,,,,,,36.558,,,,,,,37.141,,
1265,20565,64572471010661,2002,45.690772,-89.397896,85,5,,,53.024,,,,,68.006,,,,,79.15,,,,,,94.142,,,,,,,101.555
1266,20567,64704415010661,2000,46.808454,-91.072372,7,5,44.91,,,,,50.626,,,,,61.55,,,,,79.795,,,,,,,104.151,,,
1267,20567,64515444010661,2002,44.993015,-87.851607,75,5,,,106.187,,,,,119.024,,,,,141.758,,,,,,140.729,,,,,,,134.014
1268,20569,64222373010661,2002,46.796067,-91.189719,7,5,,,23.111,,,,,34.824,,,,,44.699,,,,,,75.48,,,,,,,104.972
1269,20571,64704578010661,2000,46.576017,-91.163055,7,5,145.307,,,,,157.286,,,,,176.475,,,,,,201.428,,,,,,,230.695,,
1270,20572,64326032010661,2001,45.414416,-88.23024,75,5,,121.928,,,,,119.41,,,,,139.112,,,,,,148.223,,,,,,,170.419,
1271,20572,63662553010661,2000,46.444623,-91.833469,31,5,105.783,,,,,109.518,,,,,121.761,,,,,,129.423,,,,,,,120.609,,
1272,20573,63662840010661,2000,46.346212,-91.884399,31,5,152.472,,,,,171.795,,,,,180.922,,,,,181.854,,,,,,,156.84,,,
1273,20577,63663346010661,2000,46.680312,-91.92351,31,5,15.967,,,,,18.337,,,,,21.329,,,,,,28.605,,,,,,,39.032,,
1274,20578,64070965010661,2002,45.91413,-91.100075,113,5,,,156.25,,,,,156.481,,,,,159.921,,,,,,186.23,,,,,,,204.711
1275,20580,64182756010661,2002,46.863203,-90.732236,3,5,,,143.155,,,,,165.463,,,,,177.946,,,,,,217.874,,,,,,,247.784
1276,20582,63663705010661,2000,46.518432,-92.17123,31,5,10.072,,,,,9.429,,,,,15.696,,,,,,22.674,,,,,,,26.81,,
1277,20584,64176018010661,2001,44.728739,-89.921014,73,5,,56.047,,,,,59.674,,,,,69.798,,,,,60.492,,,,,,,79.294,,
1278,20585,63839799010661,2001,45.485435,-90.323107,99,5,,56.379,,,,,47.176,,,,,52.127,,,,,,69.188,,,,,,,100.06,
1279,20586,63761333010661,2000,45.383944,-87.881251,75,5,83.462,,,,,91.777,,,,,117.735,,,,,125.778,,,,,,,122.874,,,
