param,value
ANPP_DF,0.498424
ANPP_WH,0.585636
ANPP_WC,0.465224
ANPP_PSF,0.490429
ANPP_GF,0.508528
ANPP_NF,0.563980
ANPP_SS,0.396713
ANPP_ES,0.576059
ANPP_AF,0.488257
ANPP_WF,0.501187
ANPP_LP,0.419253
ANPP_PP,0.459379
ANPP_WP,0.594124
ANPP_WBP,0.498209
ANPP_MH,0.652571
ANPP_WL,0.500769
ANPP_IC,0.397395
ANPP_PY,0.417398
ANPP_BM,0.398070
ANPP_RA,0.548317
ANPP_PM,0.506683
ANPP_PB,0.633041
ANPP_QA,0.544820
ANPP_BCW,0.445475
ANPP_GO,0.340289
BMAX_DF,0.433819
BMAX_WH,0.475792
BMAX_WC,0.536805
BMAX_PSF,0.677048
BMAX_GF,0.499574
BMAX_NF,0.414454
BMAX_SS,0.583071
BMAX_ES,0.533614
BMAX_AF,0.597111
BMAX_WF,0.579845
BMAX_LP,0.451513
BMAX_PP,0.442388
BMAX_WP,0.487761
BMAX_WBP,0.618046
BMAX_MH,0.645109
BMAX_WL,0.530248
BMAX_IC,0.463125
BMAX_PY,0.403809
BMAX_BM,0.415058
BMAX_RA,0.551855
BMAX_PM,0.520970
BMAX_PB,0.344864
BMAX_QA,0.651715
BMAX_BCW,0.595616
BMAX_GO,0.422348
