param,value
ANPP_AE,0.222261
ANPP_BC,0.234947
ANPP_BE,0.378598
ANPP_BG,0.305827
ANPP_BO,0.414281
ANPP_BSW,0.462222
ANPP_CO,0.271132
ANPP_EH,0.330631
ANPP_ERC,0.246207
ANPP_HK,0.223056
ANPP_LL,0.343126
ANPP_LO,0.308024
ANPP_MG,0.219909
ANPP_PO,0.314030
ANPP_RM,0.197355
ANPP_RO,0.324449
ANPP_SL,0.507667
ANPP_SM,0.258502
ANPP_SO,0.382694
ANPP_SP,0.381012
ANPP_SY,0.271177
ANPP_TT,0.303780
ANPP_VP,0.205785
ANPP_WAO,0.226400
ANPP_WAS,0.318112
ANPP_WO,0.304821
ANPP_YB,0.320403
BMAX_AE,0.481825
BMAX_BC,0.281230
BMAX_BE,0.382058
BMAX_BG,0.274272
BMAX_BO,0.236370
BMAX_BSW,0.241661
BMAX_CO,0.353316
BMAX_EH,0.352742
BMAX_ERC,0.451101
BMAX_HK,0.350501
BMAX_LL,0.202242
BMAX_LO,0.338473
BMAX_MG,0.308435
BMAX_PO,0.386995
BMAX_RM,0.340050
BMAX_RO,0.294370
BMAX_SL,0.221373
BMAX_SM,0.256257
BMAX_SO,0.440106
BMAX_SP,0.370840
BMAX_SY,0.333673
BMAX_TT,0.256530
BMAX_VP,0.263050
BMAX_WAO,0.314845
BMAX_WAS,0.280681
BMAX_WO,0.230257
BMAX_YB,0.420192
