param,value
ANPP_DF,0.471983
ANPP_WH,0.488367
ANPP_WC,0.460481
ANPP_PSF,0.389702
ANPP_GF,0.580985
ANPP_NF,0.415099
ANPP_SS,0.444976
ANPP_ES,0.510167
ANPP_AF,0.545257
ANPP_WF,0.435350
ANPP_LP,0.452521
ANPP_PP,0.508010
ANPP_WP,0.478732
ANPP_WBP,0.475879
ANPP_MH,0.683183
ANPP_WL,0.419770
ANPP_IC,0.520196
ANPP_PY,0.497080
ANPP_BM,0.478338
ANPP_RA,0.379945
ANPP_PM,0.831649
ANPP_PB,0.530841
ANPP_QA,0.777037
ANPP_BCW,0.498963
ANPP_GO,0.366431
BMAX_DF,0.399748
BMAX_WH,0.423645
BMAX_WC,0.584958
BMAX_PSF,0.508329
BMAX_GF,0.510478
BMAX_NF,0.558008
BMAX_SS,0.457686
BMAX_ES,0.554936
BMAX_AF,0.714411
BMAX_WF,0.496690
BMAX_LP,0.709808
BMAX_PP,0.380513
BMAX_WP,0.549212
BMAX_WBP,0.750449
BMAX_MH,0.579492
BMAX_WL,0.474547
BMAX_IC,0.515348
BMAX_PY,0.564622
BMAX_BM,0.362842
BMAX_RA,0.515365
BMAX_PM,0.509707
BMAX_PB,0.350932
BMAX_QA,0.590873
BMAX_BCW,0.383186
BMAX_GO,0.550974
