species_code,common_name_hint,needs_literature
POST,post oak,yes
SHO,shingle/southern red oak,yes
SHA_HK,shagbark hickory,yes
MOK_HK,mockernut hickory,yes
YP,yellow-poplar,yes
WALN,black walnut,yes
SWEETGUM,sweetgum,yes
BLACKGUM,blackgum,yes
SYC,American sycamore,yes
SASSAFRAS,sassafras,yes
DOGWOOD,flowering dogwood,yes
