param,value
ANPP_DF,0.232227
ANPP_WH,0.773152
ANPP_WC,0.518128
ANPP_PSF,0.325998
ANPP_GF,0.526790
ANPP_NF,0.389848
ANPP_SS,0.466244
ANPP_ES,0.459667
ANPP_AF,0.435035
ANPP_WF,0.357257
ANPP_LP,0.516832
ANPP_PP,0.223171
ANPP_WP,0.783303
ANPP_WBP,0.339666
ANPP_MH,0.418299
ANPP_WL,0.374656
ANPP_IC,0.510842
ANPP_PY,0.472043
ANPP_BM,0.538144
ANPP_RA,0.502465
ANPP_PM,0.859983
ANPP_PB,0.512638
ANPP_QA,0.384855
ANPP_BCW,0.433786
ANPP_GO,0.536304
BMAX_DF,0.526794
BMAX_WH,0.257540
BMAX_WC,0.350241
BMAX_PSF,0.918978
BMAX_GF,0.505228
BMAX_NF,0.900652
BMAX_SS,0.548706
BMAX_ES,0.606905
BMAX_AF,0.278859
BMAX_WF,0.590363
BMAX_LP,0.497478
BMAX_PP,0.535357
BMAX_WP,0.430059
BMAX_WBP,0.568720
BMAX_MH,0.460313
BMAX_WL,0.571849
BMAX_IC,0.387115
BMAX_PY,0.411458
BMAX_BM,0.414372
BMAX_RA,0.581042
BMAX_PM,0.367585
BMAX_PB,0.366371
BMAX_QA,0.276887
BMAX_BCW,0.708865
BMAX_GO,0.433330
