param,value
ANPP_WO,0.665152
ANPP_NRO,0.510498
ANPP_BO,0.512546
ANPP_POST,0.337634
ANPP_SHO,0.441780
ANPP_SHA_HK,0.510214
ANPP_MOK_HK,0.501914
ANPP_SM,0.710550
ANPP_RM,0.778206
ANPP_YP,0.503804
ANPP_BE,0.877763
ANPP_WAS,0.369550
ANPP_BAS,0.566516
ANPP_BSW,0.874964
ANPP_WALN,0.620484
ANPP_SWEETGUM,0.751093
ANPP_BLACKGUM,1.017015
ANPP_SYC,0.820113
ANPP_SASSAFRAS,0.476984
ANPP_DOGWOOD,0.442493
ANPP_EWP,0.628880
ANPP_QA,0.243303
ANPP_AE,0.915596
BMAX_WO,0.658645
BMAX_NRO,0.547232
BMAX_BO,0.494811
BMAX_POST,0.746157
BMAX_SHO,0.576343
BMAX_SHA_HK,0.837581
BMAX_MOK_HK,0.596148
BMAX_SM,0.421123
BMAX_RM,0.840336
BMAX_YP,0.507390
BMAX_BE,0.874740
BMAX_WAS,0.608772
BMAX_BAS,0.470432
BMAX_BSW,0.580988
BMAX_WALN,0.696935
BMAX_SWEETGUM,0.432956
BMAX_BLACKGUM,0.631427
BMAX_SYC,0.542765
BMAX_SASSAFRAS,0.518989
BMAX_DOGWOOD,0.641597
BMAX_EWP,0.706828
BMAX_QA,0.382205
BMAX_AE,0.855628
