SpeciesCode,LeafLongevity,WoodDecayRate,MortalityCurve,GrowthCurve,LeafLignin,ShadeTolerance,FireTolerance
WO,1,0.10,15,0.25,0.205,4,3
NRO,1,0.10,15,0.25,0.218,3,3
BO,1,0.10,15,0.25,0.225,3,4
POST,1,0.10,15,0.25,0.220,2,4
SHO,1,0.10,15,0.25,0.220,3,3
SHA_HK,1,0.10,15,0.25,0.230,3,2
MOK_HK,1,0.10,15,0.25,0.230,3,3
SM,1,0.10,10,0.25,0.175,5,1
RM,1,0.10,10,0.25,0.183,3,1
YP,1,0.10,15,0.25,0.198,2,2
BE,1,0.10,15,0.25,0.135,5,1
WAS,1,0.10,15,0.25,0.144,2,2
BAS,1,0.10,15,0.25,0.144,3,2
BSW,1,0.10,15,0.25,0.165,4,2
WALN,1,0.10,15,0.25,0.220,2,2
SWEETGUM,1,0.10,10,0.25,0.190,3,2
BLACKGUM,1,0.10,10,0.25,0.220,4,2
SYC,1,0.10,10,0.25,0.190,2,2
SASSAFRAS,1,0.10,10,0.25,0.220,2,3
DOGWOOD,1,0.10,10,0.25,0.180,5,1
EWP,2,0.10,10,0.25,0.263,3,3
QA,1,0.10,10,0.25,0.256,1,2
AE,1,0.10,10,0.25,0.170,3,1
COTT,1,0.10,10,0.25,0.205,1,1
SIM,1,0.10,10,0.25,0.175,2,1
