Year,EcoregionName,SpeciesCode,ProbEstablish,ProbMortality,ANPPmax,BiomassMax
0,55,AE,0.60,0.0,1100,26000
0,55,BAS,0.45,0.0,900,22000
0,55,BE,0.65,0.0,1300,34000
0,55,BLACKGUM,0.65,0.0,1000,24000
0,55,BO,0.75,0.0,1300,36000
0,55,BSW,0.65,0.0,1250,34000
0,55,COTT,0.55,0.0,1875,56700
0,55,DOGWOOD,0.55,0.0,400,6000
0,55,EWP,0.65,0.0,1200,34000
0,55,MOK_HK,0.70,0.0,1150,32000
0,55,NRO,0.85,0.0,1350,38000
0,55,POST,0.65,0.0,1150,30000
0,55,QA,0.35,0.0,900,16000
0,55,RM,0.85,0.0,1150,30000
0,55,SASSAFRAS,0.60,0.0,700,14000
0,55,SHA_HK,0.70,0.0,1150,32000
0,55,SHO,0.75,0.0,1200,32000
0,55,SIM,0.70,0.0,1357,37500
0,55,SM,0.85,0.0,1300,34000
0,55,SWEETGUM,0.55,0.0,1400,34000
0,55,SYC,0.70,0.0,1500,42000
0,55,WALN,0.60,0.0,1150,30000
0,55,WAS,0.65,0.0,1150,30000
0,55,WO,0.85,0.0,1400,40000
0,55,YP,0.65,0.0,1600,42000
0,56,AE,0.60,0.0,1100,26000
0,56,BAS,0.55,0.0,900,22000
0,56,BE,0.75,0.0,1350,36000
0,56,BLACKGUM,0.55,0.0,950,22000
0,56,BO,0.70,0.0,1200,32000
0,56,BSW,0.70,0.0,1300,36000
0,56,COTT,0.55,0.0,1750,51300
0,56,DOGWOOD,0.50,0.0,400,6000
0,56,EWP,0.65,0.0,1250,36000
0,56,MOK_HK,0.60,0.0,1050,28000
0,56,NRO,0.85,0.0,1300,36000
0,56,POST,0.55,0.0,1000,24000
0,56,QA,0.55,0.0,1050,20000
0,56,RM,0.90,0.0,1200,32000
0,56,SASSAFRAS,0.45,0.0,600,12000
0,56,SHA_HK,0.65,0.0,1050,28000
0,56,SHO,0.65,0.0,1100,28000
0,56,SIM,0.70,0.0,1416,40000
0,56,SM,0.90,0.0,1400,38000
0,56,SWEETGUM,0.35,0.0,1100,26000
0,56,SYC,0.65,0.0,1400,38000
0,56,WALN,0.50,0.0,1050,26000
0,56,WAS,0.65,0.0,1100,30000
0,56,WO,0.85,0.0,1300,36000
0,56,YP,0.45,0.0,1400,36000
0,57,AE,0.60,0.0,1100,26000
0,57,BAS,0.45,0.0,900,22000
0,57,BE,0.65,0.0,1300,34000
0,57,BLACKGUM,0.65,0.0,1000,24000
0,57,BO,0.75,0.0,1300,36000
0,57,BSW,0.65,0.0,1250,34000
0,57,COTT,0.55,0.0,1875,56700
0,57,DOGWOOD,0.55,0.0,400,6000
0,57,EWP,0.65,0.0,1200,34000
0,57,MOK_HK,0.70,0.0,1150,32000
0,57,NRO,0.85,0.0,1350,38000
0,57,POST,0.65,0.0,1150,30000
0,57,QA,0.35,0.0,900,16000
0,57,RM,0.85,0.0,1150,30000
0,57,SASSAFRAS,0.60,0.0,700,14000
0,57,SHA_HK,0.70,0.0,1150,32000
0,57,SHO,0.75,0.0,1200,32000
0,57,SIM,0.70,0.0,1357,37500
0,57,SM,0.85,0.0,1300,34000
0,57,SWEETGUM,0.55,0.0,1400,34000
0,57,SYC,0.70,0.0,1500,42000
0,57,WALN,0.60,0.0,1150,30000
0,57,WAS,0.65,0.0,1150,30000
0,57,WO,0.85,0.0,1400,40000
0,57,YP,0.65,0.0,1600,42000
0,61,AE,0.60,0.0,1100,26000
0,61,BAS,0.45,0.0,900,22000
0,61,BE,0.65,0.0,1300,34000
0,61,BLACKGUM,0.65,0.0,1000,24000
0,61,BO,0.75,0.0,1300,36000
0,61,BSW,0.65,0.0,1250,34000
0,61,COTT,0.55,0.0,1875,56700
0,61,DOGWOOD,0.55,0.0,400,6000
0,61,EWP,0.65,0.0,1200,34000
0,61,MOK_HK,0.70,0.0,1150,32000
0,61,NRO,0.85,0.0,1350,38000
0,61,POST,0.65,0.0,1150,30000
0,61,QA,0.35,0.0,900,16000
0,61,RM,0.85,0.0,1150,30000
0,61,SASSAFRAS,0.60,0.0,700,14000
0,61,SHA_HK,0.70,0.0,1150,32000
0,61,SHO,0.75,0.0,1200,32000
0,61,SIM,0.70,0.0,1357,37500
0,61,SM,0.85,0.0,1300,34000
0,61,SWEETGUM,0.55,0.0,1400,34000
0,61,SYC,0.70,0.0,1500,42000
0,61,WALN,0.60,0.0,1150,30000
0,61,WAS,0.65,0.0,1150,30000
0,61,WO,0.85,0.0,1400,40000
0,61,YP,0.65,0.0,1600,42000
0,70,AE,0.55,0.0,1100,26000
0,70,BAS,0.40,0.0,950,22000
0,70,BE,0.65,0.0,1350,36000
0,70,BLACKGUM,0.75,0.0,1100,26000
0,70,BO,0.85,0.0,1400,40000
0,70,BSW,0.65,0.0,1300,36000
0,70,COTT,0.55,0.0,1938,56700
0,70,DOGWOOD,0.65,0.0,500,8000
0,70,EWP,0.65,0.0,1300,38000
0,70,MOK_HK,0.85,0.0,1300,38000
0,70,NRO,0.95,0.0,1450,42000
0,70,POST,0.75,0.0,1250,34000
0,70,QA,0.30,0.0,850,16000
0,70,RM,0.85,0.0,1250,32000
0,70,SASSAFRAS,0.65,0.0,800,16000
0,70,SHA_HK,0.85,0.0,1300,38000
0,70,SHO,0.85,0.0,1300,38000
0,70,SIM,0.70,0.0,1475,40000
0,70,SM,0.85,0.0,1400,38000
0,70,SWEETGUM,0.65,0.0,1550,38000
0,70,SYC,0.75,0.0,1550,42000
0,70,WALN,0.65,0.0,1300,34000
0,70,WAS,0.65,0.0,1250,32000
0,70,WO,0.95,0.0,1500,44000
0,70,YP,0.75,0.0,1700,46000
0,71,AE,0.55,0.0,1100,26000
0,71,BAS,0.40,0.0,950,22000
0,71,BE,0.65,0.0,1350,36000
0,71,BLACKGUM,0.75,0.0,1100,26000
0,71,BO,0.85,0.0,1400,40000
0,71,BSW,0.65,0.0,1300,36000
0,71,COTT,0.55,0.0,1938,56700
0,71,DOGWOOD,0.65,0.0,500,8000
0,71,EWP,0.65,0.0,1300,38000
0,71,MOK_HK,0.85,0.0,1300,38000
0,71,NRO,0.95,0.0,1450,42000
0,71,POST,0.75,0.0,1250,34000
0,71,QA,0.30,0.0,850,16000
0,71,RM,0.85,0.0,1250,32000
0,71,SASSAFRAS,0.65,0.0,800,16000
0,71,SHA_HK,0.85,0.0,1300,38000
0,71,SHO,0.85,0.0,1300,38000
0,71,SIM,0.70,0.0,1475,40000
0,71,SM,0.85,0.0,1400,38000
0,71,SWEETGUM,0.65,0.0,1550,38000
0,71,SYC,0.75,0.0,1550,42000
0,71,WALN,0.65,0.0,1300,34000
0,71,WAS,0.65,0.0,1250,32000
0,71,WO,0.95,0.0,1500,44000
0,71,YP,0.75,0.0,1700,46000
