raw_eco,model_eco,eco_name,kind
54,54,Central Corn Belt Plains,native
55,55,Eastern Corn Belt Plains,native
56,56,Southern Michigan Northern Indiana Drift Plains,native
71,71,Interior Plateau,native
72,72,Interior River Valleys and Hills,native
