raw_eco,model_eco,eco_name,kind
55,55,Eastern Corn Belt Plains,native
57,57,Huron/Erie Lake Plains,native
61,61,Erie Drift Plain,native
70,70,Western Allegheny Plateau,native
71,71,Interior Plateau,native
83,83,Eastern Great Lakes Lowlands,native
